 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,088","15,625,053","24,375","183,112,211",733,"13,465,621","8,385","154,640,383"
外航計,465,"11,704,491","5,478","136,356,408",441,"11,422,198","5,118","130,657,623"
外航定期計,441,"11,422,198","5,126","130,760,753",441,"11,422,198","5,118","130,657,623"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),55,"3,438,713",583,"36,950,435",55,"3,438,713",582,"36,923,243"
北米東岸(カリビア海含む),10,"791,879",106,"8,287,424",10,"791,879",106,"8,287,424"
北欧・地中海,5,"488,182",64,"5,993,052",5,"488,182",63,"5,978,890"
南米西岸,2,"281,731",47,"4,866,926",2,"281,731",47,"4,866,926"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,5,"225,754",120,"4,064,389",5,"225,754",120,"4,064,389"
印パ･ペルシャ･ベンガル,-,-,16,"785,499",-,-,16,"785,499"
東南アジア,153,"3,914,084","1,732","42,343,798",153,"3,914,084","1,726","42,282,022"
台湾,-,-,-,-,-,-,-,-
韓国,54,"491,456",563,"5,069,037",54,"491,456",563,"5,069,037"
中国(香港含む),157,"1,790,399","1,895","22,400,193",157,"1,790,399","1,895","22,400,193"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,24,"282,293",352,"5,595,655",-,-,-,-
内航計,"1,623","3,920,562","18,897","46,755,803",292,"2,043,423","3,267","23,982,760"
内航定期計,536,"2,670,356","6,397","31,572,564",263,"1,947,137","3,032","23,156,398"
北海道,93,"1,102,284","1,187","13,211,127",93,"1,102,284","1,187","13,211,127"
東北,61,"44,993",622,"453,148",61,"44,993",606,"441,164"
関東,105,"28,695","1,154","420,360",-,-,-,-
伊豆諸島,139,"328,080","1,845","3,596,883",-,-,-,-
中部,25,"23,915",271,"330,999",25,"23,915",268,"328,752"
近畿,11,"8,239",110,"82,390",11,"8,239",110,"82,390"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,79,"892,681",926,"10,497,673",50,"526,237",579,"6,112,981"
沖縄,23,"241,469",282,"2,979,984",23,"241,469",282,"2,979,984"
内航不定期,"1,087","1,250,206","12,500","15,183,239",29,"96,286",235,"826,362"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
