 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,703,952","2,408,027","5,295,925","91,543,456","29,040,080","62,503,376","5,129,837","1,724,736","3,405,101","61,293,754","20,217,791","41,075,963"
外航計,"4,161,111","1,170,897","2,990,214","49,827,841","13,288,658","36,539,183","4,071,066","1,125,503","2,945,563","48,433,065","12,794,306","35,638,759"
外航定期計,"4,071,066","1,125,503","2,945,563","48,489,682","12,810,840","35,678,842","4,071,066","1,125,503","2,945,563","48,433,065","12,794,306","35,638,759"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"595,861","220,087","375,774","6,857,268","2,304,670","4,552,598","595,861","220,087","375,774","6,852,399","2,304,670","4,547,729"
北米東岸(カリビア海含む),"149,349","65,635","83,714","1,684,960","631,938","1,053,022","149,349","65,635","83,714","1,684,960","631,938","1,053,022"
北欧・地中海,"286,873","137,730","149,143","3,110,531","1,346,251","1,764,280","286,873","137,730","149,143","3,110,516","1,346,251","1,764,265"
南米西岸,"29,086","2,498","26,588","565,292","28,792","536,500","29,086","2,498","26,588","565,292","28,792","536,500"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"21,425","4,389","17,036","740,335","111,119","629,216","21,425","4,389","17,036","740,335","111,119","629,216"
印パ･ペルシャ･ベンガル,-,-,-,"328,876","262,810","66,066",-,-,-,"328,876","262,810","66,066"
東南アジア,"1,758,853","449,626","1,309,227","19,996,055","5,206,288","14,789,767","1,758,853","449,626","1,309,227","19,944,322","5,189,754","14,754,568"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"181,810","46,300","135,510","2,016,105","548,612","1,467,493","181,810","46,300","135,510","2,016,105","548,612","1,467,493"
中国(香港含む),"1,047,809","199,238","848,571","13,190,260","2,370,360","10,819,900","1,047,809","199,238","848,571","13,190,260","2,370,360","10,819,900"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"90,045","45,394","44,651","1,338,159","477,818","860,341",-,-,-,-,-,-
内航計,"3,542,841","1,237,130","2,305,711","41,715,615","15,751,422","25,964,193","1,058,771","599,233","459,538","12,860,689","7,423,485","5,437,204"
内航定期計,"1,982,567","1,065,232","917,335","23,782,603","13,056,490","10,726,113","1,020,952","576,373","444,579","12,241,409","7,019,994","5,221,415"
北海道,"377,014","204,886","172,128","4,656,493","2,599,277","2,057,216","377,014","204,886","172,128","4,656,493","2,599,277","2,057,216"
東北,"38,585","20,364","18,221","381,653","188,398","193,255","38,585","20,364","18,221","375,946","188,332","187,614"
関東,"53,968","27,617","26,351","579,523","304,807","274,716",-,-,-,-,-,-
伊豆諸島,"7,622","5,562","2,060","85,296","56,043","29,253",-,-,-,-,-,-
中部,"8,740","2,566","6,174","140,303","27,571","112,732","8,740","2,566","6,174","138,085","27,571","110,514"
近畿,"7,878",791,"7,087","49,098","2,522","46,576","7,878",791,"7,087","49,098","2,522","46,576"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,380,216","725,920","654,296","16,493,341","8,839,935","7,653,406","480,191","270,240","209,951","5,624,891","3,164,355","2,460,536"
沖縄,"108,544","77,526","31,018","1,396,896","1,037,937","358,959","108,544","77,526","31,018","1,396,896","1,037,937","358,959"
内航不定期,"1,560,274","171,898","1,388,376","17,933,012","2,694,932","15,238,080","37,819","22,860","14,959","619,280","403,491","215,789"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
