 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,29,347,29,347,
,総トン数,,"366,444","4,384,692","366,444","4,384,692",
取扱貨物,計,計,"900,025","10,868,450","900,025","10,868,450",
,,出荷,"455,680","5,675,580","455,680","5,675,580",
,,入荷,"444,345","5,192,870","444,345","5,192,870",
取　扱　台　数,バ　ス,計,14,152,14,152,
,,出荷,6,71,6,71,
,,入荷,8,81,8,81,
,トラック,計,"8,191","97,966","8,191","97,966",
,,出荷,"4,173","51,504","4,173","51,504",
,,入荷,"4,018","46,462","4,018","46,462",
,乗用車,計,"4,163","61,025","4,163","61,025",
,,出荷,"2,686","37,138","2,686","37,138",
,,入荷,"1,477","23,887","1,477","23,887",
乗降人員,計,,"2,907","36,018","2,907","36,018",
,乗船,,"1,794","18,394","1,794","18,394",
,降船,,"1,113","17,624","1,113","17,624",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
