< 輸  出 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,産業機械,その他化学工業品,再利用資材,自動車部品,電気機械
,"1,123,452",100.0%,"172,418","166,984","164,269","156,373","65,804"
,95.9%,,94.5%,99.5%,96.9%,124.6%,89.6%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,自動車部品,産業機械,その他化学工業品,電気機械,化学薬品
,"220,087",19.6%,"87,405","39,678","14,722","14,390","7,126"
,111.7%,,148.8%,97.9%,122.4%,113.2%,164.5%
北米東岸(カリビア海含む),,,産業機械,自動車部品,再利用資材,その他化学工業品,紙・パ　ル　プ
,"65,635",5.8%,"23,295","14,739","5,790","4,199","4,158"
,100.2%,,128.5%,179.8%,-,95.0%,69.1%
北欧・地中海,,,産業機械,ゴム製品,その他化学工業品,自動車部品,電気機械
,"137,730",12.3%,"31,222","26,544","22,823","9,455","9,144"
,112.6%,,102.8%,142.5%,156.1%,117.9%,96.2%
南米西岸,,,再利用資材,その他化学工業品,窯業品,製造食品,産業機械
,"2,498",0.2%,"1,500",534,97,93,87
,68.2%,,148.7%,41.2%,88.2%,124.0%,28.0%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,その他化学工業品,産業機械,その他製造工業品,製造食品,自動車部品
,"4,389",0.4%,"1,042",899,609,405,353
,136.0%,,136.4%,430.1%,2030.0%,158.2%,145.9%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,その他化学工業品,産業機械,再利用資材,自動車部品,電気機械
,"448,061",39.9%,"78,544","54,342","54,285","37,078","27,402"
,111.5%,,125.4%,149.0%,71.9%,100.3%,126.0%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,その他化学工業品,産業機械,衣服・身廻品・はきもの,電気機械
,"45,971",4.1%,"9,289","7,834","5,214","2,305","2,222"
,93.9%,,64.6%,94.5%,121.7%,117.8%,65.9%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,電気機械,自動車部品
,"199,081",17.7%,"86,853","37,286","17,681","9,330","6,603"
,83.1%,,126.7%,88.5%,48.4%,75.0%,95.2%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
