町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,96,60,73,133
両国二丁目,134,82,102,184
両国三丁目,62,45,52,97
両国四丁目,121,82,78,160
千歳一丁目,34,21,28,49
千歳二丁目,41,30,24,54
千歳三丁目,54,40,49,89
緑一丁目,130,68,100,168
緑二丁目,85,56,79,135
緑三丁目,116,93,102,195
緑四丁目,268,167,219,386
立川一丁目,36,20,22,42
立川二丁目,40,32,16,48
立川三丁目,33,26,25,51
立川四丁目,57,36,47,83
菊川一丁目,52,33,38,71
菊川二丁目,48,32,39,71
菊川三丁目,89,68,71,139
江東橋一丁目,129,85,146,231
江東橋二丁目,175,118,172,290
江東橋三丁目,133,90,100,190
江東橋四丁目,340,213,343,556
江東橋五丁目,73,51,75,126
横網一丁目,12,12,8,20
横網二丁目,46,31,31,62
亀沢一丁目,45,36,42,78
亀沢二丁目,54,38,51,89
亀沢三丁目,51,42,54,96
亀沢四丁目,96,62,106,168
石原一丁目,92,66,69,135
石原二丁目,54,43,40,83
石原三丁目,69,58,46,104
石原四丁目,76,58,72,130
本所一丁目,49,35,61,96
本所二丁目,17,16,22,38
本所三丁目,56,27,48,75
本所四丁目,45,31,51,82
東駒形一丁目,47,30,32,62
東駒形二丁目,34,30,19,49
東駒形三丁目,32,18,26,44
東駒形四丁目,38,35,36,71
吾妻橋一丁目,71,69,56,125
吾妻橋二丁目,25,16,29,45
吾妻橋三丁目,26,20,31,51
錦糸一丁目,139,82,139,221
錦糸二丁目,90,66,86,152
錦糸三丁目,69,44,70,114
錦糸四丁目,109,79,118,197
太平一丁目,181,136,167,303
太平二丁目,91,62,85,147
太平三丁目,86,58,80,138
太平四丁目,153,128,191,319
横川一丁目,31,32,35,67
横川二丁目,38,31,26,57
横川三丁目,43,40,48,88
横川四丁目,65,36,54,90
横川五丁目,54,68,116,184
業平一丁目,46,41,40,81
業平二丁目,19,22,17,39
業平三丁目,22,13,20,33
業平四丁目,49,39,57,96
業平五丁目,48,37,32,69
向島一丁目,53,46,40,86
向島二丁目,44,34,33,67
向島三丁目,91,59,77,136
向島四丁目,37,37,34,71
向島五丁目,63,59,63,122
東向島一丁目,48,37,54,91
東向島二丁目,46,40,67,107
東向島三丁目,63,44,62,106
東向島四丁目,53,40,63,103
東向島五丁目,44,40,54,94
東向島六丁目,51,40,61,101
堤通一丁目,47,53,39,92
堤通二丁目,73,91,149,240
墨田一丁目,69,52,92,144
墨田二丁目,46,46,54,100
墨田三丁目,70,46,75,121
墨田四丁目,56,48,57,105
墨田五丁目,36,27,43,70
押上一丁目,41,39,33,72
押上二丁目,52,36,46,82
押上三丁目,64,53,84,137
京島一丁目,72,72,105,177
京島二丁目,25,24,17,41
京島三丁目,43,35,51,86
文花一丁目,72,87,150,237
文花二丁目,78,45,79,124
文花三丁目,22,26,26,52
八広一丁目,38,37,47,84
八広二丁目,45,49,49,98
八広三丁目,39,41,50,91
八広四丁目,52,40,74,114
八広五丁目,47,46,51,97
八広六丁目,49,45,67,112
立花一丁目,431,386,404,790
立花二丁目,61,48,44,92
立花三丁目,98,74,112,186
立花四丁目,70,73,110,183
立花五丁目,103,116,108,224
立花六丁目,73,52,73,125
東墨田一丁目,14,13,3,16
東墨田二丁目,40,47,33,80
東墨田三丁目,26,19,21,40
