町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,148,85,102,187
両国二丁目,119,70,97,167
両国三丁目,54,46,44,90
両国四丁目,126,58,102,160
千歳一丁目,33,25,25,50
千歳二丁目,26,15,26,41
千歳三丁目,48,38,49,87
緑一丁目,137,90,84,174
緑二丁目,81,50,67,117
緑三丁目,99,83,88,171
緑四丁目,240,151,227,378
立川一丁目,38,23,32,55
立川二丁目,36,31,18,49
立川三丁目,14,14,15,29
立川四丁目,38,30,36,66
菊川一丁目,35,21,32,53
菊川二丁目,32,20,32,52
菊川三丁目,83,54,81,135
江東橋一丁目,101,66,126,192
江東橋二丁目,171,127,165,292
江東橋三丁目,106,82,89,171
江東橋四丁目,332,201,381,582
江東橋五丁目,62,51,80,131
横網一丁目,9,9,4,13
横網二丁目,51,36,31,67
亀沢一丁目,43,31,44,75
亀沢二丁目,18,26,25,51
亀沢三丁目,48,40,43,83
亀沢四丁目,81,45,89,134
石原一丁目,91,78,59,137
石原二丁目,53,42,33,75
石原三丁目,72,54,47,101
石原四丁目,62,47,65,112
本所一丁目,61,52,57,109
本所二丁目,23,20,29,49
本所三丁目,65,33,63,96
本所四丁目,46,29,47,76
東駒形一丁目,53,40,32,72
東駒形二丁目,41,35,24,59
東駒形三丁目,31,18,25,43
東駒形四丁目,20,24,32,56
吾妻橋一丁目,46,35,42,77
吾妻橋二丁目,24,13,22,35
吾妻橋三丁目,24,19,28,47
錦糸一丁目,135,99,127,226
錦糸二丁目,86,70,69,139
錦糸三丁目,70,53,78,131
錦糸四丁目,108,88,119,207
太平一丁目,153,121,148,269
太平二丁目,83,55,93,148
太平三丁目,77,61,71,132
太平四丁目,157,129,186,315
横川一丁目,28,33,30,63
横川二丁目,43,35,32,67
横川三丁目,36,29,44,73
横川四丁目,86,59,58,117
横川五丁目,48,62,103,165
業平一丁目,30,26,28,54
業平二丁目,23,20,27,47
業平三丁目,24,17,21,38
業平四丁目,49,43,53,96
業平五丁目,23,22,21,43
向島一丁目,40,36,32,68
向島二丁目,35,31,28,59
向島三丁目,66,36,66,102
向島四丁目,25,29,34,63
向島五丁目,55,53,55,108
東向島一丁目,29,27,31,58
東向島二丁目,44,42,64,106
東向島三丁目,56,40,53,93
東向島四丁目,52,37,57,94
東向島五丁目,39,37,47,84
東向島六丁目,46,35,56,91
堤通一丁目,35,39,48,87
堤通二丁目,71,83,154,237
墨田一丁目,38,43,67,110
墨田二丁目,35,43,56,99
墨田三丁目,42,30,62,92
墨田四丁目,52,47,64,111
墨田五丁目,27,16,39,55
押上一丁目,38,31,36,67
押上二丁目,58,42,58,100
押上三丁目,54,57,72,129
京島一丁目,66,60,113,173
京島二丁目,16,17,17,34
京島三丁目,33,32,43,75
文花一丁目,71,89,151,240
文花二丁目,61,41,68,109
文花三丁目,28,27,35,62
八広一丁目,26,24,44,68
八広二丁目,47,45,63,108
八広三丁目,36,41,49,90
八広四丁目,38,26,69,95
八広五丁目,41,38,48,86
八広六丁目,34,35,49,84
立花一丁目,321,288,325,613
立花二丁目,77,48,49,97
立花三丁目,74,65,73,138
立花四丁目,75,53,127,180
立花五丁目,96,111,112,223
立花六丁目,54,39,64,103
東墨田一丁目,18,19,3,22
東墨田二丁目,35,46,26,72
東墨田三丁目,35,37,15,52
