町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,90,56,70,126
両国二丁目,106,66,92,158
両国三丁目,55,38,43,81
両国四丁目,89,67,63,130
千歳一丁目,34,21,29,50
千歳二丁目,34,22,27,49
千歳三丁目,60,45,45,90
緑一丁目,125,89,77,166
緑二丁目,82,61,68,129
緑三丁目,100,75,97,172
緑四丁目,243,165,179,344
立川一丁目,26,14,22,36
立川二丁目,32,27,13,40
立川三丁目,26,24,21,45
立川四丁目,60,41,36,77
菊川一丁目,42,27,32,59
菊川二丁目,33,24,32,56
菊川三丁目,70,58,59,117
江東橋一丁目,138,82,153,235
江東橋二丁目,175,117,156,273
江東橋三丁目,125,79,89,168
江東橋四丁目,318,201,307,508
江東橋五丁目,78,62,82,144
横網一丁目,6,5,4,9
横網二丁目,36,26,24,50
亀沢一丁目,44,31,40,71
亀沢二丁目,42,30,44,74
亀沢三丁目,51,38,53,91
亀沢四丁目,87,54,97,151
石原一丁目,106,75,69,144
石原二丁目,44,35,38,73
石原三丁目,52,42,36,78
石原四丁目,82,62,82,144
本所一丁目,52,36,51,87
本所二丁目,17,15,22,37
本所三丁目,46,21,45,66
本所四丁目,55,32,57,89
東駒形一丁目,36,26,25,51
東駒形二丁目,31,23,18,41
東駒形三丁目,28,13,23,36
東駒形四丁目,35,29,33,62
吾妻橋一丁目,61,60,50,110
吾妻橋二丁目,27,12,24,36
吾妻橋三丁目,17,22,23,45
錦糸一丁目,141,87,124,211
錦糸二丁目,69,49,81,130
錦糸三丁目,69,43,63,106
錦糸四丁目,95,79,100,179
太平一丁目,159,115,143,258
太平二丁目,79,55,72,127
太平三丁目,78,52,81,133
太平四丁目,155,138,189,327
横川一丁目,32,30,33,63
横川二丁目,41,34,30,64
横川三丁目,33,25,39,64
横川四丁目,55,30,44,74
横川五丁目,50,70,113,183
業平一丁目,47,38,40,78
業平二丁目,19,22,17,39
業平三丁目,22,14,19,33
業平四丁目,39,36,46,82
業平五丁目,37,28,29,57
向島一丁目,48,41,35,76
向島二丁目,42,36,32,68
向島三丁目,94,66,74,140
向島四丁目,32,32,30,62
向島五丁目,63,57,64,121
東向島一丁目,53,42,49,91
東向島二丁目,48,42,66,108
東向島三丁目,57,48,55,103
東向島四丁目,52,38,62,100
東向島五丁目,51,43,59,102
東向島六丁目,59,47,59,106
堤通一丁目,43,48,39,87
堤通二丁目,78,92,151,243
墨田一丁目,56,46,88,134
墨田二丁目,44,46,55,101
墨田三丁目,52,49,65,114
墨田四丁目,50,44,57,101
墨田五丁目,28,18,39,57
押上一丁目,38,41,26,67
押上二丁目,45,34,42,76
押上三丁目,58,52,81,133
京島一丁目,71,71,93,164
京島二丁目,27,28,17,45
京島三丁目,33,31,45,76
文花一丁目,76,87,157,244
文花二丁目,68,43,76,119
文花三丁目,18,20,27,47
八広一丁目,41,38,47,85
八広二丁目,50,51,52,103
八広三丁目,37,38,47,85
八広四丁目,62,43,77,120
八広五丁目,43,53,46,99
八広六丁目,47,46,63,109
立花一丁目,436,351,394,745
立花二丁目,51,46,37,83
立花三丁目,92,72,98,170
立花四丁目,72,78,99,177
立花五丁目,107,125,100,225
立花六丁目,67,50,71,121
東墨田一丁目,15,13,4,17
東墨田二丁目,45,40,40,80
東墨田三丁目,32,31,21,52
