町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,80,54,63,117
両国二丁目,115,72,95,167
両国三丁目,56,40,44,84
両国四丁目,82,64,59,123
千歳一丁目,35,23,30,53
千歳二丁目,32,20,25,45
千歳三丁目,60,44,46,90
緑一丁目,124,86,78,164
緑二丁目,79,59,68,127
緑三丁目,100,75,99,174
緑四丁目,237,159,176,335
立川一丁目,26,14,22,36
立川二丁目,38,31,16,47
立川三丁目,22,21,20,41
立川四丁目,58,39,35,74
菊川一丁目,41,28,30,58
菊川二丁目,38,30,32,62
菊川三丁目,73,62,57,119
江東橋一丁目,141,83,149,232
江東橋二丁目,168,113,155,268
江東橋三丁目,125,81,89,170
江東橋四丁目,317,200,302,502
江東橋五丁目,77,64,79,143
横網一丁目,6,5,4,9
横網二丁目,33,24,23,47
亀沢一丁目,39,28,36,64
亀沢二丁目,41,31,40,71
亀沢三丁目,53,38,54,92
亀沢四丁目,86,56,95,151
石原一丁目,103,72,68,140
石原二丁目,43,34,36,70
石原三丁目,54,42,40,82
石原四丁目,79,58,83,141
本所一丁目,53,36,52,88
本所二丁目,15,13,22,35
本所三丁目,43,22,40,62
本所四丁目,55,32,57,89
東駒形一丁目,32,23,23,46
東駒形二丁目,29,22,15,37
東駒形三丁目,32,17,25,42
東駒形四丁目,29,23,34,57
吾妻橋一丁目,64,64,50,114
吾妻橋二丁目,28,14,24,38
吾妻橋三丁目,15,22,23,45
錦糸一丁目,140,85,124,209
錦糸二丁目,68,45,80,125
錦糸三丁目,70,42,66,108
錦糸四丁目,96,80,101,181
太平一丁目,156,113,138,251
太平二丁目,69,48,70,118
太平三丁目,74,51,77,128
太平四丁目,156,134,186,320
横川一丁目,33,31,31,62
横川二丁目,41,33,30,63
横川三丁目,32,26,35,61
横川四丁目,58,31,44,75
横川五丁目,48,70,108,178
業平一丁目,46,38,41,79
業平二丁目,21,23,18,41
業平三丁目,23,14,20,34
業平四丁目,40,36,47,83
業平五丁目,29,22,25,47
向島一丁目,47,37,35,72
向島二丁目,42,36,33,69
向島三丁目,92,65,74,139
向島四丁目,33,33,30,63
向島五丁目,60,53,64,117
東向島一丁目,52,39,51,90
東向島二丁目,47,42,65,107
東向島三丁目,56,50,53,103
東向島四丁目,54,39,64,103
東向島五丁目,48,41,58,99
東向島六丁目,62,49,61,110
堤通一丁目,36,43,36,79
堤通二丁目,81,94,150,244
墨田一丁目,57,46,88,134
墨田二丁目,45,47,57,104
墨田三丁目,50,48,65,113
墨田四丁目,53,46,59,105
墨田五丁目,26,18,38,56
押上一丁目,28,33,25,58
押上二丁目,42,32,39,71
押上三丁目,58,50,82,132
京島一丁目,69,69,93,162
京島二丁目,27,28,15,43
京島三丁目,33,30,45,75
文花一丁目,77,88,157,245
文花二丁目,68,44,74,118
文花三丁目,18,20,27,47
八広一丁目,37,34,47,81
八広二丁目,50,49,55,104
八広三丁目,33,35,44,79
八広四丁目,61,42,74,116
八広五丁目,44,53,46,99
八広六丁目,48,48,63,111
立花一丁目,430,349,397,746
立花二丁目,52,48,36,84
立花三丁目,92,71,101,172
立花四丁目,73,78,98,176
立花五丁目,104,122,97,219
立花六丁目,69,55,70,125
東墨田一丁目,15,13,4,17
東墨田二丁目,46,40,42,82
東墨田三丁目,33,32,21,53
