町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,132,82,86,168
両国二丁目,127,77,95,172
両国三丁目,55,41,44,85
両国四丁目,115,79,75,154
千歳一丁目,36,19,31,50
千歳二丁目,34,20,29,49
千歳三丁目,57,42,44,86
緑一丁目,123,77,83,160
緑二丁目,74,52,67,119
緑三丁目,91,72,97,169
緑四丁目,220,150,167,317
立川一丁目,23,11,18,29
立川二丁目,37,32,14,46
立川三丁目,33,30,24,54
立川四丁目,56,39,37,76
菊川一丁目,48,30,36,66
菊川二丁目,37,25,35,60
菊川三丁目,93,70,73,143
江東橋一丁目,129,83,146,229
江東橋二丁目,163,108,162,270
江東橋三丁目,122,75,95,170
江東橋四丁目,328,203,320,523
江東橋五丁目,80,64,85,149
横網一丁目,8,9,6,15
横網二丁目,40,28,25,53
亀沢一丁目,45,36,42,78
亀沢二丁目,54,35,52,87
亀沢三丁目,53,38,55,93
亀沢四丁目,88,52,102,154
石原一丁目,89,66,63,129
石原二丁目,58,44,42,86
石原三丁目,60,48,39,87
石原四丁目,83,62,82,144
本所一丁目,49,33,56,89
本所二丁目,13,12,22,34
本所三丁目,63,26,60,86
本所四丁目,52,33,54,87
東駒形一丁目,41,31,27,58
東駒形二丁目,33,25,18,43
東駒形三丁目,25,15,22,37
東駒形四丁目,30,27,34,61
吾妻橋一丁目,62,58,54,112
吾妻橋二丁目,27,17,26,43
吾妻橋三丁目,19,19,24,43
錦糸一丁目,137,81,129,210
錦糸二丁目,81,57,80,137
錦糸三丁目,64,41,65,106
錦糸四丁目,107,80,111,191
太平一丁目,166,122,153,275
太平二丁目,74,52,68,120
太平三丁目,81,55,80,135
太平四丁目,149,129,180,309
横川一丁目,33,30,37,67
横川二丁目,39,34,31,65
横川三丁目,41,33,48,81
横川四丁目,68,41,51,92
横川五丁目,56,66,115,181
業平一丁目,44,32,34,66
業平二丁目,20,22,20,42
業平三丁目,22,16,16,32
業平四丁目,47,36,53,89
業平五丁目,45,35,34,69
向島一丁目,42,38,33,71
向島二丁目,43,34,34,68
向島三丁目,87,58,72,130
向島四丁目,34,35,30,65
向島五丁目,71,63,64,127
東向島一丁目,48,43,45,88
東向島二丁目,44,40,64,104
東向島三丁目,60,48,57,105
東向島四丁目,48,35,61,96
東向島五丁目,54,42,59,101
東向島六丁目,48,38,58,96
堤通一丁目,43,51,38,89
堤通二丁目,78,91,151,242
墨田一丁目,65,54,91,145
墨田二丁目,46,43,52,95
墨田三丁目,55,49,66,115
墨田四丁目,60,53,56,109
墨田五丁目,36,27,41,68
押上一丁目,31,28,30,58
押上二丁目,62,46,46,92
押上三丁目,63,52,90,142
京島一丁目,69,67,98,165
京島二丁目,26,26,17,43
京島三丁目,35,29,47,76
文花一丁目,74,89,150,239
文花二丁目,73,46,77,123
文花三丁目,17,23,23,46
八広一丁目,38,32,49,81
八広二丁目,48,50,49,99
八広三丁目,39,41,50,91
八広四丁目,56,39,75,114
八広五丁目,42,42,47,89
八広六丁目,41,41,61,102
立花一丁目,448,384,408,792
立花二丁目,56,43,45,88
立花三丁目,89,74,100,174
立花四丁目,67,75,103,178
立花五丁目,112,125,106,231
立花六丁目,70,48,73,121
東墨田一丁目,18,16,4,20
東墨田二丁目,43,46,33,79
東墨田三丁目,28,27,17,44
