町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,117,67,80,147
両国二丁目,116,69,99,168
両国三丁目,56,39,51,90
両国四丁目,94,57,75,132
千歳一丁目,19,18,17,35
千歳二丁目,29,16,25,41
千歳三丁目,40,29,42,71
緑一丁目,125,90,74,164
緑二丁目,70,44,61,105
緑三丁目,96,76,93,169
緑四丁目,206,137,198,335
立川一丁目,40,25,32,57
立川二丁目,46,43,21,64
立川三丁目,23,23,15,38
立川四丁目,41,31,37,68
菊川一丁目,31,22,27,49
菊川二丁目,29,20,30,50
菊川三丁目,68,48,66,114
江東橋一丁目,107,77,124,201
江東橋二丁目,158,121,162,283
江東橋三丁目,102,71,93,164
江東橋四丁目,328,208,367,575
江東橋五丁目,65,47,84,131
横網一丁目,9,9,5,14
横網二丁目,50,33,32,65
亀沢一丁目,40,32,41,73
亀沢二丁目,19,24,26,50
亀沢三丁目,38,38,33,71
亀沢四丁目,72,41,89,130
石原一丁目,74,69,54,123
石原二丁目,47,36,31,67
石原三丁目,66,58,41,99
石原四丁目,54,49,65,114
本所一丁目,68,50,65,115
本所二丁目,25,21,29,50
本所三丁目,46,30,44,74
本所四丁目,38,26,45,71
東駒形一丁目,41,36,18,54
東駒形二丁目,41,40,18,58
東駒形三丁目,33,22,25,47
東駒形四丁目,27,31,34,65
吾妻橋一丁目,47,33,40,73
吾妻橋二丁目,19,14,17,31
吾妻橋三丁目,21,17,27,44
錦糸一丁目,130,87,128,215
錦糸二丁目,70,66,73,139
錦糸三丁目,70,51,82,133
錦糸四丁目,107,84,124,208
太平一丁目,142,110,144,254
太平二丁目,86,52,105,157
太平三丁目,76,53,79,132
太平四丁目,163,133,196,329
横川一丁目,34,40,35,75
横川二丁目,40,30,33,63
横川三丁目,27,24,38,62
横川四丁目,87,51,69,120
横川五丁目,41,54,94,148
業平一丁目,33,27,34,61
業平二丁目,17,21,21,42
業平三丁目,26,21,20,41
業平四丁目,34,40,44,84
業平五丁目,24,22,21,43
向島一丁目,34,34,27,61
向島二丁目,31,31,23,54
向島三丁目,69,40,65,105
向島四丁目,23,28,29,57
向島五丁目,53,47,60,107
東向島一丁目,25,24,32,56
東向島二丁目,45,43,58,101
東向島三丁目,52,33,53,86
東向島四丁目,46,36,58,94
東向島五丁目,42,36,49,85
東向島六丁目,37,27,53,80
堤通一丁目,38,42,41,83
堤通二丁目,68,79,145,224
墨田一丁目,30,44,57,101
墨田二丁目,35,41,55,96
墨田三丁目,28,30,47,77
墨田四丁目,48,43,59,102
墨田五丁目,21,17,32,49
押上一丁目,34,30,34,64
押上二丁目,53,40,57,97
押上三丁目,57,57,64,121
京島一丁目,68,68,113,181
京島二丁目,17,17,19,36
京島三丁目,39,37,48,85
文花一丁目,68,90,146,236
文花二丁目,50,33,62,95
文花三丁目,26,25,37,62
八広一丁目,28,22,46,68
八広二丁目,36,37,57,94
八広三丁目,33,37,48,85
八広四丁目,38,25,69,94
八広五丁目,48,43,57,100
八広六丁目,33,36,50,86
立花一丁目,269,245,289,534
立花二丁目,76,53,42,95
立花三丁目,63,56,72,128
立花四丁目,65,59,103,162
立花五丁目,96,110,116,226
立花六丁目,40,25,60,85
東墨田一丁目,20,21,3,24
東墨田二丁目,37,41,27,68
東墨田三丁目,22,25,16,41
