町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,112,65,76,141
両国二丁目,120,76,98,174
両国三丁目,55,37,55,92
両国四丁目,103,58,81,139
千歳一丁目,23,21,19,40
千歳二丁目,26,15,23,38
千歳三丁目,51,33,49,82
緑一丁目,126,92,73,165
緑二丁目,73,48,61,109
緑三丁目,89,71,90,161
緑四丁目,181,125,183,308
立川一丁目,38,23,29,52
立川二丁目,49,47,21,68
立川三丁目,20,19,16,35
立川四丁目,37,31,32,63
菊川一丁目,27,17,28,45
菊川二丁目,29,19,30,49
菊川三丁目,65,50,61,111
江東橋一丁目,107,72,123,195
江東橋二丁目,147,118,157,275
江東橋三丁目,110,72,102,174
江東橋四丁目,322,202,360,562
江東橋五丁目,67,47,84,131
横網一丁目,7,7,5,12
横網二丁目,54,35,34,69
亀沢一丁目,37,31,40,71
亀沢二丁目,18,24,24,48
亀沢三丁目,41,40,35,75
亀沢四丁目,61,38,82,120
石原一丁目,77,66,57,123
石原二丁目,51,41,33,74
石原三丁目,68,59,45,104
石原四丁目,58,50,70,120
本所一丁目,63,48,63,111
本所二丁目,24,20,29,49
本所三丁目,59,28,58,86
本所四丁目,39,28,44,72
東駒形一丁目,41,36,18,54
東駒形二丁目,47,46,24,70
東駒形三丁目,29,21,22,43
東駒形四丁目,29,31,36,67
吾妻橋一丁目,52,39,41,80
吾妻橋二丁目,17,13,17,30
吾妻橋三丁目,22,19,25,44
錦糸一丁目,126,86,126,212
錦糸二丁目,65,60,78,138
錦糸三丁目,75,53,90,143
錦糸四丁目,107,85,123,208
太平一丁目,151,114,152,266
太平二丁目,85,53,104,157
太平三丁目,80,58,80,138
太平四丁目,170,143,197,340
横川一丁目,36,42,37,79
横川二丁目,39,29,32,61
横川三丁目,25,24,35,59
横川四丁目,85,47,69,116
横川五丁目,36,51,87,138
業平一丁目,31,25,30,55
業平二丁目,17,21,22,43
業平三丁目,31,23,24,47
業平四丁目,32,38,44,82
業平五丁目,21,20,20,40
向島一丁目,30,31,24,55
向島二丁目,34,34,27,61
向島三丁目,61,39,59,98
向島四丁目,22,28,28,56
向島五丁目,49,42,58,100
東向島一丁目,31,28,36,64
東向島二丁目,44,44,57,101
東向島三丁目,50,34,51,85
東向島四丁目,45,37,57,94
東向島五丁目,37,34,48,82
東向島六丁目,41,33,53,86
堤通一丁目,37,42,44,86
堤通二丁目,68,80,147,227
墨田一丁目,29,44,56,100
墨田二丁目,35,39,54,93
墨田三丁目,29,33,48,81
墨田四丁目,44,39,55,94
墨田五丁目,20,16,32,48
押上一丁目,28,25,33,58
押上二丁目,49,34,58,92
押上三丁目,51,56,57,113
京島一丁目,69,67,112,179
京島二丁目,18,20,19,39
京島三丁目,36,35,51,86
文花一丁目,65,90,144,234
文花二丁目,51,34,61,95
文花三丁目,23,20,41,61
八広一丁目,31,25,45,70
八広二丁目,32,35,57,92
八広三丁目,28,32,44,76
八広四丁目,40,28,72,100
八広五丁目,48,43,59,102
八広六丁目,33,35,50,85
立花一丁目,255,235,274,509
立花二丁目,87,56,50,106
立花三丁目,66,60,71,131
立花四丁目,68,64,100,164
立花五丁目,90,106,112,218
立花六丁目,39,24,58,82
東墨田一丁目,20,21,3,24
東墨田二丁目,33,40,27,67
東墨田三丁目,23,26,16,42
