町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,89,57,69,126
両国二丁目,128,80,98,178
両国三丁目,65,45,52,97
両国四丁目,114,77,78,155
千歳一丁目,33,20,28,48
千歳二丁目,41,29,28,57
千歳三丁目,57,45,48,93
緑一丁目,134,75,97,172
緑二丁目,85,57,79,136
緑三丁目,109,89,99,188
緑四丁目,239,160,193,353
立川一丁目,33,17,21,38
立川二丁目,40,33,15,48
立川三丁目,32,26,25,51
立川四丁目,59,36,45,81
菊川一丁目,49,33,37,70
菊川二丁目,49,32,40,72
菊川三丁目,92,69,73,142
江東橋一丁目,136,84,151,235
江東橋二丁目,178,119,174,293
江東橋三丁目,130,86,98,184
江東橋四丁目,337,203,343,546
江東橋五丁目,74,51,76,127
横網一丁目,13,13,8,21
横網二丁目,47,31,32,63
亀沢一丁目,45,36,41,77
亀沢二丁目,49,34,49,83
亀沢三丁目,51,41,54,95
亀沢四丁目,93,58,105,163
石原一丁目,95,68,71,139
石原二丁目,49,39,39,78
石原三丁目,66,56,45,101
石原四丁目,79,57,77,134
本所一丁目,47,34,60,94
本所二丁目,16,12,22,34
本所三丁目,47,24,43,67
本所四丁目,47,30,53,83
東駒形一丁目,46,31,32,63
東駒形二丁目,38,31,20,51
東駒形三丁目,31,17,27,44
東駒形四丁目,30,27,36,63
吾妻橋一丁目,66,66,52,118
吾妻橋二丁目,24,17,27,44
吾妻橋三丁目,27,21,32,53
錦糸一丁目,130,75,133,208
錦糸二丁目,86,64,86,150
錦糸三丁目,68,44,68,112
錦糸四丁目,106,78,116,194
太平一丁目,176,137,164,301
太平二丁目,89,61,83,144
太平三丁目,87,56,83,139
太平四丁目,154,128,192,320
横川一丁目,31,32,35,67
横川二丁目,39,31,27,58
横川三丁目,45,40,49,89
横川四丁目,62,35,52,87
横川五丁目,56,67,114,181
業平一丁目,45,39,39,78
業平二丁目,17,20,17,37
業平三丁目,22,13,20,33
業平四丁目,48,40,55,95
業平五丁目,45,35,31,66
向島一丁目,53,47,39,86
向島二丁目,43,34,32,66
向島三丁目,98,61,80,141
向島四丁目,36,35,33,68
向島五丁目,67,61,64,125
東向島一丁目,47,37,53,90
東向島二丁目,47,41,66,107
東向島三丁目,62,45,58,103
東向島四丁目,55,41,64,105
東向島五丁目,45,39,57,96
東向島六丁目,48,40,58,98
堤通一丁目,48,54,43,97
堤通二丁目,73,90,148,238
墨田一丁目,67,50,90,140
墨田二丁目,46,47,54,101
墨田三丁目,70,49,75,124
墨田四丁目,61,54,56,110
墨田五丁目,38,28,46,74
押上一丁目,40,37,34,71
押上二丁目,50,34,45,79
押上三丁目,67,52,89,141
京島一丁目,72,70,101,171
京島二丁目,25,24,17,41
京島三丁目,39,34,48,82
文花一丁目,73,89,150,239
文花二丁目,81,47,80,127
文花三丁目,22,26,26,52
八広一丁目,40,37,50,87
八広二丁目,48,50,50,100
八広三丁目,40,41,53,94
八広四丁目,53,40,75,115
八広五丁目,45,43,52,95
八広六丁目,48,45,65,110
立花一丁目,420,376,394,770
立花二丁目,59,48,42,90
立花三丁目,98,77,109,186
立花四丁目,72,75,114,189
立花五丁目,104,117,107,224
立花六丁目,73,51,74,125
東墨田一丁目,16,14,4,18
東墨田二丁目,39,46,33,79
東墨田三丁目,28,19,23,42
