町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,136,75,95,170
両国二丁目,113,67,93,160
両国三丁目,58,45,46,91
両国四丁目,129,71,95,166
千歳一丁目,30,22,24,46
千歳二丁目,30,16,29,45
千歳三丁目,45,31,43,74
緑一丁目,145,103,86,189
緑二丁目,72,43,64,107
緑三丁目,107,91,87,178
緑四丁目,208,134,206,340
立川一丁目,39,24,34,58
立川二丁目,45,39,21,60
立川三丁目,13,14,12,26
立川四丁目,39,28,38,66
菊川一丁目,28,17,29,46
菊川二丁目,34,20,36,56
菊川三丁目,78,50,80,130
江東橋一丁目,104,71,124,195
江東橋二丁目,161,119,162,281
江東橋三丁目,107,78,89,167
江東橋四丁目,330,204,382,586
江東橋五丁目,61,50,80,130
横網一丁目,11,12,4,16
横網二丁目,54,38,31,69
亀沢一丁目,43,34,44,78
亀沢二丁目,18,25,26,51
亀沢三丁目,40,37,37,74
亀沢四丁目,84,45,93,138
石原一丁目,83,74,59,133
石原二丁目,59,47,32,79
石原三丁目,63,56,40,96
石原四丁目,61,51,62,113
本所一丁目,71,54,63,117
本所二丁目,25,21,31,52
本所三丁目,68,36,63,99
本所四丁目,36,23,45,68
東駒形一丁目,48,32,29,61
東駒形二丁目,39,38,20,58
東駒形三丁目,31,20,23,43
東駒形四丁目,22,26,32,58
吾妻橋一丁目,47,34,39,73
吾妻橋二丁目,22,13,20,33
吾妻橋三丁目,23,18,28,46
錦糸一丁目,148,103,139,242
錦糸二丁目,77,69,62,131
錦糸三丁目,67,46,80,126
錦糸四丁目,109,84,122,206
太平一丁目,143,117,144,261
太平二丁目,86,55,102,157
太平三丁目,77,57,72,129
太平四丁目,155,124,203,327
横川一丁目,32,37,33,70
横川二丁目,47,36,36,72
横川三丁目,30,25,41,66
横川四丁目,87,54,64,118
横川五丁目,45,58,101,159
業平一丁目,32,27,29,56
業平二丁目,22,24,23,47
業平三丁目,24,20,19,39
業平四丁目,46,42,55,97
業平五丁目,24,22,21,43
向島一丁目,37,34,29,63
向島二丁目,34,32,31,63
向島三丁目,73,40,68,108
向島四丁目,27,31,31,62
向島五丁目,57,53,59,112
東向島一丁目,28,25,32,57
東向島二丁目,40,39,58,97
東向島三丁目,54,36,51,87
東向島四丁目,48,41,56,97
東向島五丁目,43,37,50,87
東向島六丁目,37,25,56,81
堤通一丁目,37,42,44,86
堤通二丁目,67,79,144,223
墨田一丁目,29,41,57,98
墨田二丁目,27,35,52,87
墨田三丁目,29,30,50,80
墨田四丁目,48,39,60,99
墨田五丁目,20,16,31,47
押上一丁目,33,27,35,62
押上二丁目,59,45,57,102
押上三丁目,54,53,64,117
京島一丁目,66,62,113,175
京島二丁目,17,17,18,35
京島三丁目,36,34,46,80
文花一丁目,69,88,145,233
文花二丁目,53,32,69,101
文花三丁目,27,27,33,60
八広一丁目,30,25,45,70
八広二丁目,40,38,59,97
八広三丁目,33,37,47,84
八広四丁目,40,26,69,95
八広五丁目,46,41,58,99
八広六丁目,35,35,52,87
立花一丁目,287,256,302,558
立花二丁目,65,48,38,86
立花三丁目,76,66,75,141
立花四丁目,71,55,114,169
立花五丁目,93,110,112,222
立花六丁目,44,32,61,93
東墨田一丁目,18,19,3,22
東墨田二丁目,36,45,24,69
東墨田三丁目,24,27,14,41
