町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,126,82,82,164
両国二丁目,119,72,96,168
両国三丁目,56,38,44,82
両国四丁目,109,76,72,148
千歳一丁目,37,21,31,52
千歳二丁目,33,22,27,49
千歳三丁目,59,44,44,88
緑一丁目,121,79,80,159
緑二丁目,77,59,65,124
緑三丁目,93,72,96,168
緑四丁目,236,162,176,338
立川一丁目,22,9,20,29
立川二丁目,37,31,14,45
立川三丁目,29,25,22,47
立川四丁目,58,43,36,79
菊川一丁目,50,29,38,67
菊川二丁目,35,23,35,58
菊川三丁目,88,69,68,137
江東橋一丁目,132,81,146,227
江東橋二丁目,169,110,158,268
江東橋三丁目,128,77,97,174
江東橋四丁目,322,197,317,514
江東橋五丁目,74,61,81,142
横網一丁目,7,5,5,10
横網二丁目,36,26,24,50
亀沢一丁目,42,32,39,71
亀沢二丁目,46,32,47,79
亀沢三丁目,52,39,53,92
亀沢四丁目,91,54,101,155
石原一丁目,101,68,68,136
石原二丁目,51,40,40,80
石原三丁目,56,46,37,83
石原四丁目,86,64,86,150
本所一丁目,47,33,53,86
本所二丁目,16,14,24,38
本所三丁目,52,23,48,71
本所四丁目,53,33,55,88
東駒形一丁目,40,26,29,55
東駒形二丁目,34,24,19,43
東駒形三丁目,25,14,21,35
東駒形四丁目,31,28,36,64
吾妻橋一丁目,59,57,49,106
吾妻橋二丁目,25,15,23,38
吾妻橋三丁目,20,20,24,44
錦糸一丁目,140,82,123,205
錦糸二丁目,79,55,84,139
錦糸三丁目,63,38,62,100
錦糸四丁目,94,79,98,177
太平一丁目,170,121,152,273
太平二丁目,73,53,66,119
太平三丁目,84,54,83,137
太平四丁目,148,130,184,314
横川一丁目,30,30,32,62
横川二丁目,40,34,29,63
横川三丁目,37,28,42,70
横川四丁目,65,41,45,86
横川五丁目,51,70,115,185
業平一丁目,44,34,37,71
業平二丁目,17,21,18,39
業平三丁目,23,16,18,34
業平四丁目,43,35,50,85
業平五丁目,47,34,36,70
向島一丁目,45,40,37,77
向島二丁目,40,33,33,66
向島三丁目,93,62,76,138
向島四丁目,31,31,30,61
向島五丁目,68,61,65,126
東向島一丁目,51,45,46,91
東向島二丁目,43,39,64,103
東向島三丁目,64,51,60,111
東向島四丁目,50,39,60,99
東向島五丁目,50,43,57,100
東向島六丁目,56,43,61,104
堤通一丁目,44,50,38,88
堤通二丁目,78,91,151,242
墨田一丁目,60,46,91,137
墨田二丁目,44,45,55,100
墨田三丁目,54,51,65,116
墨田四丁目,53,48,55,103
墨田五丁目,35,25,43,68
押上一丁目,31,27,30,57
押上二丁目,43,29,43,72
押上三丁目,63,52,86,138
京島一丁目,71,67,96,163
京島二丁目,27,27,17,44
京島三丁目,35,30,48,78
文花一丁目,76,91,151,242
文花二丁目,72,45,78,123
文花三丁目,16,23,22,45
八広一丁目,41,37,46,83
八広二丁目,50,52,52,104
八広三丁目,37,38,49,87
八広四丁目,64,43,80,123
八広五丁目,41,44,44,88
八広六丁目,46,45,63,108
立花一丁目,440,368,401,769
立花二丁目,52,40,43,83
立花三丁目,88,73,96,169
立花四丁目,71,76,103,179
立花五丁目,113,124,103,227
立花六丁目,68,48,68,116
東墨田一丁目,20,18,4,22
東墨田二丁目,39,43,32,75
東墨田三丁目,28,26,22,48
