町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,136,84,90,174
両国二丁目,124,77,94,171
両国三丁目,57,44,43,87
両国四丁目,123,89,73,162
千歳一丁目,34,18,29,47
千歳二丁目,37,23,29,52
千歳三丁目,61,47,47,94
緑一丁目,122,79,80,159
緑二丁目,72,51,66,117
緑三丁目,89,72,95,167
緑四丁目,222,154,164,318
立川一丁目,24,11,19,30
立川二丁目,39,33,15,48
立川三丁目,33,30,24,54
立川四丁目,55,39,36,75
菊川一丁目,46,30,34,64
菊川二丁目,37,25,35,60
菊川三丁目,89,68,72,140
江東橋一丁目,133,85,146,231
江東橋二丁目,166,112,161,273
江東橋三丁目,123,75,94,169
江東橋四丁目,333,207,322,529
江東橋五丁目,82,64,87,151
横網一丁目,8,8,6,14
横網二丁目,40,28,26,54
亀沢一丁目,42,35,40,75
亀沢二丁目,59,36,57,93
亀沢三丁目,52,40,53,93
亀沢四丁目,85,52,99,151
石原一丁目,93,66,63,129
石原二丁目,55,41,42,83
石原三丁目,58,47,38,85
石原四丁目,85,65,83,148
本所一丁目,51,34,57,91
本所二丁目,14,13,22,35
本所三丁目,61,24,56,80
本所四丁目,54,34,56,90
東駒形一丁目,41,30,28,58
東駒形二丁目,34,24,19,43
東駒形三丁目,26,14,23,37
東駒形四丁目,30,28,34,62
吾妻橋一丁目,62,59,54,113
吾妻橋二丁目,26,15,24,39
吾妻橋三丁目,20,20,24,44
錦糸一丁目,136,80,128,208
錦糸二丁目,82,57,84,141
錦糸三丁目,61,38,61,99
錦糸四丁目,100,79,104,183
太平一丁目,162,120,150,270
太平二丁目,74,53,66,119
太平三丁目,82,54,82,136
太平四丁目,149,128,183,311
横川一丁目,32,29,37,66
横川二丁目,39,35,30,65
横川三丁目,38,30,46,76
横川四丁目,71,42,50,92
横川五丁目,52,69,113,182
業平一丁目,45,32,35,67
業平二丁目,20,22,20,42
業平三丁目,22,16,16,32
業平四丁目,45,37,51,88
業平五丁目,45,34,35,69
向島一丁目,44,40,34,74
向島二丁目,43,34,34,68
向島三丁目,89,60,74,134
向島四丁目,33,34,29,63
向島五丁目,69,61,65,126
東向島一丁目,49,44,45,89
東向島二丁目,44,39,64,103
東向島三丁目,73,58,61,119
東向島四丁目,50,36,60,96
東向島五丁目,54,43,59,102
東向島六丁目,50,41,57,98
堤通一丁目,46,54,37,91
堤通二丁目,78,91,152,243
墨田一丁目,67,51,95,146
墨田二丁目,44,40,52,92
墨田三丁目,55,50,66,116
墨田四丁目,54,51,52,103
墨田五丁目,35,26,41,67
押上一丁目,31,28,30,58
押上二丁目,61,45,46,91
押上三丁目,60,51,86,137
京島一丁目,70,72,95,167
京島二丁目,27,27,16,43
京島三丁目,36,29,49,78
文花一丁目,77,91,149,240
文花二丁目,75,47,77,124
文花三丁目,17,23,23,46
八広一丁目,39,34,46,80
八広二丁目,52,53,51,104
八広三丁目,38,39,51,90
八広四丁目,61,42,77,119
八広五丁目,42,42,47,89
八広六丁目,39,38,60,98
立花一丁目,449,381,405,786
立花二丁目,54,42,43,85
立花三丁目,89,75,99,174
立花四丁目,67,73,103,176
立花五丁目,113,125,106,231
立花六丁目,75,51,74,125
東墨田一丁目,21,19,4,23
東墨田二丁目,37,42,32,74
東墨田三丁目,33,31,22,53
