町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,72,47,52,99
両国二丁目,90,64,84,148
両国三丁目,51,40,46,86
両国四丁目,71,48,61,109
千歳一丁目,26,19,21,40
千歳二丁目,20,14,20,34
千歳三丁目,42,25,43,68
緑一丁目,81,59,59,118
緑二丁目,62,43,61,104
緑三丁目,72,62,67,129
緑四丁目,184,129,177,306
立川一丁目,19,12,18,30
立川二丁目,23,21,16,37
立川三丁目,18,15,20,35
立川四丁目,34,25,34,59
菊川一丁目,20,10,25,35
菊川二丁目,28,17,30,47
菊川三丁目,58,40,57,97
江東橋一丁目,99,72,123,195
江東橋二丁目,123,90,148,238
江東橋三丁目,83,66,78,144
江東橋四丁目,305,173,358,531
江東橋五丁目,56,43,81,124
横網一丁目,3,5,2,7
横網二丁目,63,55,25,80
亀沢一丁目,40,28,42,70
亀沢二丁目,30,29,26,55
亀沢三丁目,36,28,38,66
亀沢四丁目,58,46,83,129
石原一丁目,73,58,67,125
石原二丁目,32,27,35,62
石原三丁目,63,51,48,99
石原四丁目,44,32,70,102
本所一丁目,51,39,67,106
本所二丁目,19,15,31,46
本所三丁目,33,30,37,67
本所四丁目,28,20,42,62
東駒形一丁目,39,34,22,56
東駒形二丁目,38,33,22,55
東駒形三丁目,27,20,21,41
東駒形四丁目,26,27,35,62
吾妻橋一丁目,44,35,40,75
吾妻橋二丁目,18,14,17,31
吾妻橋三丁目,27,26,26,52
錦糸一丁目,113,87,126,213
錦糸二丁目,78,74,77,151
錦糸三丁目,69,43,94,137
錦糸四丁目,111,87,131,218
太平一丁目,135,113,142,255
太平二丁目,107,76,110,186
太平三丁目,54,39,60,99
太平四丁目,160,131,195,326
横川一丁目,31,35,33,68
横川二丁目,38,26,29,55
横川三丁目,23,19,36,55
横川四丁目,41,27,42,69
横川五丁目,29,40,73,113
業平一丁目,18,16,22,38
業平二丁目,22,27,24,51
業平三丁目,19,18,20,38
業平四丁目,33,35,44,79
業平五丁目,24,14,28,42
向島一丁目,25,25,20,45
向島二丁目,20,21,23,44
向島三丁目,31,22,41,63
向島四丁目,16,21,25,46
向島五丁目,42,32,52,84
東向島一丁目,29,26,33,59
東向島二丁目,36,33,55,88
東向島三丁目,36,31,42,73
東向島四丁目,35,31,53,84
東向島五丁目,30,32,45,77
東向島六丁目,28,28,44,72
堤通一丁目,42,48,39,87
堤通二丁目,60,71,135,206
墨田一丁目,23,36,51,87
墨田二丁目,34,38,53,91
墨田三丁目,26,31,44,75
墨田四丁目,40,36,53,89
墨田五丁目,19,16,27,43
押上一丁目,29,21,33,54
押上二丁目,35,30,54,84
押上三丁目,34,41,53,94
京島一丁目,50,54,96,150
京島二丁目,17,22,20,42
京島三丁目,33,35,46,81
文花一丁目,63,97,132,229
文花二丁目,35,18,54,72
文花三丁目,32,33,41,74
八広一丁目,21,24,42,66
八広二丁目,37,36,60,96
八広三丁目,25,28,50,78
八広四丁目,45,35,70,105
八広五丁目,34,32,59,91
八広六丁目,36,41,44,85
立花一丁目,191,196,215,411
立花二丁目,42,29,36,65
立花三丁目,62,55,65,120
立花四丁目,49,56,93,149
立花五丁目,81,89,110,199
立花六丁目,42,35,59,94
東墨田一丁目,12,13,3,16
東墨田二丁目,36,43,26,69
東墨田三丁目,20,21,13,34
