町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,85,54,67,121
両国二丁目,119,77,89,166
両国三丁目,58,44,43,87
両国四丁目,100,67,72,139
千歳一丁目,35,19,31,50
千歳二丁目,33,21,27,48
千歳三丁目,52,43,42,85
緑一丁目,110,68,77,145
緑二丁目,70,52,63,115
緑三丁目,92,72,95,167
緑四丁目,220,149,174,323
立川一丁目,24,10,18,28
立川二丁目,37,32,14,46
立川三丁目,31,27,24,51
立川四丁目,54,38,36,74
菊川一丁目,48,32,36,68
菊川二丁目,38,22,37,59
菊川三丁目,82,61,71,132
江東橋一丁目,130,85,146,231
江東橋二丁目,171,111,173,284
江東橋三丁目,120,73,94,167
江東橋四丁目,324,200,320,520
江東橋五丁目,78,58,86,144
横網一丁目,9,10,6,16
横網二丁目,35,24,24,48
亀沢一丁目,39,32,38,70
亀沢二丁目,40,31,40,71
亀沢三丁目,49,37,53,90
亀沢四丁目,88,52,100,152
石原一丁目,88,67,62,129
石原二丁目,51,40,40,80
石原三丁目,63,50,43,93
石原四丁目,78,57,80,137
本所一丁目,45,28,57,85
本所二丁目,11,11,21,32
本所三丁目,48,28,43,71
本所四丁目,49,32,55,87
東駒形一丁目,43,34,28,62
東駒形二丁目,34,27,18,45
東駒形三丁目,27,14,23,37
東駒形四丁目,27,26,33,59
吾妻橋一丁目,62,60,54,114
吾妻橋二丁目,27,17,26,43
吾妻橋三丁目,22,19,27,46
錦糸一丁目,129,78,128,206
錦糸二丁目,78,54,80,134
錦糸三丁目,61,38,62,100
錦糸四丁目,111,80,118,198
太平一丁目,166,124,147,271
太平二丁目,78,50,70,120
太平三丁目,81,55,80,135
太平四丁目,148,127,181,308
横川一丁目,29,31,33,64
横川二丁目,39,34,31,65
横川三丁目,42,35,48,83
横川四丁目,60,35,49,84
横川五丁目,58,66,117,183
業平一丁目,44,35,32,67
業平二丁目,17,19,19,38
業平三丁目,25,16,20,36
業平四丁目,47,34,53,87
業平五丁目,38,32,27,59
向島一丁目,44,42,33,75
向島二丁目,43,33,34,67
向島三丁目,81,55,67,122
向島四丁目,35,35,30,65
向島五丁目,69,61,62,123
東向島一丁目,48,44,46,90
東向島二丁目,44,41,63,104
東向島三丁目,57,44,56,100
東向島四丁目,46,37,56,93
東向島五丁目,53,42,57,99
東向島六丁目,51,41,61,102
堤通一丁目,43,50,38,88
堤通二丁目,77,92,149,241
墨田一丁目,63,54,88,142
墨田二丁目,45,44,52,96
墨田三丁目,61,51,70,121
墨田四丁目,62,55,57,112
墨田五丁目,33,24,41,65
押上一丁目,34,31,32,63
押上二丁目,51,36,47,83
押上三丁目,65,51,91,142
京島一丁目,68,63,101,164
京島二丁目,27,26,18,44
京島三丁目,33,29,47,76
文花一丁目,74,89,146,235
文花二丁目,72,45,76,121
文花三丁目,19,24,24,48
八広一丁目,41,35,50,85
八広二丁目,46,50,49,99
八広三丁目,41,42,50,92
八広四丁目,52,39,71,110
八広五丁目,41,42,46,88
八広六丁目,43,40,61,101
立花一丁目,426,364,409,773
立花二丁目,49,41,39,80
立花三丁目,85,72,96,168
立花四丁目,65,73,101,174
立花五丁目,108,122,102,224
立花六丁目,67,45,75,120
東墨田一丁目,16,14,4,18
東墨田二丁目,39,45,31,76
東墨田三丁目,29,28,17,45
