町丁目,世帯数[世帯],男[人],女[人],合計[人]
両国一丁目,76,46,55,101
両国二丁目,94,64,87,151
両国三丁目,47,38,44,82
両国四丁目,73,49,58,107
千歳一丁目,21,15,21,36
千歳二丁目,20,14,20,34
千歳三丁目,41,24,42,66
緑一丁目,78,57,56,113
緑二丁目,76,54,64,118
緑三丁目,74,63,68,131
緑四丁目,155,115,160,275
立川一丁目,18,12,17,29
立川二丁目,25,22,18,40
立川三丁目,21,17,20,37
立川四丁目,35,26,35,61
菊川一丁目,22,12,27,39
菊川二丁目,29,18,31,49
菊川三丁目,58,44,55,99
江東橋一丁目,97,72,124,196
江東橋二丁目,125,92,147,239
江東橋三丁目,88,67,81,148
江東橋四丁目,320,184,372,556
江東橋五丁目,59,44,83,127
横網一丁目,3,5,2,7
横網二丁目,59,50,23,73
亀沢一丁目,40,29,46,75
亀沢二丁目,33,31,28,59
亀沢三丁目,36,29,37,66
亀沢四丁目,59,48,81,129
石原一丁目,72,57,65,122
石原二丁目,45,39,36,75
石原三丁目,65,52,50,102
石原四丁目,44,32,70,102
本所一丁目,51,39,67,106
本所二丁目,25,19,33,52
本所三丁目,54,27,61,88
本所四丁目,33,21,44,65
東駒形一丁目,41,34,23,57
東駒形二丁目,48,43,22,65
東駒形三丁目,27,20,21,41
東駒形四丁目,27,29,36,65
吾妻橋一丁目,47,35,41,76
吾妻橋二丁目,18,15,17,32
吾妻橋三丁目,25,24,25,49
錦糸一丁目,118,90,128,218
錦糸二丁目,75,72,75,147
錦糸三丁目,66,43,92,135
錦糸四丁目,108,88,128,216
太平一丁目,138,115,142,257
太平二丁目,106,75,111,186
太平三丁目,54,40,59,99
太平四丁目,166,134,199,333
横川一丁目,30,34,33,67
横川二丁目,37,25,29,54
横川三丁目,24,20,36,56
横川四丁目,46,29,44,73
横川五丁目,30,42,72,114
業平一丁目,19,18,21,39
業平二丁目,22,27,24,51
業平三丁目,19,16,21,37
業平四丁目,33,34,44,78
業平五丁目,22,15,25,40
向島一丁目,26,26,20,46
向島二丁目,25,25,24,49
向島三丁目,33,24,42,66
向島四丁目,16,22,25,47
向島五丁目,42,32,52,84
東向島一丁目,27,26,32,58
東向島二丁目,36,31,56,87
東向島三丁目,38,32,42,74
東向島四丁目,39,32,55,87
東向島五丁目,35,33,49,82
東向島六丁目,30,28,46,74
堤通一丁目,41,49,40,89
堤通二丁目,61,72,139,211
墨田一丁目,22,35,50,85
墨田二丁目,34,38,52,90
墨田三丁目,27,31,46,77
墨田四丁目,43,38,56,94
墨田五丁目,19,16,27,43
押上一丁目,26,19,31,50
押上二丁目,37,32,52,84
押上三丁目,36,41,54,95
京島一丁目,49,51,95,146
京島二丁目,17,22,20,42
京島三丁目,33,36,45,81
文花一丁目,62,95,134,229
文花二丁目,36,21,52,73
文花三丁目,33,34,43,77
八広一丁目,22,24,42,66
八広二丁目,43,42,63,105
八広三丁目,25,28,49,77
八広四丁目,48,35,73,108
八広五丁目,32,31,59,90
八広六丁目,37,40,46,86
立花一丁目,189,192,216,408
立花二丁目,70,45,48,93
立花三丁目,58,54,65,119
立花四丁目,47,53,92,145
立花五丁目,80,89,108,197
立花六丁目,41,34,59,93
東墨田一丁目,12,13,3,16
東墨田二丁目,37,43,27,70
東墨田三丁目,20,21,14,35
