"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2022120101,"港南",0,1,6,7,20,,,,9998,,11,"NE",,,
2022120102,"港南",0,1,6,7,20,,,,9998,,8,"NE",,,
2022120103,"港南",1,2,7,9,17,,,,9998,,5,"N",,,
2022120104,"港南",0,2,7,9,17,,,,9998,,7,"NNE",,,
2022120105,"港南",0,2,8,10,16,,,,9998,,4,"NW",,,
2022120106,"港南",0,5,13,18,13,,,,9998,,13,"ENE",,,
2022120107,"港南",0,8,14,22,13,,,,9998,,9,"NE",,,
2022120108,"港南",0,10,14,24,14,,,,9998,,15,"ENE",,,
2022120109,"港南",0,30,22,52,8,,,,9998,,11,"NE",,,
2022120110,"港南",0,48,26,74,7,,,,9998,,11,"ENE",,,
2022120111,"港南",0,25,23,48,9,,,,9998,,12,"E",,,
2022120112,"港南",0,40,26,66,9,,,,9998,,8,"NNE",,,
2022120113,"港南",0,18,21,39,11,,,,9998,,12,"ENE",,,
2022120114,"港南",0,29,22,51,9,,,,9998,,9,"NE",,,
2022120115,"港南",0,25,20,45,11,,,,9998,,9,"E",,,
2022120116,"港南",0,12,19,31,10,,,,9998,,14,"E",,,
2022120117,"港南",1,18,22,40,8,,,,9998,,5,"WNW",,,
2022120118,"港南",0,6,20,26,8,,,,9998,,6,"ESE",,,
2022120119,"港南",0,8,23,31,4,,,,9998,,2,"WSW",,,
2022120120,"港南",0,2,19,21,7,,,,9998,,2,"WNW",,,
2022120121,"港南",0,1,20,21,4,,,,9998,,1,"W",,,
2022120122,"港南",0,4,24,28,1,,,,9998,,4,"WNW",,,
2022120123,"港南",0,5,25,30,1,,,,9998,,7,"NE",,,
2022120124,"港南",0,2,20,22,3,,,,9998,,6,"WNW",,,
2022120201,"港南",0,1,15,16,9997,,,,9998,,9,"NW",,,
2022120202,"港南",0,1,15,16,5,,,,9998,,7,"NNW",,,
2022120203,"港南",0,0,11,11,9,,,,9998,,10,"NW",,,
2022120204,"港南",0,1,11,12,9,,,,9998,,8,"N",,,
2022120205,"港南",0,1,11,12,11,,,,9998,,9,"NNW",,,
2022120206,"港南",0,2,10,12,14,,,,9998,,13,"NW",,,
2022120207,"港南",0,2,9,11,17,,,,9998,,11,"NNW",,,
2022120208,"港南",0,30,17,47,14,,,,9998,,9,"NE",,,
2022120209,"港南",0,36,26,62,7,,,,9998,,4,"WNW",,,
2022120210,"港南",1,97,37,134,5,,,,9998,,8,"NW",,,
2022120211,"港南",1,76,34,110,6,,,,9998,,5,"W",,,
2022120212,"港南",1,69,35,104,8,,,,9998,,8,"W",,,
2022120213,"港南",1,18,24,42,12,,,,9998,,12,"ENE",,,
2022120214,"港南",1,50,30,80,9,,,,9998,,12,"ENE",,,
2022120215,"港南",1,28,26,54,10,,,,9998,,11,"ENE",,,
2022120216,"港南",0,7,18,25,13,,,,9998,,8,"E",,,
2022120217,"港南",1,21,22,43,11,,,,9998,,10,"ENE",,,
2022120218,"港南",0,6,15,21,15,,,,9998,,5,"ESE",,,
2022120219,"港南",0,5,15,20,14,,,,9998,,13,"ENE",,,
2022120220,"港南",0,3,11,14,17,,,,9998,,16,"ENE",,,
2022120221,"港南",0,2,11,13,17,,,,9998,,16,"ENE",,,
2022120222,"港南",0,3,12,15,17,,,,9998,,10,"ENE",,,
2022120223,"港南",0,1,11,12,17,,,,9998,,7,"NNW",,,
2022120224,"港南",0,1,10,11,18,,,,9998,,9,"NNW",,,
2022120301,"港南",0,0,7,7,19,,,,9998,,7,"NW",,,
2022120302,"港南",0,0,12,12,13,,,,9998,,12,"WNW",,,
2022120303,"港南",0,0,10,10,15,,,,9998,,7,"NW",,,
2022120304,"港南",0,0,10,10,15,,,,9998,,9,"WNW",,,
2022120305,"港南",0,0,10,10,15,,,,9998,,12,"NNW",,,
2022120306,"港南",0,3,9,12,17,,,,9998,,7,"NNW",,,
2022120307,"港南",0,7,14,21,12,,,,9998,,6,"NW",,,
2022120308,"港南",0,4,18,22,6,,,,9998,,10,"NW",,,
2022120309,"港南",0,6,18,24,7,,,,9998,,10,"WNW",,,
2022120310,"港南",1,8,18,26,8,,,,9998,,14,"WNW",,,
2022120311,"港南",1,9,17,26,9,,,,9998,,9,"WNW",,,
2022120312,"港南",0,9,20,29,7,,,,9998,,8,"WNW",,,
2022120313,"港南",0,10,20,30,8,,,,9998,,6,"ENE",,,
2022120314,"港南",1,15,22,37,8,,,,9998,,10,"S",,,
2022120315,"港南",1,11,25,36,6,,,,9998,,14,"S",,,
2022120316,"港南",1,7,24,31,7,,,,9998,,5,"SSW",,,
2022120317,"港南",1,10,28,38,2,,,,9998,,2,"W",,,
2022120318,"港南",1,9,33,42,0,,,,9998,,3,"WNW",,,
2022120319,"港南",1,14,34,48,0,,,,9998,,2,"WSW",,,
2022120320,"港南",1,26,35,61,0,,,,9998,,5,"ENE",,,
2022120321,"港南",1,27,35,62,1,,,,9998,,2,"WNW",,,
2022120322,"港南",0,22,33,55,1,,,,9998,,1,"SW",,,
2022120323,"港南",0,19,33,52,1,,,,9998,,4,"S",,,
2022120324,"港南",0,19,32,51,1,,,,9998,,4,"NW",,,
2022120401,"港南",0,32,36,68,1,,,,9998,,6,"NW",,,
2022120402,"港南",0,29,33,62,1,,,,9998,,4,"NW",,,
2022120403,"港南",0,18,28,46,1,,,,9998,,3,"NW",,,
2022120404,"港南",0,12,25,37,1,,,,9998,,3,"WNW",,,
2022120405,"港南",0,10,23,33,1,,,,9998,,7,"WNW",,,
2022120406,"港南",0,3,20,23,2,,,,9998,,6,"NW",,,
2022120407,"港南",0,5,19,24,2,,,,9998,,8,"WNW",,,
2022120408,"港南",0,3,13,16,7,,,,9998,,3,"W",,,
2022120409,"港南",0,5,14,19,7,,,,9998,,5,"NNW",,,
2022120410,"港南",0,7,16,23,8,,,,9998,,5,"WSW",,,
2022120411,"港南",1,8,18,26,8,,,,9998,,6,"SW",,,
2022120412,"港南",0,6,16,22,13,,,,9998,,6,"WNW",,,
2022120413,"港南",0,2,12,14,18,,,,9998,,5,"SSW",,,
2022120414,"港南",0,2,12,14,18,,,,9998,,5,"ESE",,,
2022120415,"港南",1,8,27,35,8,,,,9998,,3,"ESE",,,
2022120416,"港南",1,17,40,57,2,,,,9998,,4,"SE",,,
2022120417,"港南",1,34,44,78,0,,,,9998,,4,"SW",,,
2022120418,"港南",0,2,13,15,19,,,,9998,,11,"NNW",,,
2022120419,"港南",0,0,8,8,21,,,,9998,,11,"WNW",,,
2022120420,"港南",0,0,11,11,16,,,,9998,,9,"NNW",,,
2022120421,"港南",0,1,14,15,14,,,,9998,,5,"WNW",,,
2022120422,"港南",0,2,14,16,14,,,,9998,,7,"N",,,
2022120423,"港南",0,2,15,17,11,,,,9998,,6,"NW",,,
2022120424,"港南",0,0,12,12,14,,,,9998,,6,"NNE",,,
2022120501,"港南",0,0,10,10,15,,,,9998,,4,"NW",,,
2022120502,"港南",0,0,8,8,17,,,,9998,,7,"NNE",,,
2022120503,"港南",0,0,7,7,21,,,,9998,,5,"N",,,
2022120504,"港南",0,2,9,11,19,,,,9998,,9,"NNE",,,
2022120505,"港南",0,2,11,13,18,,,,9998,,8,"W",,,
2022120506,"港南",0,4,15,19,13,,,,9998,,8,"NE",,,
2022120507,"港南",0,12,21,33,9,,,,9998,,8,"NNE",,,
2022120508,"港南",0,24,25,49,7,,,,9998,,8,"ENE",,,
2022120509,"港南",1,52,32,84,7,,,,9998,,8,"NW",,,
2022120510,"港南",1,51,33,84,7,,,,9998,,10,"NE",,,
2022120511,"港南",1,86,37,123,5,,,,9998,,5,"WNW",,,
2022120512,"港南",1,102,42,144,6,,,,9998,,6,"NNW",,,
2022120513,"港南",9998,9998,9998,9998,9998,,,,9998,,12,"N",,,
2022120514,"港南",1,57,33,90,6,,,,9998,,8,"N",,,
2022120515,"港南",1,90,41,131,3,,,,9998,,8,"NNW",,,
2022120516,"港南",1,79,37,116,5,,,,9998,,13,"NW",,,
2022120517,"港南",0,45,32,77,7,,,,9998,,4,"NNE",,,
2022120518,"港南",1,102,43,145,2,,,,9998,,7,"NW",,,
2022120519,"港南",1,173,54,227,3,,,,9998,,6,"NNW",,,
2022120520,"港南",1,98,43,141,3,,,,9998,,8,"NW",,,
2022120521,"港南",1,126,44,170,4,,,,9998,,8,"NW",,,
2022120522,"港南",0,8,17,25,10,,,,9998,,9,"NNE",,,
2022120523,"港南",0,1,12,13,11,,,,9998,,7,"NW",,,
2022120524,"港南",0,1,12,13,12,,,,9998,,7,"N",,,
2022120601,"港南",9997,9997,9997,9997,12,,,,9998,,7,"NNE",,,
2022120602,"港南",0,1,11,12,14,,,,9998,,10,"NW",,,
2022120603,"港南",0,0,10,10,14,,,,9998,,10,"NW",,,
2022120604,"港南",0,1,9,10,15,,,,9998,,12,"NW",,,
2022120605,"港南",0,1,8,9,15,,,,9998,,15,"NW",,,
2022120606,"港南",0,2,9,11,11,,,,9998,,13,"NW",,,
2022120607,"港南",0,1,12,13,8,,,,9998,,14,"WNW",,,
2022120608,"港南",0,7,17,24,5,,,,9998,,9,"NW",,,
2022120609,"港南",0,11,20,31,5,,,,9998,,11,"WNW",,,
2022120610,"港南",0,50,33,83,3,,,,9998,,10,"NW",,,
2022120611,"港南",0,83,40,123,3,,,,9998,,12,"NW",,,
2022120612,"港南",0,13,25,38,4,,,,9998,,6,"NW",,,
2022120613,"港南",0,16,24,40,6,,,,9998,,8,"NW",,,
2022120614,"港南",0,70,16,86,5,,,,9998,,8,"WNW",,,
2022120615,"港南",0,42,31,73,5,,,,9998,,5,"N",,,
2022120616,"港南",0,22,30,52,4,,,,9998,,4,"W",,,
2022120617,"港南",0,41,30,71,1,,,,9998,,2,"WNW",,,
2022120618,"港南",0,8,25,33,7,,,,9998,,3,"W",,,
2022120619,"港南",0,1,20,21,9,,,,9998,,2,"WSW",,,
2022120620,"港南",0,1,19,20,7,,,,9998,,1,"WSW",,,
2022120621,"港南",0,4,24,28,3,,,,9998,,3,"W",,,
2022120622,"港南",0,2,28,30,4,,,,9998,,6,"W",,,
2022120623,"港南",0,1,22,23,7,,,,9998,,6,"WNW",,,
2022120624,"港南",0,2,24,26,3,,,,9998,,4,"WNW",,,
