地域階層,地域コード,国・地域(人),総数,中国,韓国,ベトナム,フィリピン,ネパール,台湾,米国,インド,ミャンマー,タイ,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,522732,206110,84028,34815,32709,24566,17465,17384,12967,10678,7383,74627,539342,-16610
1,13100,区部,435020,175607,71161,26666,24204,20936,15059,14146,11997,9920,5981,59343,451207,-16187
4,13101,千代田区,2856,1291,440,82,57,28,175,188,62,8,38,487,3016,-160
4,13102,中央区,8175,3709,1439,192,137,91,426,424,237,45,90,1385,8204,-29
4,13103,港区,17394,3877,3105,156,955,83,677,2473,463,54,150,5401,18968,-1574
4,13104,新宿区,34572,11832,8741,2178,705,2366,1488,845,220,1731,590,3876,36357,-1785
4,13105,文京区,9844,4844,1484,565,195,237,464,300,83,285,168,1219,10124,-280
4,13106,台東区,14105,6246,2816,744,718,375,441,297,665,119,331,1353,14351,-246
4,13107,墨田区,12036,5637,1818,558,1240,270,431,208,115,100,370,1289,12239,-203
4,13108,江東区,29386,14727,4332,1020,1568,637,674,497,2429,453,342,2707,30293,-907
4,13109,品川区,12758,4455,2309,515,771,676,667,562,272,267,166,2098,13491,-733
4,13110,目黒区,8812,1839,1405,206,514,232,473,978,144,45,156,2820,9088,-276
4,13111,大田区,23289,8013,3189,1885,2460,2186,935,599,293,306,420,3003,24256,-967
4,13112,世田谷区,21128,5859,3964,848,903,476,998,1753,529,179,254,5365,22090,-962
4,13113,渋谷区,9780,1968,1593,228,286,176,534,1320,197,35,119,3324,10597,-817
4,13114,中野区,16189,5730,2551,1508,539,1766,748,483,100,445,217,2102,17558,-1369
4,13115,杉並区,15447,5039,2325,1272,494,1992,746,695,100,214,201,2369,16605,-1158
4,13116,豊島区,24694,11274,2117,2458,505,2211,968,415,160,2096,244,2246,25603,-909
4,13117,北区,21435,10479,2255,1776,811,1162,556,245,176,1100,191,2684,21852,-417
4,13118,荒川区,17756,7124,4495,1572,537,1131,354,175,114,627,159,1468,17838,-82
4,13119,板橋区,25832,13382,2995,1665,1507,1296,919,363,118,445,323,2819,26968,-1136
4,13120,練馬区,19135,8034,3964,921,1108,785,688,536,124,248,267,2460,19935,-800
4,13121,足立区,33241,14664,6923,2184,3678,590,620,311,154,345,454,3318,33526,-285
4,13122,葛飾区,21732,11094,2962,1317,1599,959,438,171,121,292,265,2514,22148,-416
