id,q1_1,q1_2,q2,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q51_1_1,q51_1_2,q51_1_3,q51_2_1,q51_2_2,q51_2_3,q51_3_1,q51_3_2,q51_3_3,q52_1_1,q52_1_2,q52_1_3,q52_2_1,q52_2_2,q52_2_3,q52_3_1,q52_3_2,q52_3_3,q53_1_1,q53_1_2,q53_1_3,q53_2_1,q53_2_2,q53_2_3,q53_3_1,q53_3_2,q53_3_3,q54_1_1,q54_1_2,q54_1_3,q54_2_1,q54_2_2,q54_2_3,q54_3_1,q54_3_2,q54_3_3,q6_1,q6_2,q6_3,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q7_12,q7_13,q8,q9_1,q9_2,q9_3,q9_4,q9_5,q10_1,q10_2,q10_3,q10_4,q10_5,q11_1,q11_2,q11_3,q11_4,q11_5,q12_ア,q12_イ,q12_ウ,q12_エ,q12_オ,q12_カ,q12_キ,q12_ク,q12_ケ,q12_コ,q12_サ,q12_シ,q12_ス,q12_セ,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q14_ア,q14_イ,q14_ウ,q14_エ,q14_オ,q15,q16,q17,q18_1a,q18_1b,q18_1c,q18_1d,q18_2a,q18_2b,q18_2c,q18_2d,q18_3a,q18_3b,q18_3c,q18_3d,q18_4a,q18_4b,q18_4c,q18_4d,q18_5a,q18_5b,q18_5c,q18_5d,q19,q20,q21_1,q21_2,q22,q23,q24_a,q24_b,q24_c,q24_d,q24_e,q24_f,q24_g,q24_h,q24_i,q24_j,q24_k,q25,q26,q27a,q27b,q28a,q28b,q29_1,q29_2,q30_1,q30_2,q31_1,q31_2,q31_3,q31_4,q31_5,q31_6,q31_7,q31_8,q31_9,q31_10,q31_11,q31_12,q31_13,q32,q33,q34_a,q34_b,q34_c,q35_1,q35_2,q36,q37,q38_a,q38_b,q38_c,q39_1,q39_2,q39_3,q39_4,q39_5,q39_6,q39_7,q39_8,q39_9,q39_10,fukushoku1,fukushoku2,fukushoku3,fukushoku4,fukushoku5,fukushoku6,fukushoku7,fukushoku8,fukushoku9,fukushoku10,fukushoku11,fukushoku12,fukushoku13,durable1,durable2,durable3,durable4,durable5,durable6,durable7,durable8,durable9,durable10,durable11,durable12,durable13,daily1,daily2,daily3,daily4,daily5,daily6,daily7,daily8,daily9,daily10,daily11,daily12,daily13,food1,food2,food3,food4,food5,food6,food7,food8,food9,food10,food11,food12,food13,living_months,household_type,eq_income
1,1,4,1,1,3,1,1,1,3,1,1,1,1,1,1,1,5,2,12,5,2,,,,1,5,2,,,,,,,5,4,1,7,3,2,2,4,1,2,2,1,7,3,2,5,4,1,1,15,2,0,1,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,3,4,4,6,3,3,3,3,2,1,1,5,1,2,6,3,2,5,3,3,6,2,5,1,1,1,2,3,3,3,5,3,3,3,5,5,12,2,1,1,2,2,1,,,,,,,,,,,,,,,,,1,4,7,0,3,4,1,0,0,1,0,0,0,1,0,1,0,7,6,50,45,2,2,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10000,5,1,1,3,8,2,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,84,3,1767.77
2,2,6,2,3,2,3,1,2,1,2,3,2,2,2,1,3,4,2,,,,,,,1,4,2,,,,,,,5,3,1,3,4,2,,,,1,3,1,3,4,2,2,3,3,1,10,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,,,,,,3,4,6,4,4,3,4,6,4,4,1,1,5,1,6,6,3,3,5,2,2,3,1,5,6,6,6,6,6,6,1,3,3,3,3,3,3,12,2,1,1,2,1,1,,,,,,,,,,,,,,,,,1,,12,11,1,2,1,0,1,0,0,1,0,1,0,1,0,8,14,60,90,2,2,5,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10000,1,4,3,1,5,1,2,5,5,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,155,3,1767.77
3,2,5,2,3,3,1,1,3,2,3,3,3,3,3,3,1,4,2,12,5,,,,,13,5,2,12,5,,,,,1,3,3,5,4,1,12,5,,1,1,1,2,3,3,12,5,,1,2,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,2,2,4,4,4,2,2,4,4,4,3,6,3,6,2,6,3,5,4,4,6,3,3,4,6,3,3,3,3,3,6,3,3,3,6,3,3,8,2,1,1,2,1,1,,,,,,,,,,,,,,,,,1,5,8,0,2,2,0,1,0,1,0,0,0,1,0,0,0,3,9,20,50,1,1,6,6,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,5,5,2,4,2,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,96,3,777.817
4,1,11,1,3,2,3,3,3,3,3,3,2,3,3,2,1,3,3,2,2,3,4,3,3,12,5,3,9,5,2,,,,4,4,1,13,3,3,,,,3,4,3,4,4,3,1,,2,5,30,2,1,1,1,0,1,1,1,1,1,1,0,1,1,3,0,0,0,0,1,4,1,3,6,3,3,2,4,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3,5,3,3,3,3,5,4,4,5,5,3,,3,3,13,6,1,1,3,2,1,2,2,1,1,5,,,4,5,,,4,5,,,4,1,1,79,8,,1,1,0,0,0,0,0,0,1,0,0,0,8,12,48,85,2,2,6,6,4,,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1000,,5,5,4,4,2,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,956,3,
5,2,4,2,2,2,1,1,2,1,3,3,1,1,2,1,1,5,3,12,5,,6,5,3,12,4,,1,5,3,6,5,3,5,4,3,1,4,3,6,5,3,1,3,3,2,3,3,6,4,3,2,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4,4,6,5,1,4,4,6,5,3,2,4,2,6,4,3,2,5,4,2,3,3,5,3,3,3,2,2,2,1,5,5,5,6,3,2,5,4,1,1,2,1,1,2,1,1,4,2,1,2,4,,,,,,,,,1,5,15,2,1,5,0,1,0,1,0,1,0,1,0,0,0,3,8,15,45,,,8,,1,1,,,,,,,,,,,,,,1,10000,1,1,3,6,5,2,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,182,2,250
6,1,8,1,2,3,2,2,2,1,2,4,4,4,4,4,3,4,2,12,3,3,4,5,1,1,5,1,12,5,2,2,5,1,5,4,1,12,4,2,3,5,2,1,3,1,11,5,2,3,5,2,1,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3,4,6,4,2,2,3,6,4,3,3,2,4,3,1,4,3,3,4,4,3,3,3,5,3,5,1,2,5,5,6,4,3,3,4,2,2,12,2,1,1,2,2,1,,,,,,,,,,,,,,,,,1,2,9,2,2,4,1,0,1,1,1,0,0,1,0,0,0,1,10,40,20,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,10000,6,3,1,1,5,2,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,110,3,1767.77
7,1,9,1,2,4,4,3,3,2,2,2,2,2,,2,1,4,2,4,4,1,12,4,3,12,5,2,4,5,2,,,,1,4,1,5,4,2,12,4,3,1,3,1,3,4,2,,,,1,10,2,0,1,1,0,1,1,1,0,0,1,0,0,0,,0,0,0,1,0,4,2,5,3,1,4,5,6,4,1,3,,5,1,,6,3,3,5,4,3,2,3,3,6,6,2,2,3,3,2,3,3,3,3,3,3,12,2,,1,2,2,3,,,,,,,,,,,,,,,,,1,,1,4,1,2,1,0,1,0,1,0,0,1,0,0,0,1,4,40,,2,,5,5,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,1,1,5,2,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,3,1767.77
8,2,9,1,3,3,3,2,3,2,3,3,3,2,3,3,,5,2,,5,2,,5,2,,5,2,,5,2,,5,2,1,4,1,5,4,1,2,4,1,1,1,1,1,,1,3,5,2,1,6,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,3,3,6,5,1,4,5,6,3,1,,4,,,5,1,3,5,5,2,1,5,5,3,3,3,3,3,5,5,5,5,5,5,2,1,4,1,3,,,,,,,,,,,,,,,,,,,,,1,4,5,9,3,4,1,0,0,0,0,0,0,1,0,0,0,3,15,22,,1,,10,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,10000,1,1,8,10,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,69,3,300
9,2,7,2,3,4,2,1,1,1,4,4,4,2,3,2,12,3,2,12,3,2,3,4,2,12,4,2,,,,,,,5,3,1,1,4,2,,,,1,1,2,,,,,,,2,20,2,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3,4,4,4,2,3,5,4,3,3,3,3,3,3,6,3,4,5,4,3,3,3,5,2,2,3,3,1,3,4,5,3,3,6,3,2,10,3,1,1,2,1,1,2,1,1,4,,,,,,,,,,,,,1,1,11,0,2,4,1,0,0,0,0,0,0,1,0,0,0,1,4,20,,2,,5,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,10000,3,1,2,5,5,2,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,132,2,866.025
10,2,10,2,3,3,2,2,3,3,2,2,2,2,3,2,12,5,2,,,,,,,12,5,2,,,,,,,7,3,1,,,,,,,1,3,1,,,,,,,2,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,1,4,5,6,4,1,4,5,6,4,3,,3,6,,6,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,5,3,3,3,3,3,8,3,,2,2,2,1,1,3,1,,,,,,,,,,,,,,1,2,38,7,1,1,0,1,0,0,1,0,0,1,0,0,0,3,12,14,,2,,5,5,4,3,0,0,1,0,0,0,1,1,0,0,0,0,0,4,10000,4,4,7,8,7,1,,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,463,3,635.085
