区分,最小値（万円）,最大値（万円）,平均値（万円）,中央値（万円）,最頻値（万円）
企業総数,0,11500,1080,475,600
100人以下,3,1800,492,83,-
101人～300人以下,0,0,-,-,-
301人～500人以下,600,600,600,600,-
501人～1000人以下,150,450,300,300,-
1001人以上,0,11500,1271,550,120
