区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,765,52.3,31,2.1,349,23.9,4,0.3,2,0.1,12,0.8,17,1.2,2,0.1,6,0.4,4,0.3,20,1.4,67,4.6,5,0.3,70,4.8,175,12,101,6.9,5,0.3,13,0.9,108,7.4,381,26
10代,27,100,15,55.6,0,0,5,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.4,0,0,2,7.4,6,22.2,5,18.5,0,0,0,0,3,11.1,3,11.1
20代,185,100,106,57.3,3,1.6,45,24.3,1,0.5,0,0,0,0,2,1.1,0,0,2,1.1,0,0,2,1.1,4,2.2,0,0,9,4.9,28,15.1,19,10.3,1,0.5,3,1.6,19,10.3,32,17.3
30代,176,100,100,56.8,5,2.8,55,31.3,0,0,0,0,2,1.1,2,1.1,0,0,1,0.6,0,0,3,1.7,6,3.4,1,0.6,4,2.3,31,17.6,15,8.5,0,0,2,1.1,20,11.4,29,16.5
40代,191,100,133,69.6,4,2.1,59,30.9,0,0,1,0.5,4,2.1,4,2.1,1,0.5,2,1,0,0,5,2.6,11,5.8,2,1,4,2.1,26,13.6,20,10.5,2,1,2,1,13,6.8,28,14.7
50代,189,100,134,70.9,2,1.1,67,35.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6,6,3.2,0,0,5,2.6,21,11.1,9,4.8,0,0,2,1.1,13,6.9,29,15.3
60代,248,100,140,56.5,7,2.8,66,26.6,1,0.4,0,0,2,0.8,1,0.4,0,0,0,0,0,0,4,1.6,13,5.2,0,0,7,2.8,23,9.3,7,2.8,1,0.4,2,0.8,14,5.6,66,26.6
70代,269,100,100,37.2,8,3,41,15.2,2,0.7,1,0.4,3,1.1,3,1.1,1,0.4,1,0.4,2,0.7,3,1.1,17,6.3,2,0.7,18,6.7,26,9.7,12,4.5,0,0,2,0.7,13,4.8,110,40.9
80代以上,170,100,36,21.2,1,0.6,10,5.9,0,0,0,0,1,0.6,4,2.4,0,0,0,0,2,1.2,0,0,8,4.7,0,0,21,12.4,13,7.6,14,8.2,1,0.6,0,0,13,7.6,79,46.5
