区分,企業総数,0円～2千万円未満,2千万円～4千万円未満,4千万円～6千万円未満,6千万円～8千万円未満,8千万円～1億円未満,1億円～1億2千万円未満,無回答
（件）,42,26,3,0,0,0,1,12
（％）,100,61.9,7.1,0,0,0,2.4,28.6
