区分,総数,総数割合,文化、芸術活動を行う施設のバリアフリー化,文化、芸術活動を行う施設のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,活動の場までの送迎,活動の場までの送迎割合,活動できる場の充実,活動できる場の充実割合,障害にあわせたプログラムの充実,障害にあわせたプログラムの充実割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,施設や用具等を利用する際に必要な手続きの支援,施設や用具等を利用する際に必要な手続きの支援割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,適切な指導者,適切な指導者割合,一緒に行う仲間,一緒に行う仲間割合,用具等の貸出,用具等の貸出割合,施設の利用料減免,施設の利用料減免割合,その他,その他割合,特にない,特にない割合,活動したいと思わない,活動したいと思わない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,222,15.2,217,14.8,207,14.1,194,13.3,188,12.9,100,6.8,164,11.2,67,4.6,69,4.7,246,16.8,223,15.2,58,4,238,16.3,27,1.8,286,19.5,63,4.3,109,7.5,157,10.7
コンサートや映画、演劇などに行く,725,100,158,21.8,148,20.4,126,17.4,141,19.4,117,16.1,48,6.6,99,13.7,40,5.5,44,6.1,164,22.6,151,20.8,38,5.2,166,22.9,14,1.9,127,17.5,9,1.2,19,2.6,38,5.2
美術館、博物館などに行く,519,100,118,22.7,106,20.4,77,14.8,102,19.7,84,16.2,43,8.3,82,15.8,31,6,35,6.7,122,23.5,104,20,31,6,141,27.2,9,1.7,94,18.1,3,0.6,16,3.1,20,3.9
動物園や植物園、水族館などに行く,526,100,107,20.3,104,19.8,94,17.9,106,20.2,106,20.2,57,10.8,94,17.9,36,6.8,39,7.4,132,25.1,104,19.8,29,5.5,125,23.8,9,1.7,85,16.2,2,0.4,18,3.4,19,3.6
音楽活動をする,258,100,49,19,43,16.7,50,19.4,86,33.3,68,26.4,25,9.7,39,15.1,23,8.9,20,7.8,97,37.6,75,29.1,23,8.9,70,27.1,5,1.9,29,11.2,0,0,9,3.5,5,1.9
美術などの創作活動をする,232,100,47,20.3,46,19.8,37,15.9,70,30.2,54,23.3,26,11.2,44,19,17,7.3,18,7.8,80,34.5,54,23.3,24,10.3,61,26.3,4,1.7,36,15.5,1,0.4,7,3,5,2.2
文芸活動をする,86,100,20,23.3,22,25.6,15,17.4,25,29.1,21,24.4,8,9.3,25,29.1,9,10.5,6,7,32,37.2,24,27.9,7,8.1,23,26.7,4,4.7,14,16.3,0,0,1,1.2,1,1.2
講演会、セミナー、各種講座に参加する,213,100,51,23.9,45,21.1,32,15,61,28.6,31,14.6,16,7.5,37,17.4,11,5.2,12,5.6,64,30,52,24.4,14,6.6,63,29.6,4,1.9,30,14.1,1,0.5,6,2.8,6,2.8
伝統文化などの活動をする,100,100,25,25,23,23,19,19,32,32,20,20,12,12,26,26,10,10,10,10,37,37,30,30,17,17,38,38,2,2,4,4,0,0,2,2,2,2
その他,35,100,6,17.1,6,17.1,8,22.9,9,25.7,4,11.4,4,11.4,4,11.4,2,5.7,4,11.4,7,20,6,17.1,1,2.9,7,20,3,8.6,2,5.7,2,5.7,2,5.7,2,5.7
特にない,318,100,14,4.4,18,5.7,23,7.2,7,2.2,13,4.1,10,3.1,9,2.8,4,1.3,5,1.6,16,5,13,4.1,5,1.6,11,3.5,7,2.2,99,31.1,48,15.1,68,21.4,34,10.7
