区分,総数,総数割合,スタジアム、体育館などの建物や設備のバリアフリー化,スタジアム、体育館などの建物や設備のバリアフリー化割合,交通機関やまちのバリアフリー化,交通機関やまちのバリアフリー化割合,会場までの送迎,会場までの送迎割合,障害者に配慮した観戦席の充実,障害者に配慮した観戦席の充実割合,介助者や手話通訳などの支援,介助者や手話通訳などの支援割合,テレビ・インターネット等の文字情報、字幕の対応,テレビ・インターネット等の文字情報、字幕の対応割合,情報機器操作の支援,情報機器操作の支援割合,障害に対応した情報の提供や問合せ方法の充実,障害に対応した情報の提供や問合せ方法の充実割合,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進,障害や障害者、補助犬（盲導犬、介助犬、聴導犬）などに対する理解促進割合,一緒に観戦する仲間,一緒に観戦する仲間割合,観戦料の減免,観戦料の減免割合,その他,その他割合,特にない,特にない割合,観戦したいと思わない,観戦したいと思わない割合,わからない,わからない割合,無回答,無回答割合
障害者等総数,1463,100,322,22,241,16.5,237,16.2,317,21.7,78,5.3,135,9.2,22,1.5,140,9.6,108,7.4,170,11.6,295,20.2,18,1.2,277,18.9,76,5.2,76,5.2,147,10
10代,27,100,7,25.9,5,18.5,3,11.1,9,33.3,4,14.8,2,7.4,1,3.7,3,11.1,3,11.1,9,33.3,8,29.6,0,0,4,14.8,2,7.4,0,0,1,3.7
20代,185,100,45,24.3,26,14.1,38,20.5,65,35.1,17,9.2,16,8.6,5,2.7,24,13,24,13,43,23.2,48,25.9,1,0.5,20,10.8,16,8.6,10,5.4,7,3.8
30代,176,100,34,19.3,32,18.2,25,14.2,51,29,15,8.5,16,9.1,5,2.8,21,11.9,14,8,25,14.2,48,27.3,4,2.3,33,18.8,11,6.3,6,3.4,8,4.5
40代,191,100,44,23,30,15.7,26,13.6,51,26.7,14,7.3,19,9.9,5,2.6,23,12,20,10.5,35,18.3,54,28.3,2,1,31,16.2,7,3.7,11,5.8,9,4.7
50代,189,100,53,28,39,20.6,22,11.6,42,22.2,7,3.7,14,7.4,1,0.5,22,11.6,14,7.4,18,9.5,46,24.3,4,2.1,34,18,7,3.7,11,5.8,13,6.9
60代,248,100,58,23.4,43,17.3,41,16.5,43,17.3,14,5.6,13,5.2,0,0,18,7.3,15,6,15,6,34,13.7,1,0.4,68,27.4,10,4,11,4.4,30,12.1
70代,269,100,55,20.4,39,14.5,46,17.1,34,12.6,4,1.5,33,12.3,4,1.5,21,7.8,12,4.5,16,5.9,44,16.4,5,1.9,53,19.7,12,4.5,13,4.8,42,15.6
80代以上,170,100,23,13.5,25,14.7,34,20,20,11.8,3,1.8,22,12.9,1,0.6,8,4.7,6,3.5,8,4.7,13,7.6,1,0.6,34,20,10,5.9,14,8.2,34,20
