区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,889,60.8,143,9.8,511,34.9,5,0.3,1,0.1,19,1.3,19,1.3,7,0.5,11,0.8,10,0.7,25,1.7,66,4.5,2,0.1,79,5.4,204,13.9,130,8.9,2,0.1,8,0.5,113,7.7,234,16
10代,27,100,19,70.4,1,3.7,8,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7,1,3.7,0,0,2,7.4,6,22.2,7,25.9,0,0,0,0,3,11.1,3,11.1
20代,185,100,119,64.3,7,3.8,68,36.8,1,0.5,0,0,2,1.1,0,0,1,0.5,1,0.5,0,0,4,2.2,5,2.7,0,0,7,3.8,39,21.1,29,15.7,0,0,3,1.6,18,9.7,12,6.5
30代,176,100,108,61.4,7,4,71,40.3,0,0,0,0,0,0,1,0.6,0,0,1,0.6,1,0.6,2,1.1,2,1.1,0,0,5,2.8,36,20.5,24,13.6,0,0,1,0.6,21,11.9,14,8
40代,191,100,138,72.3,21,11,79,41.4,0,0,1,0.5,4,2.1,5,2.6,0,0,3,1.6,1,0.5,5,2.6,6,3.1,0,0,5,2.6,27,14.1,19,9.9,1,0.5,3,1.6,10,5.2,21,11
50代,189,100,141,74.6,25,13.2,94,49.7,0,0,0,0,1,0.5,1,0.5,0,0,2,1.1,1,0.5,3,1.6,9,4.8,0,0,5,2.6,23,12.2,10,5.3,0,0,0,0,16,8.5,21,11.1
60代,248,100,166,66.9,33,13.3,96,38.7,1,0.4,0,0,2,0.8,2,0.8,2,0.8,0,0,2,0.8,3,1.2,13,5.2,1,0.4,7,2.8,25,10.1,10,4,0,0,0,0,14,5.6,37,14.9
70代,269,100,142,52.8,36,13.4,76,28.3,1,0.4,0,0,5,1.9,5,1.9,3,1.1,3,1.1,4,1.5,6,2.2,19,7.1,1,0.4,23,8.6,28,10.4,15,5.6,1,0.4,1,0.4,20,7.4,60,22.3
80代以上,170,100,54,31.8,12,7.1,18,10.6,2,1.2,0,0,5,2.9,5,2.9,1,0.6,1,0.6,1,0.6,1,0.6,11,6.5,0,0,25,14.7,19,11.2,16,9.4,0,0,0,0,11,6.5,61,35.9
