区分,総数,総数割合,東京2020パラリンピックへの関わり／スタジアム・体育館などで観戦したい,東京2020パラリンピックへの関わり／スタジアム・体育館などで観戦したい割合,東京2020パラリンピックへの関わり／沿道で観戦したい,東京2020パラリンピックへの関わり／沿道で観戦したい割合,東京2020パラリンピックへの関わり／テレビ、ラジオ、インターネット配信等で観戦したい,東京2020パラリンピックへの関わり／テレビ、ラジオ、インターネット配信等で観戦したい割合,東京2020パラリンピックへの関わり／ボランティアとして関わりたい,東京2020パラリンピックへの関わり／ボランティアとして関わりたい割合,東京2020パラリンピックへの関わり／関わりたいと思わない,東京2020パラリンピックへの関わり／関わりたいと思わない割合,東京2020パラリンピックへの関わり／その他,東京2020パラリンピックへの関わり／その他割合,東京2020パラリンピックへの関わり／わからない,東京2020パラリンピックへの関わり／わからない割合,東京2020パラリンピックへの関わり／無回答,東京2020パラリンピックへの関わり／無回答割合
障害者等総数,1463,100,329,22.5,118,8.1,784,53.6,141,9.6,189,12.9,35,2.4,128,8.7,125,8.5
東京2020オリンピックへの関わり／スタジアム・体育館などで観戦したい,462,100,311,67.3,94,20.3,252,54.5,95,20.6,14,3,6,1.3,20,4.3,11,2.4
東京2020オリンピックへの関わり／沿道で観戦したい,136,100,91,66.9,103,75.7,101,74.3,34,25,0,0,1,0.7,3,2.2,3,2.2
東京2020オリンピックへの関わり／テレビ、ラジオ、インターネット配信等で観戦したい,852,100,173,20.3,89,10.4,739,86.7,71,8.3,32,3.8,11,1.3,26,3.1,34,4
東京2020オリンピックへの関わり／ボランティアとして関わりたい,147,100,82,55.8,32,21.8,67,45.6,125,85,3,2,1,0.7,3,2,4,2.7
東京2020オリンピックへの関わり／関わりたいと思わない,158,100,1,0.6,0,0,10,6.3,0,0,141,89.2,1,0.6,2,1.3,3,1.9
東京2020オリンピックへの関わり／その他,33,100,6,18.2,2,6.1,9,27.3,0,0,1,3,23,69.7,0,0,4,12.1
東京2020オリンピックへの関わり／わからない,91,100,0,0,0,0,0,0,1,1.1,3,3.3,1,1.1,86,94.5,0,0
