区分,総数,総数割合,東京２０２０パラリンピックへの関心／関心がある,東京２０２０パラリンピックへの関心／関心がある割合,東京２０２０パラリンピックへの関心／やや関心がある,東京２０２０パラリンピックへの関心／やや関心がある割合,東京２０２０パラリンピックへの関心／あまり関心がない,東京２０２０パラリンピックへの関心／あまり関心がない割合,東京２０２０パラリンピックへの関心／関心がない,東京２０２０パラリンピックへの関心／関心がない割合,東京２０２０パラリンピックへの関心／無回答,東京２０２０パラリンピックへの関心／無回答割合
障害者等総数,1463,100,565,38.6,391,26.7,233,15.9,164,11.2,110,7.5
東京2020オリンピックへの関心／関心がある,777,100,537,69.1,132,17,61,7.9,16,2.1,31,4
東京2020オリンピックへの関心／やや関心がある,315,100,19,6,235,74.6,44,14,12,3.8,5,1.6
東京2020オリンピックへの関心／あまり関心がない,170,100,4,2.4,16,9.4,125,73.5,11,6.5,14,8.2
東京2020オリンピックへの関心／関心がない,136,100,4,2.9,5,3.7,3,2.2,123,90.4,1,0.7
