区分,総数,総数割合,コンサートや映画、演劇などに行く,コンサートや映画、演劇などに行く割合,コンサートや映画、演劇などを開催する,コンサートや映画、演劇などを開催する割合,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）,美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）割合,当事者会員の美術展覧会などを開催する,当事者会員の美術展覧会などを開催する割合,動物園や植物園、水族館などに行く,動物園や植物園、水族館などに行く割合,音楽活動をする（歌や楽器の演奏など）,音楽活動をする（歌や楽器の演奏など）割合,美術などの創作活動をする（絵画、彫刻、陶芸、書道、華道など）,美術などの創作活動をする（絵画、彫刻、陶芸、書道、華道など）割合,文芸活動をする（短歌・俳句、詩作、小説、評論など）,文芸活動をする（短歌・俳句、詩作、小説、評論など）割合,講演会、セミナー各種講座に参加する,講演会、セミナー各種講座に参加する割合,講演会、セミナー各種講座を開催する,講演会、セミナー各種講座を開催する割合,伝統文化などの活動をする（伝統芸能、茶道など）,伝統文化などの活動をする（伝統芸能、茶道など）割合,その他,その他割合,特にない,特にない割合,無回答,無回答割合
団体総数,23,100,8,34.8,4,17.4,3,13,5,21.7,5,21.7,8,34.8,5,21.7,2,8.7,9,39.1,12,52.2,0,0,1,4.3,4,17.4,1,4.3
Q4当事者会員の平均年齢／40代,6,100,1,16.7,0,0,0,0,1,16.7,2,33.3,2,33.3,1,16.7,0,0,3,50,2,33.3,0,0,0,0,2,33.3,0,0
Q4当事者会員の平均年齢／50代,3,100,0,0,1,33.3,0,0,1,33.3,0,0,0,0,1,33.3,0,0,1,33.3,2,66.7,0,0,1,33.3,0,0,1,33.3
Q4当事者会員の平均年齢／60代,3,100,2,66.7,0,0,0,0,1,33.3,0,0,1,33.3,1,33.3,0,0,2,66.7,2,66.7,0,0,0,0,0,0,0,0
Q4当事者会員の平均年齢／70代以上,5,100,3,60,1,20,1,20,0,0,1,20,2,40,1,20,0,0,2,40,2,40,0,0,0,0,1,20,0,0
