区分,総数,総数割合,今までに参加したボランティアの内容／受付・案内,今までに参加したボランティアの内容／受付・案内割合,今までに参加したボランティアの内容／活動の指導、手伝い,今までに参加したボランティアの内容／活動の指導、手伝い割合,今までに参加したボランティアの内容／イベント等の会場準備の手伝い,今までに参加したボランティアの内容／イベント等の会場準備の手伝い割合,今までに参加したボランティアの内容／清掃,今までに参加したボランティアの内容／清掃割合,今までに参加したボランティアの内容／移動や身の回りの介助などの手伝い,今までに参加したボランティアの内容／移動や身の回りの介助などの手伝い割合,今までに参加したボランティアの内容／手話などのコミュニケーションの手伝い,今までに参加したボランティアの内容／手話などのコミュニケーションの手伝い割合,今までに参加したボランティアの内容／話し相手、遊び相手、学習支援,今までに参加したボランティアの内容／話し相手、遊び相手、学習支援割合,今までに参加したボランティアの内容／その他,今までに参加したボランティアの内容／その他割合,今までに参加したボランティアの内容／特にない,今までに参加したボランティアの内容／特にない割合,今までに参加したボランティアの内容／無回答,今までに参加したボランティアの内容／無回答割合
障害者等総数,1463,100,141,9.6,155,10.6,182,12.4,159,10.9,49,3.3,19,1.3,93,6.4,51,3.5,822,56.2,185,12.6
今までに参加したボランティアの活動ィアの活動／障害者、高齢者等の支援などの福祉、医療に関する活動,131,100,43,32.8,57,43.5,46,35.1,30,22.9,34,26,8,6.1,43,32.8,15,11.5,13,9.9,5,3.8
今までに参加したボランティアの活動ィアの活動／講演会、教室・学習会、展覧会等の企画・運営、手伝いなどの教育、文化に関する活動,117,100,56,47.9,57,48.7,54,46.2,32,27.4,16,13.7,12,10.3,30,25.6,15,12.8,5,4.3,4,3.4
今までに参加したボランティアの活動ィアの活動／スポーツ大会などのスポーツ、運動に関する活動,73,100,27,37,34,46.6,40,54.8,32,43.8,8,11,5,6.8,8,11,8,11,7,9.6,2,2.7
今までに参加したボランティアの活動ィアの活動／お祭り、町会・自治会などの地域の活動,248,100,64,25.8,73,29.4,109,44,84,33.9,16,6.5,6,2.4,37,14.9,20,8.1,41,16.5,6,2.4
今までに参加したボランティアの活動ィアの活動／企業の商品やサービスの開発・販売促進への協力,25,100,9,36,10,40,15,60,13,52,6,24,2,8,9,36,5,20,0,0,0,0
今までに参加したボランティアの活動ィアの活動／その他,58,100,14,24.1,20,34.5,18,31,16,27.6,9,15.5,1,1.7,18,31,18,31,7,12.1,3,5.2
今までに参加したボランティアの活動ィアの活動／特にない,795,100,16,2,9,1.1,15,1.9,31,3.9,1,0.1,2,0.3,5,0.6,5,0.6,720,90.6,12,1.5
