区分,総数,総数割合,今後行いたい文化、芸術活動／コンサートや映画、演劇などに行く,今後行いたい文化、芸術活動／コンサートや映画、演劇などに行く割合,今後行いたい文化、芸術活動／美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）,今後行いたい文化、芸術活動／美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）割合,今後行いたい文化、芸術活動／動物園や植物園、水族館などに行く,今後行いたい文化、芸術活動／動物園や植物園、水族館などに行く割合,今後行いたい文化、芸術活動／音楽活動をする（歌や楽器の演奏など）,今後行いたい文化、芸術活動／音楽活動をする（歌や楽器の演奏など）割合,今後行いたい文化、芸術活動／美術などの創作活動をする（絵画、彫刻、書道、華道など）,今後行いたい文化、芸術活動／美術などの創作活動をする（絵画、彫刻、書道、華道など）割合,今後行いたい文化、芸術活動／文芸活動をする（短歌・俳句、詩作、小説、評論など）,今後行いたい文化、芸術活動／文芸活動をする（短歌・俳句、詩作、小説、評論など）割合,今後行いたい文化、芸術活動／後援会、セミナー、各種講座に参加する,今後行いたい文化、芸術活動／後援会、セミナー、各種講座に参加する割合,今後行いたい文化、芸術活動／伝統文化などの活動をする（伝統芸能、茶道など）,今後行いたい文化、芸術活動／伝統文化などの活動をする（伝統芸能、茶道など）割合,今後行いたい文化、芸術活動／その他,今後行いたい文化、芸術活動／その他割合,今後行いたい文化、芸術活動／特にない,今後行いたい文化、芸術活動／特にない割合,今後行いたい文化、芸術活動／無回答,今後行いたい文化、芸術活動／無回答割合
障害者等総数,1463,100,725,49.6,519,35.5,526,36,258,17.6,232,15.9,86,5.9,213,14.6,100,6.8,35,2.4,318,21.7,108,7.4
この1年間に行った文化、芸術活動／コンサートや映画、演劇などに行く,613,100,508,82.9,333,54.3,312,50.9,175,28.5,157,25.6,62,10.1,146,23.8,74,12.1,17,2.8,24,3.9,3,0.5
この1年間に行った文化、芸術活動／美術館、博物館などに行く（館外で開催される美術展、展覧会なども含む）,445,100,317,71.2,335,75.3,252,56.6,112,25.2,139,31.2,56,12.6,131,29.4,67,15.1,13,2.9,15,3.4,2,0.4
この1年間に行った文化、芸術活動／動物園や植物園、水族館などに行く,427,100,295,69.1,246,57.6,311,72.8,129,30.2,114,26.7,43,10.1,91,21.3,55,12.9,13,3,19,4.4,2,0.5
この1年間に行った文化、芸術活動／音楽活動をする（歌や楽器の演奏など）,176,100,126,71.6,85,48.3,93,52.8,140,79.5,59,33.5,20,11.4,41,23.3,26,14.8,9,5.1,2,1.1,3,1.7
この1年間に行った文化、芸術活動／美術などの創作活動をする（絵画、彫刻、陶芸、書道、華道など）,123,100,82,66.7,78,63.4,73,59.3,46,37.4,91,74,24,19.5,35,28.5,25,20.3,3,2.4,3,2.4,1,0.8
この1年間に行った文化、芸術活動／文芸活動をする（短歌・俳句、詩作、小説、評論など）,41,100,26,63.4,30,73.2,22,53.7,11,26.8,15,36.6,30,73.2,17,41.5,7,17.1,2,4.9,1,2.4,0,0
この1年間に行った文化、芸術活動／講演会、セミナー、各種講座に参加する,149,100,108,72.5,93,62.4,76,51,43,28.9,47,31.5,26,17.4,105,70.5,27,18.1,3,2,6,4,1,0.7
この1年間に行った文化、芸術活動／伝統文化などの活動をする（伝統芸能、茶道など）,33,100,25,75.8,19,57.6,17,51.5,9,27.3,12,36.4,7,21.2,11,33.3,24,72.7,2,6.1,2,6.1,0,0
この1年間に行った文化、芸術活動／その他,47,100,21,44.7,18,38.3,16,34,7,14.9,9,19.1,5,10.6,7,14.9,2,4.3,18,38.3,6,12.8,4,8.5
この1年間に行った文化、芸術活動／特にない,424,100,90,21.2,51,12,72,17,14,3.3,11,2.6,6,1.4,19,4.5,7,1.7,4,0.9,267,63,3,0.7
