区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,765,52.3,31,2.1,349,23.9,4,0.3,2,0.1,12,0.8,17,1.2,2,0.1,6,0.4,4,0.3,20,1.4,67,4.6,5,0.3,70,4.8,175,12,101,6.9,5,0.3,13,0.9,108,7.4,381,26
家族や友人,834,100,513,61.5,21,2.5,248,29.7,3,0.4,1,0.1,9,1.1,12,1.4,2,0.2,6,0.7,2,0.2,11,1.3,37,4.4,4,0.5,44,5.3,108,12.9,73,8.8,3,0.4,11,1.3,61,7.3,156,18.7
学校や職場、施設の人,383,100,223,58.2,12,3.1,121,31.6,2,0.5,1,0.3,5,1.3,2,0.5,1,0.3,4,1,0,0,6,1.6,16,4.2,3,0.8,19,5,76,19.8,49,12.8,2,0.5,5,1.3,36,9.4,59,15.4
ボランティア、ヘルパーなどの支援者,117,100,48,41,4,3.4,15,12.8,2,1.7,0,0,3,2.6,2,1.7,0,0,1,0.9,0,0,1,0.9,5,4.3,0,0,5,4.3,20,17.1,19,16.2,0,0,1,0.9,12,10.3,31,26.5
テレビやラジオ,1054,100,625,59.3,30,2.8,292,27.7,4,0.4,2,0.2,9,0.9,14,1.3,2,0.2,4,0.4,3,0.3,11,1,47,4.5,4,0.4,56,5.3,126,12,61,5.8,2,0.2,11,1,72,6.8,226,21.4
新聞,617,100,354,57.4,22,3.6,174,28.2,1,0.2,2,0.3,10,1.6,12,1.9,2,0.3,1,0.2,3,0.5,11,1.8,37,6,5,0.8,46,7.5,67,10.9,37,6,2,0.3,5,0.8,37,6,144,23.3
区市町村等の広報紙,458,100,279,60.9,21,4.6,151,33,3,0.7,2,0.4,6,1.3,10,2.2,1,0.2,1,0.2,2,0.4,11,2.4,33,7.2,3,0.7,31,6.8,50,10.9,38,8.3,1,0.2,5,1.1,38,8.3,86,18.8
障害者団体の会合や機関誌,108,100,61,56.5,3,2.8,28,25.9,2,1.9,0,0,3,2.8,1,0.9,1,0.9,1,0.9,1,0.9,3,2.8,11,10.2,3,2.8,2,1.9,8,7.4,11,10.2,1,0.9,0,0,11,10.2,23,21.3
インターネット,599,100,476,79.5,23,3.8,254,42.4,4,0.7,1,0.2,7,1.2,5,0.8,1,0.2,4,0.7,1,0.2,12,2,27,4.5,4,0.7,27,4.5,75,12.5,36,6,3,0.5,8,1.3,32,5.3,53,8.8
ＳＮＳ,177,100,157,88.7,10,5.6,94,53.1,1,0.6,1,0.6,5,2.8,2,1.1,0,0,4,2.3,0,0,11,6.2,15,8.5,3,1.7,14,7.9,30,16.9,23,13,2,1.1,5,2.8,6,3.4,7,4
行政の窓口,88,100,56,63.6,6,6.8,26,29.5,0,0,0,0,1,1.1,4,4.5,0,0,0,0,0,0,2,2.3,6,6.8,0,0,6,6.8,9,10.2,7,8,0,0,3,3.4,7,8,17,19.3
その他,26,100,11,42.3,0,0,7,26.9,1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,1,3.8,4,15.4,0,0,2,7.7,5,19.2,4,15.4,0,0,0,0,3,11.5,4,15.4
わからない,29,100,4,13.8,0,0,1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4,4,13.8,0,0,0,0,6,20.7,16,55.2
