区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,748,51.1,155,10.6,444,30.3,3,0.2,2,0.1,24,1.6,14,1,4,0.3,6,0.4,7,0.5,36,2.5,70,4.8,12,0.8,64,4.4,179,12.2,141,9.6,7,0.5,8,0.5,103,7,426,29.1
家族や友人,834,100,497,59.6,107,12.8,314,37.6,2,0.2,2,0.2,18,2.2,10,1.2,4,0.5,6,0.7,7,0.8,24,2.9,49,5.9,9,1.1,43,5.2,114,13.7,102,12.2,6,0.7,6,0.7,59,7.1,182,21.8
学校や職場、施設の人,383,100,244,63.7,63,16.4,185,48.3,3,0.8,2,0.5,7,1.8,3,0.8,3,0.8,6,1.6,5,1.3,13,3.4,25,6.5,5,1.3,20,5.2,87,22.7,72,18.8,5,1.3,2,0.5,39,10.2,28,7.3
ボランティア、ヘルパーなどの支援者,117,100,49,41.9,9,7.7,19,16.2,2,1.7,0,0,3,2.6,2,1.7,3,2.6,1,0.9,5,4.3,4,3.4,9,7.7,1,0.9,6,5.1,22,18.8,27,23.1,1,0.9,0,0,15,12.8,25,21.4
テレビやラジオ,1054,100,605,57.4,140,13.3,370,35.1,3,0.3,1,0.1,19,1.8,13,1.2,2,0.2,5,0.5,5,0.5,20,1.9,46,4.4,8,0.8,50,4.7,120,11.4,75,7.1,4,0.4,7,0.7,68,6.5,289,27.4
新聞,617,100,334,54.1,99,16,216,35,0,0,1,0.2,15,2.4,6,1,0,0,1,0.2,2,0.3,16,2.6,38,6.2,7,1.1,39,6.3,53,8.6,40,6.5,5,0.8,3,0.5,36,5.8,194,31.4
区市町村等の広報紙,458,100,251,54.8,93,20.3,174,38,1,0.2,1,0.2,12,2.6,7,1.5,1,0.2,1,0.2,3,0.7,13,2.8,35,7.6,8,1.7,27,5.9,38,8.3,39,8.5,5,1.1,3,0.7,35,7.6,133,29
障害者団体の会合や機関誌,108,100,58,53.7,18,16.7,35,32.4,1,0.9,0,0,5,4.6,2,1.9,1,0.9,1,0.9,2,1.9,7,6.5,13,12,4,3.7,1,0.9,14,13,16,14.8,2,1.9,2,1.9,10,9.3,26,24.1
インターネット,599,100,471,78.6,106,17.7,332,55.4,2,0.3,2,0.3,12,2,5,0.8,2,0.3,4,0.7,1,0.2,19,3.2,30,5,8,1.3,27,4.5,75,12.5,43,7.2,6,1,5,0.8,29,4.8,89,14.9
ＳＮＳ,177,100,155,87.6,38,21.5,115,65,1,0.6,2,1.1,6,3.4,2,1.1,0,0,4,2.3,0,0,13,7.3,18,10.2,5,2.8,15,8.5,31,17.5,24,13.6,5,2.8,4,2.3,4,2.3,15,8.5
行政の窓口,88,100,48,54.5,27,30.7,34,38.6,1,1.1,0,0,3,3.4,1,1.1,0,0,0,0,0,0,2,2.3,4,4.5,0,0,5,5.7,8,9.1,5,5.7,1,1.1,1,1.1,1,1.1,29,33
その他,26,100,12,46.2,2,7.7,6,23.1,0,0,0,0,2,7.7,0,0,0,0,0,0,0,0,1,3.8,3,11.5,0,0,1,3.8,4,15.4,5,19.2,0,0,0,0,4,15.4,6,23.1
わからない,29,100,3,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.9,10,34.5,0,0,0,0,6,20.7,12,41.4
