区分,総数,総数割合,携帯電話、スマートフォン、タブレット、パソコン,携帯電話、スマートフォン、タブレット、パソコン割合,ファックス,ファックス割合,メール,メール割合,点字,点字割合,指点字,指点字割合,手書き文字（てのひら書き）,手書き文字（てのひら書き）割合,拡大文字,拡大文字割合,録音物（デイジー版など）,録音物（デイジー版など）割合,読み上げソフト、アプリ等,読み上げソフト、アプリ等割合,朗読サービス,朗読サービス割合,手話,手話割合,筆談,筆談割合,要約筆記通訳や手話通訳,要約筆記通訳や手話通訳割合,補聴器・補聴援助機器,補聴器・補聴援助機器割合,口話・読話,口話・読話割合,行動（身振り・手振り）,行動（身振り・手振り）割合,会話を文字化するアプリ,会話を文字化するアプリ割合,絵文字（ピクトグラム）,絵文字（ピクトグラム）割合,その他,その他割合,無回答,無回答割合
障害者等総数,1463,100,748,51.1,155,10.6,444,30.3,3,0.2,2,0.1,24,1.6,14,1,4,0.3,6,0.4,7,0.5,36,2.5,70,4.8,12,0.8,64,4.4,179,12.2,141,9.6,7,0.5,8,0.5,103,7,426,29.1
10代,27,100,18,66.7,0,0,8,29.6,0,0,0,0,1,3.7,0,0,0,0,0,0,0,0,2,7.4,2,7.4,0,0,2,7.4,7,25.9,7,25.9,0,0,0,0,3,11.1,3,11.1
20代,185,100,118,63.8,11,5.9,60,32.4,2,1.1,1,0.5,2,1.1,1,0.5,0,0,2,1.1,0,0,5,2.7,5,2.7,2,1.1,9,4.9,38,20.5,33,17.8,2,1.1,1,0.5,21,11.4,18,9.7
30代,176,100,107,60.8,18,10.2,70,39.8,0,0,0,0,3,1.7,1,0.6,1,0.6,1,0.6,1,0.6,5,2.8,9,5.1,1,0.6,5,2.8,35,19.9,29,16.5,0,0,2,1.1,19,10.8,22,12.5
40代,191,100,129,67.5,24,12.6,81,42.4,0,0,1,0.5,5,2.6,4,2.1,0,0,2,1,1,0.5,4,2.1,13,6.8,2,1,5,2.6,26,13.6,24,12.6,4,2.1,3,1.6,12,6.3,35,18.3
50代,189,100,128,67.7,30,15.9,95,50.3,0,0,0,0,1,0.5,1,0.5,1,0.5,0,0,0,0,5,2.6,6,3.2,1,0.5,5,2.6,19,10.1,12,6.3,0,0,0,0,14,7.4,33,17.5
60代,248,100,119,48,30,12.1,68,27.4,0,0,0,0,3,1.2,1,0.4,1,0.4,1,0.4,1,0.4,6,2.4,12,4.8,2,0.8,5,2,23,9.3,11,4.4,0,0,1,0.4,10,4,91,36.7
70代,269,100,90,33.5,23,8.6,50,18.6,1,0.4,0,0,6,2.2,3,1.1,1,0.4,0,0,3,1.1,8,3,14,5.2,4,1.5,16,5.9,20,7.4,13,4.8,1,0.4,1,0.4,12,4.5,130,48.3
80代以上,170,100,38,22.4,18,10.6,11,6.5,0,0,0,0,3,1.8,3,1.8,0,0,0,0,1,0.6,1,0.6,9,5.3,0,0,17,10,10,5.9,12,7.1,0,0,0,0,11,6.5,89,52.4
