年齢,男[人],女[人],総数[人]
0歳,1167,1128,2295
1歳,1201,1117,2318
2歳,1063,1086,2149
3歳,1088,1049,2137
4歳,1062,1015,2077
5歳,942,951,1893
6歳,938,930,1868
7歳,952,834,1786
8歳,922,828,1750
9歳,942,868,1810
10歳,885,815,1700
11歳,891,832,1723
12歳,906,892,1798
13歳,836,818,1654
14歳,888,796,1684
15歳,812,838,1650
16歳,882,877,1759
17歳,902,888,1790
18歳,947,896,1843
19歳,1028,1028,2056
20歳,1095,1066,2161
21歳,1143,1100,2243
22歳,1437,1493,2930
23歳,1630,1689,3319
24歳,1874,1959,3833
25歳,1971,2070,4041
26歳,2161,2243,4404
27歳,2365,2331,4696
28歳,2249,2357,4606
29歳,2291,2367,4658
30歳,2447,2373,4820
31歳,2316,2330,4646
32歳,2314,2241,4555
33歳,2357,2261,4618
34歳,2381,2258,4639
35歳,2397,2257,4654
36歳,2418,2232,4650
37歳,2272,2156,4428
38歳,2222,2070,4292
39歳,2198,2067,4265
40歳,2278,2166,4444
41歳,2316,2137,4453
42歳,2216,2073,4289
43歳,2245,2135,4380
44歳,2436,2212,4648
45歳,2421,2309,4730
46歳,2474,2341,4815
47歳,2340,2244,4584
48歳,2294,2183,4477
49歳,2207,2055,4262
50歳,2193,2100,4293
51歳,2174,2001,4175
52歳,1899,1825,3724
53歳,1810,1684,3494
54歳,1966,1695,3661
55歳,1696,1674,3370
56歳,1645,1539,3184
57歳,1537,1406,2943
58歳,1540,1428,2968
59歳,1379,1341,2720
60歳,1449,1252,2701
61歳,1308,1285,2593
62歳,1302,1188,2490
63歳,1243,1335,2578
64歳,1384,1306,2690
65歳,1324,1336,2660
66歳,1501,1357,2858
67歳,1481,1432,2913
68歳,1541,1511,3052
69歳,1685,1676,3361
70歳,1794,1706,3500
71歳,1885,1803,3688
72歳,1529,1618,3147
73歳,891,1056,1947
74歳,1029,1252,2281
75歳,1297,1535,2832
76歳,1171,1522,2693
77歳,1222,1483,2705
78歳,1122,1461,2583
79歳,926,1334,2260
80歳,808,1117,1925
81歳,831,1219,2050
82歳,831,1131,1962
83歳,767,1142,1909
84歳,670,1065,1735
85歳,525,920,1445
86歳,445,847,1292
87歳,383,765,1148
88歳,309,667,976
89歳,276,595,871
90歳,201,535,736
91歳,152,412,564
92歳,125,375,500
93歳,123,303,426
94歳,66,232,298
95歳,48,156,204
96歳,29,118,147
97歳,18,111,129
98歳,9,66,75
99歳,11,52,63
100歳,7,28,35
101歳,1,18,19
102歳,1,18,19
103歳,1,9,10
104歳以上,1,15,16
合計,135580,138318,273898
