年齢,男[人],女[人],総数[人]
0歳,1274,1198,2472
1歳,1146,1136,2282
2歳,1124,1093,2217
3歳,1029,983,2012
4歳,959,980,1939
5歳,985,898,1883
6歳,910,832,1742
7歳,944,891,1835
8歳,938,834,1772
9歳,883,837,1720
10歳,896,875,1771
11歳,873,854,1727
12歳,854,770,1624
13歳,844,809,1653
14歳,856,890,1746
15歳,917,830,1747
16歳,887,915,1802
17歳,862,860,1722
18歳,983,915,1898
19歳,1081,943,2024
20歳,1134,1039,2173
21歳,1154,1105,2259
22歳,1196,1229,2425
23歳,1582,1604,3186
24歳,1664,1778,3442
25歳,1903,1964,3867
26歳,2035,2050,4085
27歳,2070,2190,4260
28歳,2251,2195,4446
29歳,2269,2260,4529
30歳,2366,2276,4642
31歳,2335,2239,4574
32歳,2364,2238,4602
33歳,2416,2307,4723
34歳,2348,2280,4628
35歳,2355,2138,4493
36歳,2271,2088,4359
37歳,2238,2062,4300
38歳,2270,2150,4420
39歳,2278,2146,4424
40歳,2303,2136,4439
41歳,2195,2116,4311
42歳,2351,2093,4444
43歳,2421,2304,4725
44歳,2502,2339,4841
45歳,2380,2255,4635
46歳,2341,2270,4611
47歳,2239,2103,4342
48歳,2195,2096,4291
49歳,2221,2043,4264
50歳,2152,2079,4231
51歳,1574,1468,3042
52歳,2077,1806,3883
53歳,1882,1726,3608
54歳,1693,1590,3283
55歳,1559,1421,2980
56歳,1535,1488,3023
57歳,1508,1427,2935
58歳,1484,1275,2759
59歳,1395,1325,2720
60歳,1298,1240,2538
61歳,1345,1301,2646
62歳,1341,1279,2620
63歳,1386,1339,2725
64歳,1452,1412,2864
65歳,1571,1431,3002
66歳,1506,1449,2955
67歳,1641,1565,3206
68歳,1903,1843,3746
69歳,1889,1741,3630
70歳,1830,1813,3643
71歳,1162,1287,2449
72歳,976,1159,2135
73歳,1284,1439,2723
74歳,1268,1571,2839
75歳,1272,1530,2802
76歳,1267,1574,2841
77歳,1135,1450,2585
78歳,917,1259,2176
79歳,853,1179,2032
80歳,965,1243,2208
81歳,845,1208,2053
82歳,838,1201,2039
83歳,656,1034,1690
84歳,555,930,1485
85歳,492,888,1380
86歳,443,835,1278
87歳,359,685,1044
88歳,281,661,942
89歳,223,569,792
90歳,189,457,646
91歳,177,431,608
92歳,125,350,475
93歳,84,247,331
94歳,52,205,257
95歳,39,171,210
96歳,25,132,157
97歳,27,94,121
98歳,15,69,84
99歳,7,40,47
100歳,5,33,38
101歳,3,28,31
102歳,1,13,14
103歳,1,6,7
104歳以上,1,11,12
合計,133455,135443,268898
