年齢,男[人],女[人],総数[人]
0歳,1197,1182,2379
1歳,1168,1142,2310
2歳,1087,1033,2120
3歳,981,967,1948
4歳,999,943,1942
5歳,946,851,1797
6歳,925,881,1806
7歳,959,857,1816
8歳,899,843,1742
9歳,858,847,1705
10歳,916,848,1764
11歳,829,794,1623
12歳,833,802,1635
13歳,872,856,1728
14歳,890,852,1742
15歳,890,892,1782
16歳,872,851,1723
17歳,923,881,1804
18歳,998,918,1916
19歳,1086,934,2020
20歳,1107,1068,2175
21歳,1108,1054,2162
22歳,1362,1419,2781
23歳,1541,1569,3110
24歳,1658,1730,3388
25歳,1891,1895,3786
26歳,1873,1960,3833
27歳,2136,2103,4239
28歳,2230,2152,4382
29歳,2235,2194,4429
30歳,2318,2199,4517
31歳,2344,2198,4542
32歳,2406,2292,4698
33歳,2341,2241,4582
34歳,2372,2157,4529
35歳,2321,2152,4473
36歳,2202,2042,4244
37歳,2202,2123,4325
38歳,2262,2194,4456
39歳,2317,2137,4454
40歳,2219,2098,4317
41歳,2285,2099,4384
42歳,2378,2205,4583
43歳,2435,2321,4756
44歳,2454,2231,4685
45歳,2316,2241,4557
46歳,2253,2157,4410
47歳,2187,2106,4293
48歳,2220,2079,4299
49歳,2148,1986,4134
50歳,1770,1639,3409
51歳,1925,1771,3696
52歳,1902,1698,3600
53歳,1708,1657,3365
54歳,1602,1499,3101
55歳,1542,1441,2983
56歳,1554,1455,3009
57歳,1428,1329,2757
58歳,1488,1271,2759
59歳,1317,1313,2630
60歳,1360,1227,2587
61歳,1295,1304,2599
62歳,1427,1347,2774
63歳,1420,1413,2833
64歳,1568,1405,2973
65歳,1537,1448,2985
66歳,1642,1542,3184
67歳,1847,1803,3650
68歳,1913,1731,3644
69歳,2002,1865,3867
70歳,1435,1504,2939
71歳,914,1087,2001
72歳,1162,1354,2516
73歳,1382,1553,2935
74歳,1286,1570,2856
75歳,1322,1594,2916
76歳,1176,1493,2669
77歳,995,1352,2347
78歳,912,1203,2115
79歳,951,1290,2241
80歳,951,1197,2148
81歳,912,1233,2145
82歳,743,1156,1899
83歳,624,986,1610
84歳,559,948,1507
85歳,477,876,1353
86歳,403,777,1180
87歳,345,724,1069
88歳,277,657,934
89歳,228,506,734
90歳,194,473,667
91歳,155,437,592
92歳,115,319,434
93歳,79,258,337
94歳,55,210,265
95歳,31,172,203
96歳,32,140,172
97歳,28,93,121
98歳,10,59,69
99歳,4,46,50
100歳,5,33,38
101歳,4,22,26
102歳,1,16,17
103歳,2,9,11
104歳以上,1,9,10
合計,132266,134090,266356
