年齢,男[人],女[人],総数[人]
0歳,1214,1078,2292
1歳,1119,1074,2193
2歳,1137,1051,2188
3歳,1018,1042,2060
4歳,1048,1022,2070
5歳,1040,1002,2042
6歳,918,916,1834
7歳,925,929,1854
8歳,938,835,1773
9歳,913,823,1736
10歳,938,863,1801
11歳,884,819,1703
12歳,886,825,1711
13歳,913,885,1798
14歳,843,820,1663
15歳,900,790,1690
16歳,816,834,1650
17歳,895,872,1767
18歳,936,902,1838
19歳,987,909,1896
20歳,1049,1104,2153
21歳,1132,1090,2222
22歳,1374,1391,2765
23歳,1670,1746,3416
24歳,1818,1930,3748
25歳,2128,2239,4367
26歳,2258,2295,4553
27歳,2339,2393,4732
28歳,2535,2479,5014
29歳,2400,2394,4794
30歳,2332,2427,4759
31歳,2490,2360,4850
32歳,2301,2330,4631
33歳,2331,2267,4598
34歳,2399,2234,4633
35歳,2340,2264,4604
36歳,2390,2244,4634
37歳,2396,2218,4614
38歳,2236,2134,4370
39歳,2175,2067,4242
40歳,2174,2053,4227
41歳,2244,2146,4390
42歳,2329,2118,4447
43歳,2220,2067,4287
44歳,2222,2150,4372
45歳,2435,2216,4651
46歳,2394,2319,4713
47歳,2460,2342,4802
48歳,2332,2229,4561
49歳,2280,2193,4473
50歳,2186,2057,4243
51歳,2176,2099,4275
52歳,2180,1991,4171
53歳,1893,1799,3692
54歳,1789,1676,3465
55歳,1939,1693,3632
56歳,1703,1672,3375
57歳,1641,1528,3169
58歳,1510,1389,2899
59歳,1526,1424,2950
60歳,1375,1321,2696
61歳,1426,1242,2668
62歳,1292,1268,2560
63歳,1287,1176,2463
64歳,1214,1311,2525
65歳,1360,1291,2651
66歳,1282,1318,2600
67歳,1472,1337,2809
68歳,1440,1411,2851
69歳,1504,1494,2998
70歳,1622,1662,3284
71歳,1750,1694,3444
72歳,1816,1776,3592
73歳,1486,1597,3083
74歳,862,1040,1902
75歳,981,1238,2219
76歳,1242,1504,2746
77歳,1114,1489,2603
78歳,1170,1442,2612
79歳,1082,1437,2519
80歳,877,1300,2177
81歳,768,1077,1845
82歳,780,1173,1953
83歳,763,1089,1852
84歳,719,1094,1813
85歳,605,1028,1633
86歳,475,876,1351
87歳,397,801,1198
88歳,345,701,1046
89歳,272,610,882
90歳,239,531,770
91歳,172,484,656
92歳,127,348,475
93歳,108,324,432
94歳,97,248,345
95歳,49,188,237
96歳,35,128,163
97歳,22,97,119
98歳,11,83,94
99歳,4,45,49
100歳,6,34,40
101歳,4,20,24
102歳,1,12,13
103歳,0,11,11
104歳以上,1,12,13
合計,136648,139420,276068
