年齢,男[人],女[人],総数[人]
0歳,1197,1114,2311
1歳,1154,1066,2220
2歳,1121,1064,2185
3歳,1051,1037,2088
4歳,1056,1042,2098
5歳,978,969,1947
6歳,912,930,1842
7歳,961,892,1853
8歳,926,819,1745
9歳,915,853,1768
10歳,951,844,1795
11歳,900,847,1747
12歳,854,833,1687
13歳,911,859,1770
14歳,833,791,1624
15歳,838,799,1637
16歳,877,847,1724
17歳,892,862,1754
18歳,934,926,1860
19歳,976,952,1928
20歳,1102,1093,2195
21歳,1151,1121,2272
22歳,1405,1388,2793
23歳,1619,1748,3367
24歳,1833,1897,3730
25歳,2137,2285,4422
26歳,2225,2247,4472
27歳,2325,2400,4725
28歳,2510,2446,4956
29歳,2349,2461,4810
30歳,2354,2402,4756
31歳,2397,2341,4738
32歳,2356,2310,4666
33歳,2354,2255,4609
34歳,2350,2187,4537
35歳,2357,2306,4663
36歳,2371,2199,4570
37歳,2364,2216,4580
38歳,2297,2165,4462
39歳,2167,1989,4156
40歳,2170,2112,4282
41歳,2282,2144,4426
42歳,2328,2108,4436
43歳,2190,2088,4278
44歳,2237,2113,4350
45歳,2408,2259,4667
46歳,2461,2352,4813
47歳,2458,2252,4710
48歳,2293,2284,4577
49歳,2253,2137,4390
50歳,2192,2076,4268
51歳,2180,2092,4272
52歳,2140,1988,4128
53歳,1756,1600,3356
54歳,1927,1761,3688
55歳,1863,1690,3553
56歳,1699,1636,3335
57歳,1575,1472,3047
58歳,1511,1429,2940
59歳,1516,1423,2939
60歳,1381,1296,2677
61歳,1423,1216,2639
62歳,1247,1280,2527
63歳,1290,1198,2488
64歳,1240,1283,2523
65歳,1369,1299,2668
66歳,1333,1367,2700
67歳,1473,1380,2853
68歳,1430,1375,2805
69歳,1532,1502,3034
70歳,1720,1747,3467
71歳,1744,1673,3417
72歳,1834,1805,3639
73歳,1305,1445,2750
74歳,832,1045,1877
75歳,1050,1316,2366
76歳,1242,1477,2719
77歳,1126,1495,2621
78歳,1183,1494,2677
79歳,1049,1406,2455
80歳,856,1248,2104
81歳,794,1099,1893
82歳,795,1176,1971
83歳,761,1101,1862
84歳,713,1098,1811
85歳,578,1028,1606
86歳,477,837,1314
87歳,423,779,1202
88歳,325,715,1040
89歳,261,607,868
90歳,222,535,757
91歳,176,494,670
92歳,134,339,473
93歳,115,323,438
94歳,84,252,336
95歳,51,169,220
96歳,32,141,173
97歳,28,90,118
98歳,9,82,91
99歳,6,54,60
100歳,8,33,41
101歳,4,17,21
102歳,1,13,14
103歳,0,10,10
104歳以上,2,15,17
合計,136357,139172,275529
