年齢,男[人],女[人],総数[人]
0歳,1202,1118,2320
1歳,1164,1122,2286
2歳,1147,1074,2221
3歳,1051,1044,2095
4歳,1046,1033,2079
5歳,967,948,1915
6歳,928,956,1884
7歳,967,866,1833
8歳,912,812,1724
9歳,936,870,1806
10歳,922,830,1752
11歳,883,837,1720
12歳,895,866,1761
13歳,867,861,1728
14歳,852,769,1621
15歳,838,806,1644
16歳,865,884,1749
17歳,912,831,1743
18歳,936,928,1864
19歳,987,985,1972
20歳,1105,1051,2156
21歳,1129,1101,2230
22歳,1303,1295,2598
23歳,1577,1710,3287
24歳,1763,1906,3669
25歳,2116,2196,4312
26歳,2139,2245,4384
27歳,2373,2369,4742
28歳,2458,2410,4868
29歳,2347,2478,4825
30歳,2387,2348,4735
31歳,2359,2396,4755
32歳,2392,2306,4698
33歳,2348,2255,4603
34歳,2326,2205,4531
35歳,2418,2283,4701
36歳,2361,2259,4620
37歳,2323,2196,4519
38歳,2250,2108,4358
39歳,2226,2012,4238
40歳,2222,2137,4359
41歳,2268,2111,4379
42歳,2316,2144,4460
43歳,2174,2109,4283
44歳,2321,2087,4408
45歳,2397,2314,4711
46歳,2529,2375,4904
47歳,2369,2270,4639
48歳,2345,2269,4614
49歳,2227,2100,4327
50歳,2170,2053,4223
51歳,2207,2045,4252
52歳,2130,2080,4210
53歳,1581,1449,3030
54歳,2055,1806,3861
55歳,1830,1708,3538
56歳,1690,1585,3275
57歳,1537,1410,2947
58歳,1523,1464,2987
59歳,1481,1418,2899
60歳,1439,1244,2683
61歳,1360,1276,2636
62歳,1263,1222,2485
63歳,1299,1275,2574
64歳,1286,1261,2547
65歳,1339,1308,2647
66歳,1391,1384,2775
67歳,1507,1413,2920
68歳,1433,1404,2837
69歳,1565,1533,3098
70歳,1816,1802,3618
71歳,1767,1699,3466
72歳,1744,1769,3513
73歳,1086,1243,2329
74歳,918,1137,2055
75歳,1186,1412,2598
76歳,1178,1513,2691
77歳,1168,1479,2647
78歳,1175,1515,2690
79歳,1031,1392,2423
80歳,817,1189,2006
81歳,775,1112,1887
82歳,856,1160,2016
83歳,735,1126,1861
84歳,708,1113,1821
85歳,554,953,1507
86歳,458,834,1292
87歳,401,778,1179
88歳,334,727,1061
89歳,277,557,834
90歳,208,536,744
91歳,153,468,621
92歳,131,353,484
93歳,125,314,439
94歳,77,250,327
95歳,43,149,192
96歳,35,132,167
97歳,19,107,126
98歳,14,73,87
99歳,11,50,61
100歳,6,30,36
101歳,3,15,18
102歳,1,17,18
103歳,1,11,12
104歳以上,1,15,16
合計,136043,138853,274896
