年齢,男[人],女[人],総数[人]
0歳,1179,1091,2270
1歳,1162,1108,2270
2歳,1144,1111,2255
3歳,1033,1030,2063
4歳,1066,1048,2114
5歳,949,917,1866
6歳,947,949,1896
7歳,945,869,1814
8歳,900,826,1726
9歳,945,862,1807
10歳,902,807,1709
11歳,889,844,1733
12歳,917,872,1789
13歳,846,845,1691
14歳,864,760,1624
15歳,840,844,1684
16歳,856,888,1744
17歳,903,832,1735
18歳,943,921,1864
19歳,1021,999,2020
20歳,1086,1039,2125
21歳,1120,1138,2258
22歳,1359,1361,2720
23歳,1587,1724,3311
24歳,1856,1931,3787
25歳,2006,2118,4124
26歳,2168,2266,4434
27歳,2425,2343,4768
28歳,2310,2390,4700
29歳,2357,2431,4788
30歳,2329,2351,4680
31歳,2336,2352,4688
32歳,2430,2261,4691
33歳,2317,2287,4604
34歳,2341,2227,4568
35歳,2393,2259,4652
36歳,2404,2229,4633
37歳,2236,2180,4416
38歳,2267,2072,4339
39歳,2230,2009,4239
40歳,2239,2175,4414
41歳,2250,2123,4373
42歳,2321,2107,4428
43歳,2178,2156,4334
44歳,2356,2103,4459
45歳,2430,2328,4758
46歳,2538,2373,4911
47歳,2364,2240,4604
48歳,2327,2244,4571
49歳,2226,2075,4301
50歳,2178,2103,4281
51歳,2156,1969,4125
52歳,2057,1986,4043
53歳,1641,1601,3242
54歳,1997,1721,3718
55歳,1802,1693,3495
56歳,1683,1573,3256
57歳,1541,1407,2948
58歳,1503,1439,2942
59歳,1452,1382,2834
60歳,1453,1266,2719
61歳,1325,1288,2613
62歳,1252,1201,2453
63歳,1295,1311,2606
64歳,1320,1252,2572
65歳,1327,1329,2656
66歳,1422,1382,2804
67歳,1538,1401,2939
68歳,1478,1467,2945
69歳,1633,1608,3241
70歳,1820,1728,3548
71歳,1773,1758,3531
72歳,1684,1727,3411
73歳,952,1107,2059
74歳,987,1194,2181
75歳,1266,1502,2768
76歳,1163,1508,2671
77歳,1207,1505,2712
78歳,1149,1509,2658
79歳,979,1348,2327
80歳,805,1123,1928
81歳,802,1188,1990
82歳,845,1117,1962
83歳,750,1163,1913
84歳,673,1074,1747
85歳,556,946,1502
86歳,456,840,1296
87歳,364,737,1101
88歳,336,722,1058
89歳,285,587,872
90歳,187,532,719
91歳,161,438,599
92歳,132,372,504
93歳,118,309,427
94歳,70,231,301
95歳,48,159,207
96歳,28,123,151
97歳,17,109,126
98歳,11,67,78
99歳,13,53,66
100歳,4,25,29
101歳,2,21,23
102歳,1,14,15
103歳,1,16,17
104歳以上,1,14,15
合計,135736,138560,274296
