年齢,男[人],女[人],総数[人]
0歳,1094,1051,2145
1歳,1073,1050,2123
2歳,1098,1011,2109
3歳,1057,998,2055
4歳,991,1012,2003
5歳,1031,1021,2052
6歳,939,917,1856
7歳,894,910,1804
8歳,941,892,1833
9歳,916,814,1730
10歳,909,844,1753
11歳,945,842,1787
12歳,887,841,1728
13歳,844,839,1683
14歳,916,860,1776
15歳,837,796,1633
16歳,844,805,1649
17歳,872,850,1722
18歳,917,912,1829
19歳,1011,962,1973
20歳,1024,1005,2029
21歳,1104,1104,2208
22歳,1407,1426,2833
23歳,1670,1705,3375
24歳,1887,2000,3887
25歳,2059,2167,4226
26歳,2328,2453,4781
27歳,2395,2434,4829
28歳,2510,2453,4963
29歳,2551,2488,5039
30歳,2392,2447,4839
31歳,2332,2397,4729
32歳,2329,2249,4578
33歳,2295,2228,4523
34歳,2292,2235,4527
35歳,2275,2126,4401
36歳,2326,2282,4608
37歳,2314,2176,4490
38歳,2324,2153,4477
39歳,2188,2111,4299
40歳,2140,1966,4106
41歳,2150,2122,4272
42歳,2252,2110,4362
43歳,2304,2088,4392
44歳,2170,2083,4253
45歳,2229,2120,4349
46歳,2381,2248,4629
47歳,2430,2325,4755
48歳,2458,2242,4700
49歳,2264,2266,4530
50歳,2255,2117,4372
51歳,2191,2063,4254
52歳,2173,2086,4259
53歳,2128,1981,4109
54歳,1745,1594,3339
55歳,1895,1751,3646
56歳,1846,1682,3528
57歳,1673,1607,3280
58歳,1562,1459,3021
59歳,1490,1426,2916
60歳,1479,1399,2878
61歳,1356,1286,2642
62歳,1398,1207,2605
63歳,1224,1254,2478
64歳,1262,1188,2450
65歳,1203,1265,2468
66歳,1342,1274,2616
67歳,1285,1352,2637
68歳,1437,1366,2803
69歳,1397,1343,2740
70歳,1502,1492,2994
71歳,1652,1721,3373
72歳,1701,1644,3345
73歳,1791,1778,3569
74歳,1254,1422,2676
75歳,807,1023,1830
76歳,1018,1292,2310
77歳,1178,1440,2618
78歳,1073,1466,2539
79歳,1117,1472,2589
80歳,1005,1373,2378
81歳,801,1209,2010
82歳,732,1064,1796
83歳,755,1103,1858
84歳,706,1049,1755
85歳,665,1060,1725
86歳,528,980,1508
87歳,416,786,1202
88歳,360,730,1090
89歳,290,642,932
90歳,220,549,769
91歳,188,463,651
92歳,148,443,591
93歳,106,283,389
94歳,87,270,357
95歳,60,212,272
96歳,41,135,176
97歳,22,112,134
98歳,22,70,92
99歳,7,57,64
100歳,4,38,42
101歳,4,22,26
102歳,2,13,15
103歳,1,7,8
104歳以上,1,18,19
合計,136401,139574,275975
