年齢,男[人],女[人],総数[人]
0歳,1032,1035,2067
1歳,1112,1019,2131
2歳,1057,1005,2062
3歳,1079,975,2054
4歳,963,1018,1981
5歳,1014,993,2007
6歳,997,949,1946
7歳,905,894,1799
8歳,903,929,1832
9歳,935,830,1765
10歳,907,815,1722
11歳,940,860,1800
12歳,873,822,1695
13歳,877,830,1707
14歳,904,885,1789
15歳,846,826,1672
16歳,894,798,1692
17歳,817,835,1652
18歳,914,915,1829
19歳,1001,945,1946
20歳,1053,970,2023
21歳,1060,1123,2183
22歳,1417,1391,2808
23歳,1666,1739,3405
24歳,1940,1999,3939
25歳,2080,2175,4255
26歳,2353,2405,4758
27歳,2417,2469,4886
28歳,2494,2450,4944
29歳,2551,2452,5003
30歳,2420,2429,4849
31歳,2318,2426,4744
32歳,2361,2283,4644
33歳,2269,2222,4491
34歳,2264,2185,4449
35歳,2284,2185,4469
36歳,2268,2236,4504
37歳,2348,2197,4545
38歳,2304,2161,4465
39歳,2150,2076,4226
40歳,2157,2033,4190
41歳,2139,2050,4189
42歳,2236,2110,4346
43歳,2277,2095,4372
44歳,2207,2064,4271
45歳,2205,2152,4357
46歳,2407,2204,4611
47歳,2374,2300,4674
48歳,2444,2337,4781
49歳,2289,2217,4506
50歳,2280,2162,4442
51歳,2189,2043,4232
52歳,2155,2067,4222
53歳,2168,1990,4158
54歳,1878,1801,3679
55歳,1761,1663,3424
56歳,1908,1686,3594
57歳,1688,1644,3332
58歳,1620,1503,3123
59歳,1487,1385,2872
60歳,1487,1407,2894
61歳,1351,1307,2658
62歳,1401,1228,2629
63歳,1264,1247,2511
64歳,1262,1165,2427
65歳,1182,1292,2474
66歳,1324,1270,2594
67歳,1244,1307,2551
68歳,1434,1320,2754
69歳,1414,1373,2787
70歳,1478,1490,2968
71歳,1572,1642,3214
72歳,1689,1662,3351
73歳,1772,1751,3523
74歳,1431,1558,2989
75歳,831,1019,1850
76歳,948,1223,2171
77歳,1187,1464,2651
78歳,1062,1461,2523
79歳,1104,1418,2522
80歳,1026,1410,2436
81歳,828,1251,2079
82歳,708,1046,1754
83歳,731,1112,1843
84歳,716,1031,1747
85歳,668,1047,1715
86歳,557,971,1528
87歳,417,812,1229
88歳,344,738,1082
89歳,294,635,929
90歳,228,546,774
91歳,195,465,660
92歳,147,415,562
93歳,96,303,399
94歳,78,268,346
95歳,76,209,285
96歳,39,146,185
97歳,24,96,120
98歳,17,71,88
99歳,9,58,67
100歳,2,35,37
101歳,3,23,26
102歳,2,16,18
103歳,1,7,8
104歳以上,1,14,15
合計,136500,139586,276086
