年齢,男[人],女[人],総数[人]
0歳,1203,1143,2346
1歳,1205,1122,2327
2歳,1091,1087,2178
3歳,1083,1061,2144
4歳,991,984,1975
5歳,937,948,1885
6歳,972,895,1867
7歳,930,818,1748
8歳,918,860,1778
9歳,957,844,1801
10歳,896,842,1738
11歳,854,839,1693
12歳,911,861,1772
13歳,830,790,1620
14歳,834,806,1640
15歳,867,854,1721
16歳,884,867,1751
17歳,897,902,1799
18歳,900,894,1794
19歳,1060,1012,2072
20歳,1138,1080,2218
21歳,1180,1109,2289
22歳,1386,1481,2867
23歳,1562,1626,3188
24歳,1883,1957,3840
25歳,1959,2049,4008
26歳,2156,2215,4371
27歳,2318,2333,4651
28歳,2199,2344,4543
29歳,2301,2362,4663
30歳,2393,2332,4725
31歳,2348,2278,4626
32歳,2329,2247,4576
33歳,2326,2236,4562
34歳,2392,2309,4701
35歳,2385,2219,4604
36歳,2372,2227,4599
37歳,2312,2169,4481
38歳,2199,2006,4205
39歳,2169,2126,4295
40歳,2298,2176,4474
41歳,2319,2103,4422
42歳,2192,2083,4275
43歳,2274,2106,4380
44歳,2414,2247,4661
45歳,2486,2342,4828
46歳,2450,2259,4709
47歳,2298,2276,4574
48歳,2261,2120,4381
49歳,2199,2082,4281
50歳,2216,2097,4313
51歳,2119,2002,4121
52歳,1760,1625,3385
53歳,1944,1766,3710
54歳,1884,1685,3569
55歳,1697,1640,3337
56歳,1584,1480,3064
57歳,1522,1435,2957
58歳,1530,1425,2955
59歳,1388,1320,2708
60歳,1438,1234,2672
61歳,1266,1289,2555
62歳,1307,1213,2520
63歳,1264,1300,2564
64歳,1393,1313,2706
65歳,1357,1381,2738
66歳,1518,1391,2909
67歳,1465,1399,2864
68歳,1580,1522,3102
69歳,1765,1757,3522
70歳,1799,1696,3495
71歳,1907,1827,3734
72歳,1338,1468,2806
73歳,868,1063,1931
74歳,1096,1336,2432
75歳,1304,1506,2810
76歳,1183,1527,2710
77歳,1225,1525,2750
78歳,1094,1430,2524
79歳,903,1292,2195
80歳,824,1137,1961
81歳,850,1221,2071
82歳,826,1137,1963
83歳,775,1146,1921
84歳,650,1068,1718
85歳,528,886,1414
86歳,457,829,1286
87歳,376,772,1148
88歳,297,673,970
89歳,260,592,852
90歳,205,539,744
91歳,160,398,558
92歳,135,374,509
93歳,108,313,421
94歳,72,212,284
95歳,42,169,211
96歳,34,111,145
97歳,18,111,129
98歳,9,78,87
99歳,12,51,63
100歳,5,32,37
101歳,1,18,19
102歳,2,16,18
103歳,3,12,15
104歳以上,1,12,13
合計,135082,137779,272861
