年齢,男[人],女[人],総数[人]
0歳,1096,1105,2201
1歳,1113,1043,2156
2歳,1108,1052,2160
3歳,1084,1032,2116
4歳,1008,1018,2026
5歳,1027,1004,2031
6歳,943,921,1864
7歳,903,935,1838
8歳,953,868,1821
9歳,900,801,1701
10歳,934,868,1802
11歳,920,832,1752
12歳,871,831,1702
13歳,894,865,1759
14歳,869,859,1728
15歳,862,778,1640
16歳,843,798,1641
17歳,864,890,1754
18歳,927,848,1775
19歳,1011,968,1979
20歳,1004,1013,2017
21歳,1108,1084,2192
22歳,1250,1233,2483
23歳,1641,1680,3321
24歳,1810,1918,3728
25歳,2019,2186,4205
26歳,2329,2407,4736
27歳,2324,2406,4730
28歳,2485,2458,4943
29歳,2578,2440,5018
30歳,2338,2457,4795
31歳,2357,2337,4694
32歳,2358,2308,4666
33歳,2345,2281,4626
34歳,2313,2226,4539
35歳,2284,2132,4416
36歳,2378,2279,4657
37歳,2308,2242,4550
38歳,2272,2136,4408
39歳,2193,2087,4280
40歳,2199,2009,4208
41歳,2189,2113,4302
42歳,2254,2086,4340
43歳,2300,2119,4419
44歳,2155,2111,4266
45歳,2320,2101,4421
46歳,2355,2296,4651
47歳,2515,2349,4864
48歳,2367,2260,4627
49歳,2350,2257,4607
50歳,2223,2091,4314
51歳,2158,2037,4195
52歳,2200,2043,4243
53歳,2124,2070,4194
54歳,1565,1426,2991
55歳,2021,1803,3824
56歳,1809,1703,3512
57歳,1663,1566,3229
58歳,1531,1401,2932
59歳,1499,1454,2953
60歳,1460,1397,2857
61歳,1398,1234,2632
62歳,1339,1273,2612
63歳,1239,1201,2440
64歳,1272,1258,2530
65歳,1253,1242,2495
66歳,1311,1292,2603
67歳,1352,1361,2713
68歳,1475,1400,2875
69歳,1394,1384,2778
70歳,1538,1516,3054
71歳,1776,1784,3560
72歳,1727,1666,3393
73歳,1693,1745,3438
74歳,1061,1232,2293
75歳,892,1114,2006
76歳,1138,1379,2517
77歳,1110,1479,2589
78歳,1114,1447,2561
79歳,1110,1483,2593
80歳,989,1361,2350
81歳,762,1155,1917
82歳,728,1065,1793
83歳,805,1099,1904
84歳,690,1092,1782
85歳,644,1071,1715
86歳,503,899,1402
87歳,396,788,1184
88歳,349,727,1076
89歳,292,651,943
90歳,244,504,748
91歳,175,473,648
92歳,127,412,539
93歳,108,301,409
94歳,100,260,360
95歳,54,207,261
96歳,35,120,155
97歳,24,102,126
98歳,15,77,92
99歳,9,52,61
100歳,5,33,38
101歳,4,21,25
102歳,2,7,9
103歳,0,12,12
104歳以上,1,16,17
合計,136334,139313,275647
