年齢,男[人],女[人],総数[人]
0歳,1072,997,2069
1歳,1015,1005,2020
2歳,1038,982,2020
3歳,1042,980,2022
4歳,1018,984,2002
5歳,968,996,1964
6歳,1005,967,1972
7歳,918,899,1817
8歳,893,926,1819
9歳,952,858,1810
10歳,888,796,1684
11歳,932,849,1781
12歳,921,825,1746
13歳,869,839,1708
14歳,888,863,1751
15歳,870,866,1736
16歳,863,777,1640
17歳,832,805,1637
18歳,874,893,1767
19歳,980,886,1866
20歳,1038,989,2027
21歳,1051,1045,2096
22歳,1232,1229,2461
23歳,1665,1684,3349
24歳,1904,1986,3890
25歳,2137,2227,4364
26歳,2219,2466,4685
27歳,2501,2546,5047
28歳,2493,2541,5034
29歳,2522,2433,4955
30歳,2554,2450,5004
31歳,2333,2424,4757
32歳,2308,2286,4594
33歳,2259,2230,4489
34歳,2309,2205,4514
35歳,2200,2134,4334
36歳,2232,2093,4325
37歳,2322,2226,4548
38歳,2228,2191,4419
39歳,2217,2094,4311
40歳,2144,2040,4184
41歳,2170,1992,4162
42歳,2194,2099,4293
43歳,2211,2069,4280
44歳,2270,2122,4392
45歳,2138,2090,4228
46歳,2303,2080,4383
47歳,2341,2300,4641
48歳,2492,2335,4827
49歳,2328,2240,4568
50歳,2314,2244,4558
51歳,2221,2080,4301
52歳,2146,2025,4171
53歳,2165,2029,4194
54歳,2111,2070,4181
55歳,1554,1411,2965
56歳,1983,1799,3782
57歳,1792,1674,3466
58歳,1657,1546,3203
59歳,1510,1384,2894
60歳,1462,1435,2897
61歳,1424,1374,2798
62歳,1381,1221,2602
63歳,1315,1249,2564
64歳,1225,1191,2416
65歳,1241,1243,2484
66歳,1223,1220,2443
67歳,1284,1273,2557
68歳,1334,1345,2679
69歳,1430,1370,2800
70歳,1372,1367,2739
71歳,1496,1505,3001
72歳,1699,1762,3461
73歳,1662,1636,3298
74歳,1629,1714,3343
75歳,1027,1207,2234
76歳,862,1097,1959
77歳,1092,1358,2450
78歳,1063,1446,2509
79歳,1052,1410,2462
80歳,1053,1460,2513
81歳,936,1326,2262
82歳,705,1105,1810
83歳,667,1026,1693
84歳,735,1048,1783
85歳,639,1024,1663
86歳,580,1005,1585
87歳,449,840,1289
88歳,349,732,1081
89歳,300,662,962
90歳,235,588,823
91歳,210,441,651
92歳,135,405,540
93歳,101,357,458
94歳,80,255,335
95歳,72,215,287
96歳,41,161,202
97歳,27,91,118
98歳,17,71,88
99歳,11,54,65
100歳,5,39,44
101歳,2,24,26
102歳,2,15,17
103歳,2,4,6
104歳以上,1,19,20
合計,136233,139491,275724
