年齢,男[人],女[人],総数[人]
0歳,1253,1169,2422
1歳,1133,1086,2219
2歳,1025,988,2013
3歳,1006,962,1968
4歳,958,870,1828
5歳,939,885,1824
6歳,966,861,1827
7歳,908,845,1753
8歳,866,856,1722
9歳,922,853,1775
10歳,835,804,1639
11歳,826,792,1618
12歳,873,853,1726
13歳,882,844,1726
14歳,897,881,1778
15歳,860,846,1706
16歳,914,868,1782
17歳,948,839,1787
18歳,1002,872,1874
19歳,1041,953,1994
20歳,1050,971,2021
21歳,1097,1124,2221
22歳,1257,1289,2546
23歳,1466,1474,2940
24歳,1670,1686,3356
25歳,1728,1734,3462
26歳,1933,1943,3876
27歳,2098,2060,4158
28歳,2189,2103,4292
29歳,2208,2128,4336
30歳,2349,2225,4574
31歳,2418,2266,4684
32歳,2351,2223,4574
33歳,2386,2151,4537
34歳,2325,2140,4465
35歳,2200,2038,4238
36歳,2240,2118,4358
37歳,2285,2193,4478
38歳,2346,2119,4465
39歳,2243,2111,4354
40歳,2323,2076,4399
41歳,2401,2208,4609
42歳,2455,2333,4788
43歳,2476,2233,4709
44歳,2303,2258,4561
45歳,2265,2165,4430
46歳,2178,2100,4278
47歳,2250,2083,4333
48歳,2136,1982,4118
49歳,1760,1635,3395
50歳,1914,1757,3671
51歳,1904,1713,3617
52歳,1727,1664,3391
53歳,1598,1503,3101
54歳,1559,1455,3014
55歳,1548,1466,3014
56歳,1451,1344,2795
57歳,1497,1279,2776
58歳,1324,1327,2651
59歳,1387,1239,2626
60歳,1332,1309,2641
61歳,1460,1363,2823
62歳,1438,1420,2858
63歳,1604,1413,3017
64歳,1579,1464,3043
65歳,1674,1559,3233
66歳,1879,1809,3688
67歳,1962,1748,3710
68歳,2046,1892,3938
69歳,1474,1511,2985
70歳,943,1096,2039
71歳,1189,1376,2565
72歳,1433,1570,3003
73歳,1325,1589,2914
74歳,1368,1619,2987
75歳,1220,1500,2720
76歳,1049,1372,2421
77歳,945,1221,2166
78歳,1004,1316,2320
79歳,1013,1225,2238
80歳,967,1276,2243
81歳,807,1189,1996
82歳,678,1015,1693
83歳,632,997,1629
84歳,519,921,1440
85歳,458,821,1279
86歳,390,775,1165
87歳,325,705,1030
88歳,259,557,816
89歳,219,538,757
90歳,188,494,682
91歳,150,377,527
92歳,97,313,410
93歳,82,250,332
94歳,43,222,265
95歳,41,169,210
96歳,39,121,160
97歳,16,89,105
98歳,10,70,80
99歳,6,47,53
100歳,7,28,35
101歳,2,18,20
102歳,3,11,14
103歳,2,5,7
104歳以上,0,7,7
合計,131226,132230,263456
