年齢,男[人],女[人],総数[人]
0歳,1286,1178,2464
1歳,1121,1142,2263
2歳,1137,1070,2207
3歳,1081,1054,2135
4歳,972,957,1929
5歳,959,952,1911
6歳,958,845,1803
7歳,919,840,1759
8歳,945,878,1823
9歳,889,813,1702
10歳,898,829,1727
11歳,908,887,1795
12歳,844,822,1666
13歳,885,796,1681
14歳,818,837,1655
15歳,889,877,1766
16歳,893,895,1788
17歳,879,848,1727
18歳,968,988,1956
19歳,1108,986,2094
20歳,1141,1017,2158
21歳,1190,1176,2366
22歳,1340,1337,2677
23歳,1647,1685,3332
24歳,1752,1853,3605
25歳,1941,2044,3985
26歳,2119,2139,4258
27歳,2087,2240,4327
28歳,2231,2323,4554
29歳,2379,2289,4668
30歳,2268,2278,4546
31歳,2359,2235,4594
32歳,2352,2275,4627
33歳,2396,2245,4641
34歳,2421,2294,4715
35歳,2399,2212,4611
36歳,2294,2127,4421
37歳,2221,2102,4323
38歳,2205,2054,4259
39歳,2269,2192,4461
40歳,2310,2122,4432
41歳,2222,2076,4298
42歳,2269,2151,4420
43歳,2423,2208,4631
44歳,2441,2305,4746
45歳,2454,2317,4771
46歳,2354,2240,4594
47歳,2311,2192,4503
48歳,2193,2074,4267
49歳,2218,2100,4318
50歳,2188,2000,4188
51歳,1891,1825,3716
52歳,1811,1679,3490
53歳,1979,1687,3666
54歳,1723,1673,3396
55歳,1669,1540,3209
56歳,1548,1421,2969
57歳,1548,1445,2993
58歳,1390,1341,2731
59歳,1476,1280,2756
60歳,1328,1303,2631
61歳,1321,1189,2510
62歳,1255,1339,2594
63歳,1400,1319,2719
64歳,1351,1351,2702
65歳,1531,1365,2896
66歳,1513,1446,2959
67歳,1574,1530,3104
68歳,1726,1710,3436
69歳,1845,1720,3565
70歳,1933,1828,3761
71歳,1574,1633,3207
72歳,919,1073,1992
73歳,1054,1261,2315
74歳,1349,1564,2913
75歳,1225,1545,2770
76歳,1280,1517,2797
77歳,1163,1488,2651
78歳,977,1358,2335
79歳,850,1141,1991
80歳,867,1265,2132
81歳,897,1164,2061
82歳,829,1185,2014
83歳,736,1110,1846
84歳,567,964,1531
85歳,489,902,1391
86歳,449,812,1261
87歳,360,728,1088
88歳,319,660,979
89歳,236,594,830
90歳,186,478,664
91歳,157,418,575
92歳,149,356,505
93歳,86,287,373
94歳,66,198,264
95歳,39,157,196
96歳,25,145,170
97歳,15,97,112
98歳,15,77,92
99歳,10,44,54
100歳,3,30,33
101歳,2,23,25
102歳,3,12,15
103歳,0,8,8
104歳以上,2,12,14
合計,134461,136693,271154
