年齢,男[人],女[人],総数[人]
0歳,1237,1202,2439
1歳,1125,1096,2221
2歳,1146,1110,2256
3歳,1016,952,1968
4歳,984,979,1963
5歳,962,898,1860
6歳,903,861,1764
7歳,957,877,1834
8歳,914,800,1714
9歳,883,852,1735
10歳,917,870,1787
11歳,859,847,1706
12歳,858,763,1621
13歳,841,837,1678
14歳,871,893,1764
15歳,906,826,1732
16歳,884,892,1776
17歳,860,865,1725
18歳,995,921,1916
19歳,1064,956,2020
20歳,1159,1076,2235
21歳,1152,1075,2227
22歳,1298,1302,2600
23歳,1521,1582,3103
24歳,1680,1773,3453
25歳,1939,1962,3901
26歳,1932,2001,3933
27歳,2126,2185,4311
28歳,2235,2137,4372
29歳,2241,2255,4496
30歳,2366,2218,4584
31歳,2304,2312,4616
32歳,2402,2219,4621
33歳,2398,2320,4718
34歳,2391,2201,4592
35歳,2293,2107,4400
36歳,2247,2099,4346
37歳,2225,2024,4249
38歳,2271,2199,4470
39歳,2248,2164,4412
40歳,2302,2100,4402
41歳,2230,2166,4396
42歳,2352,2085,4437
43歳,2439,2312,4751
44歳,2505,2348,4853
45歳,2359,2196,4555
46歳,2333,2258,4591
47歳,2201,2073,4274
48歳,2195,2119,4314
49歳,2167,1990,4157
50歳,2086,1969,4055
51歳,1640,1601,3241
52歳,2011,1735,3746
53歳,1834,1692,3526
54歳,1684,1579,3263
55歳,1550,1413,2963
56歳,1525,1453,2978
57歳,1483,1400,2883
58歳,1497,1294,2791
59歳,1364,1331,2695
60歳,1313,1215,2528
61歳,1328,1331,2659
62歳,1367,1284,2651
63歳,1371,1341,2712
64歳,1483,1412,2895
65歳,1593,1438,3031
66歳,1557,1505,3062
67歳,1721,1645,3366
68歳,1916,1772,3688
69歳,1881,1795,3676
70歳,1776,1766,3542
71歳,1013,1136,2149
72歳,1036,1221,2257
73歳,1360,1539,2899
74歳,1263,1565,2828
75歳,1323,1556,2879
76歳,1229,1576,2805
77歳,1086,1410,2496
78歳,893,1188,2081
79歳,886,1263,2149
80歳,965,1190,2155
81歳,871,1244,2115
82歳,813,1164,1977
83歳,643,1042,1685
84歳,554,949,1503
85歳,463,851,1314
86歳,452,831,1283
87歳,365,694,1059
88歳,257,655,912
89歳,232,557,789
90歳,188,466,654
91歳,177,429,606
92歳,108,341,449
93歳,89,246,335
94歳,45,210,255
95歳,40,175,215
96歳,26,130,156
97歳,29,95,124
98歳,10,60,70
99歳,7,47,54
100歳,5,32,37
101歳,4,24,28
102歳,1,13,14
103歳,1,9,10
104歳以上,2,10,12
合計,133109,135044,268153
