年齢,男[人],女[人],総数[人]
0歳,1203,1137,2340
1歳,1202,1149,2351
2歳,1063,991,2054
3歳,1010,1006,2016
4歳,971,923,1894
5歳,928,867,1795
6歳,969,875,1844
7歳,911,817,1728
8歳,879,858,1737
9歳,925,871,1796
10歳,859,850,1709
11歳,856,762,1618
12歳,839,834,1673
13歳,866,882,1748
14歳,892,814,1706
15歳,893,890,1783
16歳,860,855,1715
17歳,943,851,1794
18歳,989,871,1860
19歳,1069,978,2047
20歳,1100,976,2076
21歳,1105,1066,2171
22歳,1226,1281,2507
23歳,1414,1512,2926
24歳,1668,1716,3384
25歳,1754,1747,3501
26歳,1971,1974,3945
27歳,2085,2046,4131
28歳,2149,2134,4283
29歳,2310,2193,4503
30歳,2279,2255,4534
31歳,2371,2172,4543
32歳,2380,2338,4718
33歳,2377,2172,4549
34歳,2317,2109,4426
35歳,2265,2077,4342
36歳,2235,2053,4288
37歳,2268,2201,4469
38歳,2235,2181,4416
39歳,2337,2103,4440
40歳,2260,2182,4442
41歳,2354,2085,4439
42歳,2424,2289,4713
43歳,2516,2348,4864
44歳,2348,2176,4524
45歳,2348,2260,4608
46歳,2224,2089,4313
47歳,2191,2109,4300
48歳,2166,1976,4142
49歳,2073,1983,4056
50歳,1621,1598,3219
51歳,1999,1749,3748
52歳,1832,1704,3536
53歳,1705,1602,3307
54歳,1573,1423,2996
55歳,1531,1458,2989
56歳,1502,1417,2919
57歳,1516,1304,2820
58歳,1369,1339,2708
59歳,1340,1231,2571
60歳,1359,1334,2693
61歳,1382,1287,2669
62歳,1390,1358,2748
63歳,1522,1423,2945
64歳,1626,1454,3080
65歳,1599,1517,3116
66歳,1765,1658,3423
67歳,1957,1791,3748
68歳,1926,1812,3738
69歳,1825,1782,3607
70歳,1038,1147,2185
71歳,1070,1233,2303
72歳,1407,1550,2957
73歳,1300,1583,2883
74歳,1365,1573,2938
75歳,1270,1605,2875
76歳,1135,1451,2586
77歳,936,1215,2151
78歳,929,1287,2216
79歳,1024,1214,2238
80歳,937,1277,2214
81歳,870,1207,2077
82歳,700,1086,1786
83歳,599,994,1593
84歳,521,902,1423
85歳,489,877,1366
86歳,404,758,1162
87歳,306,704,1010
88歳,277,618,895
89歳,216,522,738
90歳,205,504,709
91歳,142,401,543
92歳,111,302,413
93歳,67,256,323
94歳,51,220,271
95歳,40,167,207
96歳,38,134,172
97歳,15,82,97
98歳,10,65,75
99歳,6,46,52
100歳,5,31,36
101歳,2,18,20
102歳,1,11,12
103歳,2,9,11
104歳以上,0,7,7
合計,131704,133181,264885
