年齢,男[人],女[人],総数[人]
0歳,1253,1142,2395
1歳,1116,1044,2160
2歳,1036,1024,2060
3歳,1005,934,1939
4歳,930,876,1806
5歳,967,890,1857
6歳,938,853,1791
7歳,885,849,1734
8歳,907,873,1780
9歳,874,859,1733
10歳,849,779,1628
11歳,845,800,1645
12歳,851,868,1719
13歳,906,812,1718
14歳,880,897,1777
15歳,848,843,1691
16歳,940,860,1800
17歳,941,818,1759
18歳,943,868,1811
19歳,1051,902,1953
20歳,983,965,1948
21歳,1085,1054,2139
22歳,1135,1112,2247
23歳,1418,1435,2853
24歳,1592,1558,3150
25歳,1706,1753,3459
26歳,1885,1879,3764
27歳,2078,2010,4088
28歳,2168,2120,4288
29歳,2197,2122,4319
30歳,2346,2153,4499
31歳,2414,2252,4666
32歳,2359,2233,4592
33歳,2344,2130,4474
34歳,2254,2082,4336
35歳,2201,2048,4249
36歳,2270,2141,4411
37歳,2283,2153,4436
38歳,2337,2107,4444
39歳,2217,2140,4357
40歳,2381,2056,4437
41歳,2394,2257,4651
42歳,2537,2330,4867
43歳,2362,2246,4608
44歳,2349,2249,4598
45歳,2241,2131,4372
46歳,2179,2081,4260
47歳,2213,2023,4236
48歳,2154,2059,4213
49歳,1574,1466,3040
50歳,2042,1811,3853
51歳,1857,1741,3598
52歳,1709,1613,3322
53歳,1557,1433,2990
54歳,1541,1494,3035
55歳,1523,1461,2984
56歳,1513,1289,2802
57歳,1416,1358,2774
58歳,1340,1257,2597
59歳,1389,1317,2706
60歳,1388,1306,2694
61歳,1434,1361,2795
62歳,1499,1436,2935
63歳,1628,1448,3076
64歳,1598,1492,3090
65歳,1725,1591,3316
66歳,1987,1878,3865
67歳,1978,1773,3751
68歳,1931,1851,3782
69歳,1247,1296,2543
70歳,1027,1190,2217
71歳,1368,1468,2836
72歳,1364,1619,2983
73歳,1347,1563,2910
74歳,1358,1625,2983
75歳,1222,1515,2737
76歳,1002,1315,2317
77歳,936,1229,2165
78歳,1079,1284,2363
79歳,967,1274,2241
80歳,970,1282,2252
81歳,774,1127,1901
82歳,668,1019,1687
83歳,610,988,1598
84歳,535,939,1474
85歳,448,779,1227
86歳,379,766,1145
87歳,305,683,988
88歳,261,566,827
89歳,233,546,779
90歳,182,473,655
91歳,136,370,506
92歳,95,311,406
93歳,73,255,328
94歳,51,225,276
95歳,46,155,201
96歳,33,114,147
97歳,13,90,103
98歳,12,71,83
99歳,5,45,50
100歳,6,24,30
101歳,3,16,19
102歳,2,9,11
103歳,1,5,6
104歳以上,1,6,7
合計,130435,131288,261723
