年齢,男[人],女[人],総数[人]
0歳,1181,1164,2345
1歳,1184,1135,2319
2歳,1075,999,2074
3歳,996,1012,2008
4歳,992,923,1915
5歳,929,854,1783
6歳,968,882,1850
7歳,934,846,1780
8歳,875,844,1719
9歳,901,871,1772
10歳,877,856,1733
11歳,845,776,1621
12歳,841,805,1646
13歳,861,887,1748
14歳,913,816,1729
15歳,887,910,1797
16歳,861,857,1718
17歳,945,868,1813
18歳,982,838,1820
19歳,1074,973,2047
20歳,1122,982,2104
21歳,1053,1058,2111
22歳,1237,1225,2462
23歳,1443,1521,2964
24歳,1610,1710,3320
25歳,1809,1786,3595
26歳,1913,1987,3900
27歳,2091,2021,4112
28歳,2170,2152,4322
29歳,2284,2210,4494
30歳,2318,2200,4518
31歳,2347,2163,4510
32歳,2395,2303,4698
33歳,2360,2268,4628
34歳,2357,2144,4501
35歳,2237,2101,4338
36歳,2244,2057,4301
37歳,2265,2151,4416
38歳,2239,2163,4402
39歳,2335,2136,4471
40歳,2214,2140,4354
41歳,2350,2061,4411
42歳,2391,2278,4669
43歳,2493,2340,4833
44歳,2377,2230,4607
45歳,2354,2246,4600
46歳,2233,2121,4354
47歳,2191,2080,4271
48歳,2213,2038,4251
49歳,2159,2066,4225
50歳,1566,1470,3036
51歳,2056,1812,3868
52歳,1861,1741,3602
53歳,1710,1607,3317
54歳,1564,1438,3002
55歳,1540,1491,3031
56歳,1524,1447,2971
57歳,1499,1277,2776
58歳,1415,1341,2756
59歳,1342,1253,2595
60歳,1371,1302,2673
61歳,1345,1284,2629
62歳,1408,1348,2756
63歳,1481,1429,2910
64歳,1598,1441,3039
65歳,1561,1470,3031
66歳,1681,1574,3255
67歳,1947,1871,3818
68歳,1938,1753,3691
69歳,1873,1832,3705
70歳,1208,1290,2498
71歳,994,1179,2173
72歳,1328,1452,2780
73歳,1307,1597,2904
74歳,1323,1546,2869
75歳,1310,1615,2925
76歳,1166,1491,2657
77歳,962,1290,2252
78歳,901,1207,2108
79歳,1020,1263,2283
80歳,908,1235,2143
81歳,910,1242,2152
82歳,706,1093,1799
83歳,612,975,1587
84歳,544,942,1486
85歳,477,895,1372
86歳,403,736,1139
87歳,325,718,1043
88歳,261,633,894
89歳,226,513,739
90歳,206,491,697
91歳,158,417,575
92歳,106,309,415
93歳,73,260,333
94歳,54,212,266
95歳,35,175,210
96歳,35,123,158
97歳,25,98,123
98歳,9,61,70
99歳,6,50,56
100歳,4,35,39
101歳,3,19,22
102歳,2,13,15
103歳,1,7,8
104歳以上,1,7,8
合計,131814,133424,265238
