年齢,男[人],女[人],総数[人]
0歳,1156,1069,2225
1歳,1116,1039,2155
2歳,1095,1046,2141
3歳,1106,1066,2172
4歳,991,1003,1994
5歳,1037,1025,2062
6歳,929,900,1829
7歳,920,941,1861
8歳,937,871,1808
9歳,891,813,1704
10歳,946,859,1805
11歳,901,806,1707
12歳,880,845,1725
13歳,916,865,1781
14歳,853,844,1697
15歳,872,762,1634
16歳,845,835,1680
17歳,861,880,1741
18歳,921,843,1764
19歳,993,922,1915
20歳,998,1030,2028
21歳,1088,1088,2176
22歳,1288,1347,2635
23歳,1674,1659,3333
24歳,1767,1958,3725
25歳,2110,2206,4316
26歳,2297,2356,4653
27歳,2341,2381,4722
28歳,2527,2429,4956
29歳,2457,2473,4930
30歳,2352,2442,4794
31歳,2356,2310,4666
32歳,2356,2314,4670
33歳,2383,2289,4672
34歳,2329,2258,4587
35歳,2301,2194,4495
36歳,2373,2247,4620
37歳,2386,2221,4607
38歳,2211,2120,4331
39歳,2236,2062,4298
40歳,2187,2013,4200
41歳,2204,2144,4348
42歳,2244,2103,4347
43歳,2320,2084,4404
44歳,2159,2156,4315
45歳,2364,2127,4491
46歳,2392,2317,4709
47歳,2508,2358,4866
48歳,2370,2228,4598
49歳,2323,2235,4558
50歳,2201,2066,4267
51歳,2171,2092,4263
52歳,2142,1963,4105
53歳,2055,1958,4013
54歳,1639,1590,3229
55歳,1960,1716,3676
56歳,1784,1690,3474
57歳,1670,1554,3224
58歳,1530,1393,2923
59歳,1476,1424,2900
60歳,1459,1375,2834
61歳,1429,1252,2681
62歳,1293,1280,2573
63歳,1238,1188,2426
64歳,1271,1287,2558
65歳,1291,1235,2526
66歳,1284,1315,2599
67歳,1397,1358,2755
68歳,1496,1390,2886
69歳,1442,1442,2884
70歳,1582,1590,3172
71歳,1787,1710,3497
72歳,1718,1735,3453
73歳,1631,1705,3336
74歳,924,1088,2012
75歳,955,1182,2137
76歳,1209,1478,2687
77歳,1102,1473,2575
78歳,1155,1471,2626
79歳,1094,1472,2566
80歳,932,1317,2249
81歳,754,1094,1848
82歳,760,1139,1899
83歳,785,1067,1852
84歳,702,1120,1822
85歳,609,1043,1652
86歳,508,895,1403
87歳,405,797,1202
88歳,320,684,1004
89歳,300,646,946
90歳,247,519,766
91歳,159,476,635
92歳,134,378,512
93歳,109,322,431
94歳,93,248,341
95歳,52,189,241
96歳,38,129,167
97歳,22,94,116
98歳,12,84,96
99歳,7,50,57
100歳,7,35,42
101歳,3,18,21
102歳,2,14,16
103歳,0,9,9
104歳以上,1,16,17
合計,136413,139238,275651
