区分１,区分２,件数（件）,数量,単位,部局
土地,過大に搭載されているもの,2,15.74,m2,建設局
土地,搭載漏れとなっているもの,2,42.86,m2,福祉保健局、建設局
建物,過大に登載されているもの,6,1631.71,m2,建設局、警視庁
建物,登載漏れとなっているもの,2,1378.08,m2,総務局
出資による権利,過大に搭載されているもの,2,309908267,円,産業労働局
出資による権利,搭載漏れとなっているもの,1,8081003000,円,教育庁
