"年度[西暦]","駅名","自転車","バイク 原付","バイク 自動二輪","合計"
"2020","新橋","15","0","1","16"
"2020","浜松町","6","0","1","7"
"2020","田町駅東口","10","0","0","10"
"2020","田町駅西口","6","0","0","6"
"2020","品川駅港南口","15","1","2","18"
"2020","品川駅高輪口","10","1","0","11"
"2020","芝公園","26","0","0","26"
"2020","御成門","14","0","1","15"
"2020","内幸町","14","0","2","16"
"2020","大門","4","0","0","4"
"2020","泉岳寺","22","0","1","23"
"2020","高輪台","23","0","0","23"
"2020","神谷町","1","0","0","1"
"2020","六本木","55","0","2","57"
"2020","広尾","29","0","0","29"
"2020","虎ノ門","12","1","0","13"
"2020","赤坂見附","6","0","0","6"
"2020","青山一丁目","7","1","0","8"
"2020","外苑前","87","1","0","88"
"2020","赤坂","73","1","0","74"
"2020","乃木坂","23","0","0","23"
"2020","表参道","26","1","0","27"
"2020","汐留","16","0","4","20"
"2020","芝浦ふ頭","2","0","0","2"
"2020","日の出","5","0","0","5"
"2020","竹芝","5","1","0","6"
"2020","お台場海浜公園","8","0","0","8"
"2020","台場","1","0","0","1"
"2020","溜池山王","15","1","0","16"
"2020","麻布十番","79","1","0","80"
"2020","六本木一丁目","70","0","0","70"
"2020","白金高輪","26","1","2","29"
"2020","白金台","6","0","0","6"
"2020","赤羽橋","31","0","0","31"
"2020","合計","748","11","16","775"
"2021","新橋","33","5","1","39"
"2021","浜松町","14","0","0","14"
"2021","田町駅東口","28","2","6","36"
"2021","田町駅西口","50","3","3","56"
"2021","品川駅港南口","13","3","1","17"
"2021","品川駅高輪口","7","1","0","8"
"2021","芝公園","22","0","0","22"
"2021","御成門","39","0","0","39"
"2021","内幸町","36","1","3","40"
"2021","大門","40","0","0","40"
"2021","泉岳寺","53","0","0","53"
"2021","高輪台","30","1","0","31"
"2021","神谷町","28","0","0","28"
"2021","六本木","90","0","0","90"
"2021","広尾","26","0","0","26"
"2021","虎ノ門","17","0","0","17"
"2021","赤坂見附","22","0","0","22"
"2021","青山一丁目","14","1","0","15"
"2021","外苑前","232","0","0","232"
"2021","赤坂","116","2","1","119"
"2021","乃木坂","27","0","0","27"
"2021","表参道","46","0","0","46"
"2021","汐留","56","5","3","64"
"2021","芝浦ふ頭","14","0","1","15"
"2021","日の出","17","0","0","17"
"2021","竹芝","14","2","2","18"
"2021","お台場海浜公園","2","0","0","2"
"2021","台場","0","0","0","0"
"2021","溜池山王","35","0","0","35"
"2021","麻布十番","68","2","0","70"
"2021","六本木一丁目","114","0","4","118"
"2021","白金高輪","35","0","1","36"
"2021","白金台","10","0","0","10"
"2021","赤羽橋","66","0","0","66"
"2021","虎ノ門ヒルズ","43","0","0","43"
"2021","高輪ゲートウェイ","21","0","2","23"
"2021","合計","1478","28","28","1534"
"2022","新橋","12","1","1","14"
"2022","浜松町","8","0","0","8"
"2022","田町駅東口","14","1","0","15"
"2022","田町駅西口","13","1","1","15"
"2022","品川駅港南口","19","1","0","20"
"2022","品川駅高輪口","6","0","0","6"
"2022","芝公園","5","0","1","6"
"2022","御成門","25","0","0","25"
"2022","内幸町","21","1","0","22"
"2022","大門","25","4","1","30"
"2022","泉岳寺","17","0","0","17"
"2022","高輪台","10","0","0","10"
"2022","神谷町","21","1","4","26"
"2022","六本木","25","1","0","26"
"2022","広尾","12","0","0","12"
"2022","虎ノ門","16","0","0","16"
"2022","赤坂見附","9","0","0","9"
"2022","青山一丁目","6","0","1","7"
"2022","外苑前","192","0","1","193"
"2022","赤坂","58","0","0","58"
"2022","乃木坂","28","0","0","28"
"2022","表参道","14","1","0","15"
"2022","汐留","25","3","4","32"
"2022","芝浦ふ頭","8","1","3","12"
"2022","日の出","14","0","1","15"
"2022","竹芝","13","1","1","15"
"2022","お台場海浜公園","10","0","0","10"
"2022","台場","0","0","0","0"
"2022","溜池山王","10","1","0","11"
"2022","麻布十番","22","0","0","22"
"2022","六本木一丁目","62","4","4","70"
"2022","白金高輪","19","3","1","23"
"2022","白金台","4","1","0","5"
"2022","赤羽橋","27","0","0","27"
"2022","虎ノ門ヒルズ","46","0","0","46"
"2022","高輪ゲートウェイ","1","0","0","1"
"2022","合計","817","26","24","867"

"令和5年度港区行政資料集　駅前放置自転車調査","Ver202210",,,,
