"管理番号","名称","所在地","開設年月日","営業時間","ラック数","緯度","経度"
"C1-02","西新橋1丁目（外堀通り）","東京都港区西新橋一丁目12番10号","2014/10/1","24時間","6","35.668791","139.753582"
"C1-04","虎ノ門ヒルズ","東京都港区虎ノ門一丁目23番1号","2014/10/1","24時間","15","35.666527","139.748804"
"C1-05","西新橋2丁目（新虎通り）","東京都港区西新橋二丁目22番7号","2014/10/1","24時間","16","35.665593","139.752617"
"C1-09","愛宕グリーンヒルズ","東京都港区愛宕二丁目5番1号","2014/10/1","24時間","10","35.662051","139.748132"
"C1-14","新橋プラザビル","東京都港区新橋四丁目9番1号","2015/7/7","24時間","7","35.664461","139.756082"
"C1-15","東京タワー","東京都港区芝公園四丁目2番8号","2015/7/14","24時間","16","35.659280","139.744767"
"C1-16","機械振興会館","東京都港区芝公園三丁目5番8号","2015/7/17","24時間","6","35.659442","139.745549"
"C1-17","港区役所","東京都港区芝公園一丁目5番25号","2015/8/14","24時間","6","35.657866","139.751068"
"C1-21","汐留ビルディング","東京都港区海岸一丁目2番20号","2016/2/18","24時間","11","35.657363","139.75918"
"C1-23","三田いきいきプラザ","東京都港区芝四丁目1番17号","2016/2/24","24時間","5","35.648637","139.749834"
"C1-24","三田国際ビル","東京都港区三田一丁目4番","2016/3/31","24時間","10","35.653159","139.744673"
"C1-27","虎ノ門2丁目タワー","東京都港区虎ノ門二丁目3番17号","2016/10/3","24時間","14","35.66857","139.747157"
"C1-34","城山ガーデン","東京都港区虎ノ門四丁目3番1号","2017/4/26","24時間","9","35.664436","139.743662"
"C1-35","セブン-イレブン 三田駅北店","東京都港区芝四丁目3番5号","2017/8/31","24時間","5","35.649032","139.750147"
"C1-37","KDX西新橋ビル（北側）","東京都港区西新橋三丁目3番1号","2017/10/25","24時間","5","35.665218","139.750827"
"C1-38","KDX西新橋ビル（西側）","東京都港区西新橋三丁目3番1号","2017/10/25","24時間","5","35.66495","139.750459"
"C1-41","港区立エコプラザ","東京都港区浜松町一丁目13番1号","2017/12/22","24時間","11","35.658709","139.757036"
"C1-43","KDX浜松町プレイス","東京都港区芝公園一丁目7番6号","2018/8/15","24時間","9","35.658169","139.752509"
"C1-44","三田Avanti","東京都港区三田三丁目11番28号","2018/9/19","24時間","6","35.64115","139.741471"
"C1-45","浜松町クレアタワー","東京都港区浜松町二丁目3番1号","2018/10/3","24時間","6","35.655898","139.755853"
"C1-46","新虎通りCORE","東京都港区新橋四丁目1番1号","2018/10/3","24時間","17","35.665136","139.754072"
"C1-47","パークプレイス三田","東京都港区三田三丁目7番31号","2018/10/17","24時間","9","35.641791","139.740734"
"C1-48","竹芝客船ターミナル","東京都港区海岸一丁目12番","2018/11/1","24時間","17","35.655139","139.762812"
"C1-49","汐留シティセンター","東京都港区東新橋一丁目5番2号","2018/11/7","24時間","17","35.666213","139.760907"
"C1-50","NTT虎ノ門ビル","東京都港区虎ノ門三丁目8番8号","2018/12/25","24時間","16","35.666075","139.748008"
"C1-51","環二新橋四丁目","東京都港区新橋四丁目21番","2019/5/28","24時間","13","35.663843","139.757697"
"C1-52","NTT三田ビル","東京都港区芝三丁目7番1号","2019/2/6","24時間","6","35.652549","139.747789"
"C1-53","ホテルリブマックス新橋","東京都港区新橋六丁目20番1号","2019/2/13","24時間","4","35.661149","139.754612"
"C1-54","ニッセイ虎ノ門ビル","東京都港区虎ノ門三丁目17番1号","2019/3/13","24時間","8","35.664344","139.746662"
