年度,Fiscal year,貸切使用回数Group use (number of times)／大武道場 Large dojo,貸切使用回数Group use (number of times)／第一武道場 First dojo,貸切使用回数Group use (number of times)／第二武道場 Second dojo,貸切使用回数Group use (number of times)／弓道場 Japanese archery range,一般公開利用者数 Number of individual users／第一武道場 First Dojo,一般公開利用者数 Number of individual users／第二武道場 Second Dojo ,一般公開利用者数 Number of individual users／弓道場 Japanese Archery Range ,一般公開利用者数 Number of individual users／トレーニングルーム Training Room,スポーツ教室等 Sports programs， etc.／回数 Times held,スポーツ教室等 Sports programs， etc.／人数 Participants
平成30,2018,2802,1293,1459,966,2051,863,4693,77749,269,18750
令和元,2019,2634,1196,1331,924,1694,1414,4654,76150,248,16361
令和2,2020,1246,472,504,395,854,1337,1703,27388,96,1660
,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (3) 東京武道館 (平成30～令和2年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (3) TOKYO BUDO-KAN ( Fiscal Years 2018-2020 ),,,,,,,,,,,
注) 新型コロナウイルス感染症拡大防止のため，令和２年度は年間を通じて休館及び利用制限を行った。,,,,,,,,,,,
Note: The whole facility was closed and restricted admission to prevent the spread of COVID-19 throughout the year in the fiscal 2020.,,,,,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,,,,
