年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary / junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high / senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
令和2,2020,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,-,849,695,154,…,53,…
令和2,2020,1,私立 ,Private,特別支援学校,Special needs schools,4,-,…,…,237,142,95,120,85,35
令和2,2020,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,8,-,…,…,8835,4921,3914,987,197,790
令和2,2020,1,私立 ,Private,専修学校,Specialized training schools,395,-,…,…,147605,69417,78188,23478,7172,16306
令和2,2020,1,私立 ,Private,各種学校,Miscellaneous schools,157,-,…,…,22912,11327,11585,3644,2144,1500
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,
17-1  学校数，在学者数及び教員数 (平成30～令和2年度) 17-1  NUMBERS OF SCHOOLS， ENROLLED STUDENTS， AND TEACHERS ( Fiscal Years 2018-2020 ),,,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」，都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
設置階層（0：総数　1:国立・公立・私立）,,,,,,,,,,,,,,,,
