年度,Fiscal year,開館日数 Number of open days,備付品数 (年度末) Number of works (End of fiscal year)／総数 Total,備付品数 (年度末) Number of works (End of fiscal year)／絵画 Paintings,備付品数 (年度末) Number of works (End of fiscal year)／版画 Prints,備付品数 (年度末) Number of works (End of fiscal year)／彫刻 Sculptures,備付品数 (年度末) Number of works (End of fiscal year)／工芸 Crafts,備付品数 (年度末) Number of works (End of fiscal year)／その他 Others,観覧人員 Visitors
平成30,2018,290,6429,504,4153,105,824,843,1339165
令和元,2019,258,6463,508,4174,105,824,852,1485279
令和2,2020,109,6638,514,4316,105,824,879,411136
,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-11  国立博物館及び美術館 (2) 国立西洋美術館 (平成30～令和2年度) 17-11  NATIONAL MUSEUM (2) THE NATIONAL MUSEUM OF WESTERN ART ( Fiscal Years 2018-2020 ),,,,,,,,,
資料：国立西洋美術館 Source: The National Museum of Western Art　　,,,,,,,,,
