年次,Year,都指定 Designated by the TMG／有形文化財 Tangible properties,都指定 Designated by the TMG／無形文化財 Intangible properties,都指定 Designated by the TMG／民俗文化財 Folk cultural properties／有形 Tangible,都指定 Designated by the TMG／民俗文化財 Folk cultural properties／無形 Intangible,都指定 Designated by the TMG／記念物Monuments／史跡 Historic sites,都指定 Designated by the TMG／記念物Monuments／名勝 Places of scenic beauty,都指定 Designated by the TMG／記念物Monuments／天然記念物 Natural monuments,区市町村指定 Designated by the municipalities／有形文化財 Tangible properties,区市町村指定 Designated by the municipalities／無形文化財 Intangible properties,区市町村指定 Designated by the municipalities／民俗文化財 Folk cultural properties／有形 Tangible,区市町村指定 Designated by the municipalities／民俗文化財 Folk cultural properties／無形 Intangible,区市町村指定 Designated by the municipalities／記念物 Monuments／史跡 Historic sites,区市町村指定 Designated by the municipalities／記念物 Monuments／名勝 Places of scenic beauty,区市町村指定 Designated by the municipalities／記念物 Monuments／天然記念物 Natural monuments
令和3,2021,337,7,20,60,329,12,61,1883,68,371,175,323,13,199
,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-14  都区市町村指定の文化財及び記念物の件数 (令和3年5月１日) 17-14  CULTURAL PROPERTIES AND MONUMENTS DESIGNATED BY TOKYO METROPOLIS AND MUNICIPALITIES ( May 1， 2021 ),,,,,,,,,,,,,,,
資料：文化庁｢地方の指定文化財」 Source: Agency for Cultural Affairs,,,,,,,,,,,,,,,
