年度,Fiscal year,開館日数 Number of open days,企画展 Special exhibition／展覧会数 Number of exhibitions,企画展 Special exhibition／観覧人員 Visitors,公募展 Public exhibition／展覧会数 Number of exhibitions,公募展 Public exhibition／観覧人員 Visitors,収蔵品数(年度末) Number of collection items (end of fiscal year)／総数 Total,収蔵品数(年度末) Number of collection items (end of fiscal year)／図書 Books,収蔵品数(年度末) Number of collection items (end of fiscal year)／カタログ Catalogs,収蔵品数(年度末) Number of collection items (end of fiscal year)／雑誌 Periodicals 1)
平成30,2018,303,11,1400879,75,1212730,158030,46268,108609,3153
令和元,2019,273,8,756419,79,1090575,161788,47359,111244,3185
令和2,2020,236,4,193053,34,189008,164521,48090,113228,3203
,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-11  国立博物館及び美術館 (5) 国立新美術館  (平成30～令和2年度) 17-11  NATIONAL MUSEUM (5) THE NATIONAL ART CENTER， TOKYO ( Fiscal Years 2018-2020 ),,,,,,,,,,
注 1) 「雑誌」数はタイトル数であり，「紀要・年報」を含む。　,,,,,,,,,,
Note: 1) The number of periodical titles， including bulletins and annual reports.,,,,,,,,,,
資料：国立新美術館 Source: The National Art Center， Tokyo  ,,,,,,,,,,
