地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study/promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,,総数,Tokyo-to,835,8892,5389,269,255,1611,125,572,2557,197,614,374,81,68,55,1147,721,25,221
1,13100,,区部,All ku,426,4041,2561,91,136,1143,79,184,928,122,260,137,38,46,24,367,364,20,102
2,13101,1,千代田区,Chiyoda-ku,10,50,30,-,-,4,-,4,22,-,12,5,2,-,-,-,-,-,1
2,13102,2,中央区,Chuo-ku,9,183,166,12,-,71,-,-,83,3,5,1,1,2,2,2,-,-,1
2,13103,3,港区,Minato-ku,12,43,29,-,-,23,3,-,3,-,1,3,-,-,3,3,-,-,4
2,13104,4,新宿区,Shinjuku-ku,24,92,80,-,-,80,-,-,-,2,1,6,1,-,-,-,-,-,2
2,13105,5,文京区,Bunkyo-ku,20,222,131,1,-,2,-,12,116,-,32,3,1,6,12,5,24,-,8
2,13106,6,台東区,Taito-ku,20,203,142,8,3,56,-,9,66,13,6,4,1,4,-,29,-,1,3
2,13107,7,墨田区,Sumida-ku,7,49,2,-,-,2,-,-,-,2,10,5,1,4,-,12,9,2,2
2,13108,8,江東区,Koto-ku,16,98,58,-,13,21,7,4,13,10,3,11,1,1,-,3,4,-,7
2,13109,9,品川区,Shinagawa-ku,19,623,585,60,15,476,-,10,24,1,-,4,3,-,-,16,9,1,4
2,13110,10,目黒区,Meguro-ku,19,83,47,-,1,7,3,5,31,5,6,1,1,2,-,3,12,-,6
2,13111,11,大田区,Ota-ku,20,145,80,-,11,34,1,-,34,7,14,3,2,18,-,2,13,2,4
2,13112,12,世田谷区,Setagaya-ku,26,312,184,5,2,98,2,22,55,34,70,9,3,-,-,3,4,1,4
2,13113,13,渋谷区,Shibuya-ku,22,80,26,-,-,-,-,14,12,7,1,6,2,-,-,5,32,-,1
2,13114,14,中野区,Nakano-ku,12,190,8,3,-,-,1,1,3,2,2,-,1,-,-,151,-,-,26
2,13115,15,杉並区,Suginami-ku,22,151,78,-,-,26,2,12,38,-,26,1,1,-,-,9,31,-,5
2,13116,16,豊島区,Toshima-ku,17,274,233,-,-,17,29,1,186,4,1,18,1,-,2,8,3,-,4
2,13117,17,北区,Kita-ku,19,123,65,1,-,5,5,16,38,4,3,24,4,4,-,12,6,-,1
2,13118,18,荒川区,Arakawa-ku,13,105,48,-,-,9,-,5,34,3,5,3,1,1,4,11,22,-,7
2,13119,19,板橋区,Itabashi-ku,23,310,210,-,9,79,13,32,77,2,24,10,2,2,1,7,45,2,5
2,13120,20,練馬区,Nerima-ku,24,217,84,1,53,3,8,15,4,4,8,2,4,2,-,18,85,10,-
2,13121,21,足立区,Adachi-ku,34,253,198,-,13,123,5,5,52,10,19,5,-,-,-,5,12,-,4
2,13122,22,葛飾区,Katsushika-ku,24,190,60,-,-,6,-,17,37,2,11,3,4,-,-,57,53,-,-
2,13123,23,江戸川区,Edogawa-ku,14,45,17,-,16,1,-,-,-,7,-,10,1,-,-,6,-,1,3
1,13200,,市部,All shi,360,4671,2766,173,101,468,46,379,1599,64,310,221,43,20,31,773,332,5,106
2,13201,1,八王子市,Hachioji-shi,18,890,780,44,15,250,-,25,446,6,7,5,-,-,-,16,75,-,1
2,13202,2,立川市,Tachikawa-shi,29,207,130,9,20,16,-,13,72,9,26,4,1,4,-,18,6,4,5
2,13203,3,武蔵野市,Musashino-shi,5,267,136,11,-,11,-,44,70,-,40,11,2,-,1,37,34,-,6
2,13204,4,三鷹市,Mitaka-shi,9,101,55,3,-,4,-,7,41,1,6,8,-,-,-,28,-,-,3
2,13205,5,青梅市,Ome-shi,14,255,89,-,1,6,-,32,50,1,3,3,-,-,2,134,17,-,6
2,13206,6,府中市,Fuchu-shi,31,89,25,-,22,-,-,3,-,1,1,12,-,1,-,16,28,-,5
2,13207,7,昭島市,Akishima-shi,18,82,25,2,-,2,-,8,13,13,17,3,1,-,1,20,-,-,2
2,13208,8,調布市,Chofu-shi,21,353,218,19,-,18,-,34,147,3,14,7,3,-,-,50,56,-,2
2,13209,9,町田市,Machida-shi,20,279,154,9,6,20,5,39,75,-,12,20,4,-,-,69,14,-,6
2,13210,10,小金井市,Koganei-shi,12,221,150,5,-,25,16,14,90,1,9,3,2,-,1,47,2,-,6
2,13211,11,小平市,Kodaira-shi,24,253,165,15,1,18,-,36,95,2,24,4,1,3,-,48,2,1,3
2,13212,12,日野市,Hino-shi,14,192,138,9,-,27,4,15,83,3,8,6,3,-,-,14,16,-,4
2,13213,13,東村山市,Higashimurayama-shi,13,121,32,1,-,-,-,3,28,2,3,59,1,4,5,13,-,-,2
2,13214,14,国分寺市,Kokubunji-shi,16,172,119,3,2,21,1,18,74,1,17,24,3,-,7,-,-,-,1
2,13215,15,国立市,Kunitachi-shi,11,95,51,3,3,1,9,1,34,-,2,11,8,-,1,11,3,-,8
2,13218,16,福生市,Fussa-shi,13,144,82,7,10,6,-,8,51,3,17,-,1,-,-,30,7,-,4
2,13219,17,狛江市,Komae-shi,3,34,19,-,6,-,1,8,4,-,2,2,1,-,2,4,-,-,4
2,13220,18,東大和市,Higashiyamato-shi,9,113,37,2,-,10,-,6,19,8,15,8,1,-,-,19,22,-,3
2,13221,19,清瀬市,Kiyose-shi,10,88,55,14,2,-,-,1,38,1,1,2,-,-,1,13,14,-,1
2,13222,20,東久留米市,Higashikurume-shi,6,68,30,-,-,3,-,-,27,1,2,9,2,-,-,22,-,-,2
2,13223,21,武蔵村山市,Musashimurayama-shi,6,29,5,1,-,2,-,-,2,4,2,-,-,-,-,2,8,-,8
2,13224,22,多摩市,Tama-shi,17,111,70,10,-,18,-,9,33,-,19,-,1,-,-,13,-,-,8
2,13225,23,稲城市,Inagi-shi,11,45,17,4,1,6,-,-,6,4,8,-,2,4,1,6,-,-,3
2,13227,24,羽村市,Hamura-shi,8,124,31,1,-,2,-,6,22,-,40,1,1,4,3,20,21,-,3
2,13228,25,あきる野市,Akiruno-shi,8,87,-,-,-,-,-,-,-,-,-,8,-,-,-,66,7,-,6
2,13229,26,西東京市,Nishitokyo-shi,14,251,153,1,12,2,10,49,79,-,15,11,5,-,6,57,-,-,4
