一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
125,江東区大島４－２,35.688049,139.826691,JGD2011,都道補助１１６号（明治通り）,c,2008-05-13,2008-05-14,4,4,5.0 ,1.7,68,65
126,江東区大島６－７－８,35.691181,139.835190,JGD2011,都道環状４号（丸八通り）,b,2008-05-28,2008-05-29,4,4,4.0 ,1.5,66,61
127,江東区東砂２－１２－１４,35.683292,139.843781,JGD2011,都道補助１４４号（番所橋通り）,b,2008-05-15,2008-05-16,4,4,4.0 ,1.5,69,64
130,江東区豊洲４－１－１８,35.653847,139.797623,JGD2011,都道日比谷豊洲埠頭東雲線,C,2008-11-26,2008-11-27,4,8,6.3,1.2,68,64
131,江東区東雲１－６－１３,35.646481,139.801590,JGD2011,都道日比谷豊洲埠頭東雲線,C,2008-11-26,2008-11-27,4,6,6.5,1.2,67,63
132,江東区亀戸４－１４－５,35.701591,139.828735,JGD2011,都道御徒町小岩線,B,2008-11-26,2008-11-27,4,4,6.3,1.2,75,72
133,江東区東砂５－１３－１０,35.676155,139.843048,JGD2011,都道亀戸葛西橋線,C,2008-11-26,2008-11-27,4,4,4.4,1.2,65,60
134,江東区亀戸３－３８－１６,35.706261,139.822479,JGD2011,都道本郷亀戸線,C,2008-11-26,2008-11-27,4,4,4.3,1.2,71,66
135,品川区西五反田５－３－１,35.625618,139.716718,JGD2011,都道環状６号線（山手通り）,c,2008-04-15,2008-04-18,4,4,4.7,1.3,72,73
136,品川区西五反田６－６－１９,35.623085,139.717300,JGD2011,都道東京丸子横浜線（中原街道）,c,2008-05-13,2008-05-16,4,6,5.2,3.6,69,67
138,品川区上大崎２－１３－３６,35.634548,139.717494,JGD2011,都道白金台等々力線（目黒通り）,c,2008-07-08,2008-07-11,4,5,5.0 ,1.5,68,67
139,品川区北品川５－１－１２,35.623856,139.732079,JGD2011,都道環状６号線（山手通り）,c,2008-08-05,2008-08-08,4,4,4.0 ,1.6,72,69
140,品川区北品川３－１０－１３,35.616417,139.737625,JGD2011,都道環状６号線（山手通り）,c,2008-09-02,2008-09-05,4,4,5.5,2.3,66,63
141,品川区旗の台１－１１－１７,35.607116,139.702392,JGD2011,都道東京丸子横浜線（中原街道）,c,2008-10-21,2008-10-24,4,4,4.2,3.0 ,71,70
142,品川区上大崎３－１４－２３,35.630382,139.720228,JGD2011,都道北品川四谷線,b,2008-11-11,2008-11-14,4,5,7.4,1.7,69,66
145,品川区東品川３－１－５,35.617160,139.747360,JGD2011,都道日本橋芝浦大森線（海岸通り）,c,2009-02-17,2009-02-20,4,6,5.0 ,2.2,71,69
148,品川区東五反田３－１８,35.625614,139.729156,JGD2011,都道環状６号線（山手通り）,C,2008-11-26,2008-11-27,4,4,4.0 ,1.2,71,69
149,品川区小山４－４,35.618721,139.703430,JGD2011,都道鮫洲大山線（中野通り）,C,2008-11-26,2008-11-27,4,2,4.8,1.2,67,66
150,品川区平塚３－１２,35.613300,139.712585,JGD2011,都道鮫洲大山線（中野通り）,C,2008-11-26,2008-11-27,4,4,11.0 ,1.2,64,60
151,目黒区下目黒２－２０－２５,35.633411,139.710159,JGD2011,都道白金台町等々力線（目黒通り）,c,2009-02-16,2009-02-19,4,4,3.5,1.2,72,71
152,目黒区碑文谷４－１６－１８,35.621521,139.682281,JGD2011,都道白金台町等々力線（目黒通り）,b,2009-02-16,2009-02-19,4,5,4.3,1.2,69,68
153,目黒区八雲２－９－１２,35.615448,139.669601,JGD2011,都道白金台町等々力線（目黒通り）,b,2009-02-16,2009-02-19,4,5,4.3,1.2,70,67
154,目黒区中目黒２－１０－１３,35.640362,139.702911,JGD2011,都道環状６号線（山手通り）,c,2009-02-16,2009-02-19,4,4,5.1,1.2,72,71
155,目黒区南２－９,35.614552,139.685760,JGD2011,都道環状７号線（環七通り）,b,2009-02-16,2009-02-19,4,4,7.6,1.2,67,65
156,目黒区八雲５－１４,35.621277,139.667801,JGD2011,都道上馬奥沢線（自由通り）,a,2009-02-16,2009-02-19,4,2,2.1,1.2,68,67
158,目黒区八雲３－２５,35.614193,139.664536,JGD2011,都道白金台町等々力線（目黒通り）,B,2008-11-18,2008-11-19,4,5,4.7,1.2,70,67
159,目黒区青葉台４－１,35.656101,139.691025,JGD2011,都道環状６号線（山手通り）,B,2008-11-18,2008-11-19,4,4,6.0 ,1.2,70,68
160,目黒区柿の木坂２－４,35.625145,139.677933,JGD2011,都道環状７号線（環七通り）,B,2008-11-18,2008-11-19,4,6,3.9,1.2,70,68
